Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:45:23 PM,32.0116,34.8535,← 258°,143,165,"1,700", ,FlightAware ADS-B (LLEK)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:45:39 PM,32.0092,34.8417,← 256°,143,165,"2,375","2,578",FlightAware ADS-B (LLHS)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:45:55 PM,32.0064,34.8287,← 256°,145,167,"3,075","2,438",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:46:11 PM,32.0036,34.8158,← 256°,156,180,"3,675","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:46:27 PM,32.0007,34.8023,← 256°,174,200,"4,175","1,866",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:46:52 PM,31.9954,34.7764,← 257°,210,242,"4,950","1,976",FlightAware ADS-B (LCA / LCLK)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:47:08 PM,31.9918,34.7572,← 262°,231,266,"5,525","1,922",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:47:24 PM,31.9935,34.7378,← 286°,249,287,"5,975","2,080",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:47:52 PM,32.0066,34.6957,← 291°,287,330,"7,050","2,198",FlightAware ADS-B (BEV / LLBS)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:48:22 PM,32.0207,34.6525,← 291°,287,330,"8,100","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:48:39 PM,32.0264,34.6274,← 278°,292,336,"8,225",163,FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:49:08 PM,32.0289,34.5813,← 273°,295,339,"8,225", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:49:38 PM,32.0313,34.5351,← 274°,295,339,"8,225", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:49:59 PM,32.0332,34.4998,← 274°,295,339,"8,225",203,FlightAware ADS-B (BEY / OLBA)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:50:15 PM,32.0345,34.4744,← 274°,295,339,"8,350","2,000",FlightAware ADS-B (SDV / LLSD)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:50:41 PM,32.0367,34.4322,← 273°,297,342,"9,625","2,684",FlightAware ADS-B (TLV / LLBG)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:51:12 PM,32.0396,34.3795,← 274°,319,367,"10,900","2,278",FlightAware ADS-B (BEV / LLBS)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:52:29 PM,32.048,34.2354,← 281°,362,417,"13,725","2,321",FlightAware MLAT (7 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:52:58 PM,32.0718,34.1849,← 302°,364,419,"15,000","2,323",FlightAware MLAT (5 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:53:31 PM,32.1014,34.1285,← 301°,378,435,"16,125","2,203",FlightAware MLAT (5 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:54:02 PM,32.129,34.0732,← 301°,384,442,"17,350","2,434",FlightAware MLAT (6 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:54:32 PM,32.1566,34.0182,← 301°,390,449,"18,600","1,975",FlightAware MLAT (9 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:55:02 PM,32.1854,33.9651,← 306°,392,451,"19,325","2,575",FlightAware MLAT (10 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:55:32 PM,32.2166,33.9123,← 305°,396,456,"21,175","3,121",FlightAware MLAT (4 sites)
TLV - ADB,Pegasus Airlines,PC812,A320,18/07/2023,Tue 01:56:04 PM,32.2524,33.8564,← 306°,396,456,"22,550","2,320",FlightAware MLAT (7 sites)
