Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:26:34 AM,32.0114,32.01140169164227,← 259°,175.0,201.0,"1,050", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:26:50 AM,32.011399998879305,32.011408768305415,← 256°,176.0,203.0,"1,675","2,250",FlightAware ADS-B (SDV / LLSD)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:27:06 AM,32.01139999325666,32.0114265182119,← 255°,176.0,203.0,"2,250","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:27:22 AM,32.0113999767362,32.01146125389711,← 255°,183.0,211.0,"2,675","1,670",FlightAware ADS-B (SDV / LLSD)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:27:50 AM,32.011399939260095,32.01151980922206,← 256°,190.0,219.0,"3,475","1,534",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:28:06 AM,32.011399866977825,32.01160916747413,← 275°,200.0,230.0,"3,800","1,136",FlightAware ADS-B (LLEK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:28:23 AM,32.0113997430479,32.011736214250206,↖ 320°,208.0,239.0,"4,100","1,029",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:28:41 AM,32.01139954944844,32.011907588749175,↑ 8°,228.0,262.0,"4,400","1,029",FlightAware ADS-B (LLHZ)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:28:58 AM,32.01139926907232,32.01212960587186,↗ 47°,253.0,291.0,"4,700","1,200",FlightAware ADS-B (PFO / LCPH)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:29:16 AM,32.01139888757633,32.012408226243004,→ 81°,273.0,314.0,"5,100","1,857",FlightAware ADS-B (LLEK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:29:40 AM,32.01139839451126,32.01274905693719,→ 102°,283.0,326.0,"6,000","2,083",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:30:10 AM,32.01139778372213,32.01315737066134,→ 100°,299.0,344.0,"6,975","2,075",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:30:40 AM,32.011397053219866,32.01363813490455,→ 99°,304.0,350.0,"8,075","1,450",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:31:10 AM,32.01139620472312,32.014196045462356,→ 100°,301.0,346.0,"8,425","1,125",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:31:40 AM,32.01139524302107,32.01483556078674,→ 100°,298.0,343.0,"9,200",775,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:32:10 AM,32.011394175256505,32.01556093503536,→ 100°,299.0,344.0,"9,200", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:32:40 AM,32.01139301019512,32.016376248635055,→ 100°,297.0,342.0,"9,200", ,FlightAware ADS-B (HFA / LLHA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:33:10 AM,32.01139175751855,32.01728543578632,→ 100°,299.0,344.0,"9,200", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:33:40 AM,32.011390427160045,32.01829230872323,→ 100°,298.0,343.0,"9,200", ,FlightAware ADS-B (LLEK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:34:10 AM,32.01138902869165,32.0194005787588,→ 100°,300.0,345.0,"9,200", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:34:40 AM,32.011387570763354,32.020613874290554,→ 100°,300.0,345.0,"9,200", ,FlightAware ADS-B (HFA / LLHA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:35:35 AM,32.011386060562266,32.021935756189414,→ 100°,302.0,348.0,"9,200", ,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:35:51 AM,32.01138450331639,32.023369730653116,→ 100°,303.0,349.0,"9,200", ,FlightAware ADS-B (LLEK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:36:21 AM,32.011382901839355,32.024919259787964,→ 100°,303.0,349.0,"9,200",150,FlightAware ADS-B (AKT / LCRA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:37:51 AM,32.01138125606287,32.026587770512826,→ 100°,306.0,352.0,"9,500",588,FlightAware MLAT (4 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:38:21 AM,32.01137956257227,32.02837866187519,→ 100°,306.0,352.0,"10,375","1,705",FlightAware MLAT (6 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:38:57 AM,32.011377814146336,32.03029531094982,↘ 118°,344.0,396.0,"11,375","2,059",FlightAware MLAT (4 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:39:20 AM,32.011375999248344,32.032341077378376,↓ 161°,337.0,388.0,"12,400","2,161",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:39:56 AM,32.011374101373775,32.03451930661736,↓ 174°,345.0,397.0,"13,500","1,636",FlightAware ADS-B (PFO / LCPH)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:40:26 AM,32.01137209823157,32.03683333199201,↓ 175°,355.0,409.0,"14,200","1,500",FlightAware ADS-B (PFO / LCPH)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:40:57 AM,32.01136996074952,32.03928647567256,↓ 175°,361.0,415.0,"15,025","1,694",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:41:28 AM,32.01136765190539,32.041882048695264,↓ 176°,363.0,418.0,"15,950","1,718",FlightAware ADS-B (HFA / LLHA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:41:59 AM,32.011365125392764,32.04462335014683,↓ 176°,366.0,421.0,"16,800","1,475",FlightAware ADS-B (AMM / OJAI)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:42:29 AM,32.01136232413793,32.04751366562432,↓ 176°,374.0,430.0,"17,450","1,300",FlightAware ADS-B (BEV / LLBS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:42:59 AM,32.011359178681964,32.05055626507456,↓ 176°,380.0,437.0,"18,100","1,375",FlightAware ADS-B (HFA / LLHA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:43:29 AM,32.01135560544179,32.05375440010797,↓ 175°,384.0,442.0,"18,825","1,427",FlightAware ADS-B (BEV / LLBS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:44:01 AM,32.01135150485981,32.05711130087251,↓ 175°,388.0,447.0,"19,575","1,403",FlightAware ADS-B (HFA / LLHA)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:44:31 AM,32.01134675945551,32.06063017256325,↓ 176°,391.0,450.0,"20,275","1,377",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:45:02 AM,32.011341231787675,32.064314191634544,↓ 176°,395.0,455.0,"20,975","1,451",FlightAware ADS-B (LLHS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:45:32 AM,32.01133476234376,32.06816650177375,↓ 176°,394.0,453.0,"21,750","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:46:02 AM,32.01132716736948,32.0721902096894,↓ 175°,396.0,456.0,"22,475","1,350",FlightAware ADS-B (SDV / LLSD)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:46:32 AM,32.011318236648776,32.07638838076266,↓ 174°,399.0,459.0,"23,100","1,225",FlightAware ADS-B (LLHS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:47:02 AM,32.011307731245026,32.08076403460647,↓ 174°,404.0,465.0,"23,700","1,057",FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:47:33 AM,32.01129538121226,32.08532014057157,↓ 174°,410.0,472.0,"24,175",889,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:49:45 AM,32.01128088309182,32.09005961326675,↓ 172°,432.0,497.0,"26,650", ,Estimated
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:50:21 AM,32.01126389717477,32.09498530801855,↓ 193°,444.0,511.0,"28,875", ,FlightAware ADS-B (LLEK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:52:32 AM,32.01124404442017,32.100100016347724,↓ 172°,444.0,511.0,"29,225", ,Estimated
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:52:54 AM,32.01122090308628,32.10540646134522,↓ 193°,448.0,516.0,"29,325", ,FlightAware MLAT (5 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:53:25 AM,32.01119400517006,32.11090729298415,↓ 193°,456.0,525.0,"30,175",397,FlightAware MLAT (4 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:54:02 AM,32.011162832717034,32.11660508339054,↓ 193°,460.0,529.0,"30,375",713,FlightAware MLAT (4 sites)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:54:45 AM,32.011126814038484,32.1225023221006,↓ 184°,461.0,531.0,"30,550","1,000",FlightAware ADS-B (LCA / LCLK)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:55:05 AM,32.0110853199265,32.12860141135951,↓ 163°,463.0,533.0,"30,800",625,FlightAware ADS-B (BEV / LLBS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:55:21 AM,32.01103765994702,32.13490466151994,↘ 148°,465.0,535.0,"31,175",708,FlightAware ADS-B (ETM / LLER)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:55:41 AM,32.010983078874645,32.14141428660493,↘ 135°,466.0,536.0,"31,600",735,FlightAware ADS-B (BEV / LLBS)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:56:12 AM,32.010920753303715,32.14813240010859,↘ 135°,467.0,537.0,"32,000",762,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:56:44 AM,32.01084978845944,32.155061011096564,↘ 135°,468.0,539.0,"32,375",762,FlightAware ADS-B (TLV / LLBG)
TLV - ADD,Ethiopian Airlines,ETH415,B38M,17/07/2023,Mon 10:57:17 AM,32.010769215228294,32.16220202065351,↘ 135°,470.0,541.0,"32,675",727,FlightAware ADS-B (TLV / LLBG)
