Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:29:21 AM,32.014,34.8686,← 260°,151,174,750, ,FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:29:37 AM,32.0117,34.8557,← 256°,153,176,"1,475","2,672",FlightAware ADS-B (AKT / LCRA)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:29:53 AM,32.0089,34.8425,← 256°,156,180,"2,175","2,531",FlightAware ADS-B (SDV / LLSD)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:30:09 AM,32.0063,34.8296,← 257°,158,182,"2,825","2,297",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:30:25 AM,32.0036,34.8159,← 257°,163,188,"3,400","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:30:41 AM,32.0007,34.8016,← 257°,179,206,"3,875","1,238",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:31:05 AM,31.9953,34.7743,← 257°,226,260,"4,225","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:31:21 AM,31.9925,34.7545,← 269°,232,267,"4,875","2,786",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:31:40 AM,31.9966,34.7319,← 289°,229,264,"5,850","2,250",FlightAware ADS-B (LLHZ)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:32:07 AM,32.0066,34.6999,← 291°,231,266,"6,600","1,570",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:32:23 AM,32.0144,34.6825,← 312°,231,266,"6,975","1,279",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:32:41 AM,32.0306,34.6739,↑ 356°,239,275,"7,325","1,191",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:32:57 AM,32.0496,34.6814,↗ 37°,269,310,"7,650","1,078",FlightAware ADS-B (LLHZ)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:33:13 AM,32.062,34.7,→ 66°,291,335,"7,900","1,243",FlightAware ADS-B (SDV / LLSD)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:33:32 AM,32.0648,34.7298,→ 97°,304,350,"8,375","1,980",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:34:03 AM,32.0574,34.7837,→ 101°,318,366,"9,550","1,461",FlightAware ADS-B (TLV / LLBG)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:35:28 AM,32.0315,34.9359,→ 101°,372,428,"11,200",861,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:35:58 AM,32.0226,34.9949,→ 101°,372,428,"11,200", ,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:36:29 AM,32.0118,35.0571,→ 101°,374,430,"11,200", ,FlightAware MLAT (5 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:36:59 AM,32.0014,35.1172,→ 101°,374,430,"11,200", ,FlightAware MLAT (8 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:37:30 AM,31.9903,35.1792,→ 101°,376,433,"11,200", ,FlightAware MLAT (7 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:38:04 AM,31.9785,35.2467,→ 101°,376,433,"11,200", ,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:38:34 AM,31.969,35.3071,→ 101°,376,433,"11,200", ,FlightAware MLAT (5 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:39:05 AM,31.9582,35.3695,→ 101°,376,433,"11,200",-119,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:39:37 AM,31.9478,35.4329,→ 101°,378,435,"11,075",-117,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:40:09 AM,31.9357,35.4984,→ 101°,372,428,"11,075",24,FlightAware MLAT (4 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:40:39 AM,31.9267,35.5592,→ 97°,372,428,"11,100", ,FlightAware MLAT (6 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:41:09 AM,31.9205,35.618,→ 97°,370,426,"11,075",-224,FlightAware MLAT (7 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:41:46 AM,31.9124,35.6914,→ 97°,366,421,"10,850",-493,FlightAware MLAT (5 sites)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:42:19 AM,31.907,35.7524,→ 98°,357,411,"10,500",-619,FlightAware ADS-B (AMM / OJAI)
TLV - AMM,Royal Jordanian,RJ341,E75L,17/07/2023,Mon 12:42:49 AM,31.9005,35.8097,→ 98°,359,413,"10,200",-643,FlightAware ADS-B (AMM / OJAI)
