Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:36:11 AM,32.012,34.8559,← 258°,176,203,550, ,FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:36:27 AM,32.0091,34.8405,← 257°,179,206,"1,150","2,391",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:36:43 AM,32.0058,34.8252,← 255°,178,205,"1,825","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:36:59 AM,32.0027,34.8106,← 256°,177,204,"2,350","1,922",FlightAware ADS-B (AKT / LCRA)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:37:15 AM,31.9995,34.7955,← 256°,178,205,"2,850","1,843",FlightAware ADS-B (SDV / LLSD)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:37:34 AM,31.9957,34.7768,← 257°,181,208,"3,425","1,303",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:37:53 AM,31.9919,34.7567,← 263°,202,232,"3,675",750,FlightAware ADS-B (PFO / LCPH)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:38:10 AM,31.9943,34.7389,← 289°,216,249,"3,875","1,066",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:38:31 AM,32.002,34.7138,← 290°,244,281,"4,350","1,382",FlightAware ADS-B (LLHZ)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:39:01 AM,32.0144,34.6749,← 291°,286,329,"5,050","1,469",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:39:20 AM,32.0234,34.6446,← 286°,316,364,"5,550","2,122",FlightAware ADS-B (BEV / LLBS)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:39:42 AM,32.032,34.6068,← 285°,328,377,"6,500","2,885",FlightAware ADS-B (SDV / LLSD)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:40:12 AM,32.0439,34.5548,← 285°,335,386,"8,050","2,950",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:40:42 AM,32.0561,34.5004,← 285°,345,397,"9,450","2,750",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:41:12 AM,32.0681,34.4463,← 285°,351,404,"10,800","2,775",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:41:42 AM,32.0809,34.3893,← 285°,356,410,"12,225","2,725",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:42:12 AM,32.0934,34.3341,← 285°,358,412,"13,525","2,631",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:42:43 AM,32.1063,34.2765,← 285°,360,414,"14,900","2,656",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:43:13 AM,32.1192,34.2183,← 285°,363,418,"16,225","2,650",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:43:43 AM,32.1323,34.1596,← 285°,366,421,"17,550","2,600",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:44:13 AM,32.1453,34.1017,← 285°,369,425,"18,825","2,410",FlightAware ADS-B (TLV / LLBG)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:44:44 AM,32.1587,34.0412,← 285°,372,428,"20,000","2,194",FlightAware ADS-B (LLHZ)
TLV - AMS,El Al,LY337,A320,28/06/2023,Fri 07:45:07 AM,32.1715,33.9958,← 294°,378,435,"20,800","2,000",FlightAware ADS-B (TLV / LLBG)
