Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting facility
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:29:12 PM,31.9999,34.7949,← 256°,186,214,"2,675", ,FlightAware MLAT (5 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:29:45 PM,31.9928,34.7646,← 259°,190,219,"3,775","1,622",FlightAware MLAT (5 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:30:01 PM,31.9912,34.7483,← 284°,204,235,"4,000","1,059",FlightAware MLAT (5 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:30:19 PM,31.9975,34.7291,← 291°,226,260,"4,375","1,145",FlightAware MLAT (6 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:30:39 PM,32.0044,34.7045,← 290°,242,278,"4,725","1,014",FlightAware MLAT (7 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:30:56 PM,32.0084,34.6849,← 290°,260,299,"5,000","1,532",FlightAware MLAT (6 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:31:26 PM,32.0199,34.6461,← 284°,270,311,"5,925","1,950",FlightAware MLAT (6 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:31:56 PM,32.0319,34.6022,← 285°,274,315,"6,950","1,650",FlightAware MLAT (6 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:32:26 PM,32.0398,34.557,← 285°,278,320,"7,575","1,082",FlightAware MLAT (4 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:32:57 PM,32.0531,34.5071,← 285°,280,322,"8,050",639,FlightAware MLAT (7 sites)
TLV - ARN,Norwegian Air Sweden,NSZ4612,B738,6/7/2023,Thu 09:33:27 PM,32.068,34.4568,← 285°,286,329,"8,225",978,FlightAware MLAT (6 sites)
