Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:29:10 AM,32.0133,34.864,← 260°,177,204,375, ,FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:29:26 AM,32.011,34.8498,← 258°,173,199,"1,025","2,625",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:29:42 AM,32.008,34.8344,← 257°,168,193,"1,775","2,438",FlightAware ADS-B (LLHS)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:29:58 AM,32.0054,34.8213,← 256°,170,196,"2,325","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:30:14 AM,32.0022,34.8064,← 256°,173,199,"2,850","1,828",FlightAware ADS-B (LLEK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:30:30 AM,31.9992,34.7929,← 256°,182,209,"3,300","1,272",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:31:00 AM,31.9923,34.76,← 258°,217,250,"3,825","1,000",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:31:21 AM,31.9951,34.7345,← 289°,235,270,"4,150","1,107",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:31:42 AM,32.0034,34.708,← 291°,263,303,"4,600","2,059",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:32:12 AM,32.0168,34.6665,← 291°,269,310,"5,900","2,640",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:32:32 AM,32.0253,34.6379,← 285°,276,318,"6,800","2,553",FlightAware ADS-B (SDV / LLSD)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:32:59 AM,32.0285,34.5974,← 274°,281,323,"7,900","2,403",FlightAware ADS-B (LLEK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:34:05 AM,32.0338,34.4942,← 274°,292,336,"10,525","2,041",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:34:25 AM,32.0384,34.4629,← 287°,310,357,"10,825",930,FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:34:55 AM,32.0534,34.4106,← 289°,340,391,"11,300",959,FlightAware ADS-B (LLHS)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:35:26 AM,32.0691,34.3546,← 288°,363,418,"11,800","1,303",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:35:56 AM,32.085,34.2975,← 288°,373,429,"12,625","1,819",FlightAware ADS-B (TLV / LLBG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:37:19 AM,32.1296,34.1358,← 288°,392,451,"15,225","1,885",FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:37:49 AM,32.1463,34.0748,← 288°,388,447,"16,175","1,742",FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:38:21 AM,32.1641,34.0107,← 288°,395,455,"17,025","1,500",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:39:42 AM,32.2484,33.8622,← 306°,410,472,"19,000","1,500",FlightAware MLAT (9 sites)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:40:35 AM,32.3083,33.7651,← 306°,413,475,"20,375","1,355",FlightAware MLAT (4 sites)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:41:05 AM,32.3417,33.7089,← 305°,424,488,"20,875","1,331",FlightAware MLAT (5 sites)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:41:37 AM,32.376,33.6471,← 305°,426,490,"21,750","1,445",FlightAware MLAT (6 sites)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:42:00 AM,32.4034,33.603,← 308°,410,472,"22,200","1,245",FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:42:30 AM,32.4382,33.5447,← 305°,434,499,"22,850","1,325",FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:43:00 AM,32.4723,33.4874,← 304°,432,497,"23,525","1,111",FlightAware ADS-B (LLHZ)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:44:18 AM,32.562,33.3317,← 305°,458,527,"24,850",991,FlightAware MLAT (5 sites)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:44:49 AM,32.5997,33.2728,← 305°,449,517,"25,325","1,131",FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:45:19 AM,32.6355,33.2122,← 305°,447,514,"26,000","1,250",FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:45:49 AM,32.6706,33.1517,← 305°,446,513,"26,575","1,008",FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:46:20 AM,32.7087,33.0864,← 305°,450,518,"27,025",836,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:46:50 AM,32.7431,33.0285,← 305°,453,521,"27,425",875,FlightAware ADS-B (HFA / LLHA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:47:20 AM,32.7815,32.9649,← 306°,453,521,"27,900","1,008",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:47:51 AM,32.8171,32.9052,← 305°,451,519,"28,450","1,156",FlightAware ADS-B (BEV / LLBS)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:48:21 AM,32.8537,32.8431,← 305°,448,516,"29,075","1,300",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:48:51 AM,32.8888,32.7831,← 305°,442,509,"29,750","1,275",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:49:21 AM,32.9237,32.723,← 305°,438,504,"30,350","1,150",FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:49:51 AM,32.9587,32.6628,← 305°,436,502,"30,900",925,FlightAware ADS-B (BEV / LLBS)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:50:21 AM,32.9915,32.6063,← 305°,436,502,"31,275",775,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:50:51 AM,33.0254,32.5481,← 305°,436,502,"31,675","1,000",FlightAware ADS-B (LCA / LCLK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:51:21 AM,33.0607,32.4876,← 305°,431,496,"32,275",836,FlightAware ADS-B (LCA / LCLK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:51:52 AM,33.0953,32.4277,← 305°,434,499,"32,525",762,FlightAware ADS-B (LCA / LCLK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:52:22 AM,33.1305,32.367,← 305°,431,496,"33,050","1,000",FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:52:52 AM,33.1647,32.3081,← 304°,428,493,"33,525",850,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:53:22 AM,33.1982,32.2501,← 304°,427,491,"33,900",475,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:53:52 AM,33.2304,32.1942,← 305°,426,490,"34,000",97,FlightAware ADS-B (LLHZ)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:54:24 AM,33.2657,32.1329,← 304°,425,489,"34,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:55:01 AM,33.3079,32.0592,← 304°,425,489,"34,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:55:31 AM,33.3409,32.0017,← 304°,426,490,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:56:02 AM,33.3763,31.9396,← 304°,427,491,"34,000",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:56:32 AM,33.4101,31.8804,← 304°,429,494,"34,025",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:57:03 AM,33.443,31.8227,← 304°,424,488,"34,025", ,FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:57:23 AM,33.4662,31.7822,← 304°,427,491,"34,025", ,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:57:53 AM,33.4992,31.7241,← 304°,431,496,"34,025",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:58:23 AM,33.5333,31.6641,← 303°,430,495,"34,050", ,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:58:53 AM,33.5668,31.605,← 304°,429,494,"34,025",-25,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:59:23 AM,33.5992,31.5476,← 304°,428,493,"34,025",-25,FlightAware ADS-B (GZP / LTFG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 05:59:53 AM,33.6324,31.4886,← 304°,427,491,"34,000",-25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:00:23 AM,33.6656,31.43,← 304°,426,490,"34,000",-25,FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:00:53 AM,33.6979,31.3728,← 304°,425,489,"33,975",-25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:01:23 AM,33.7318,31.3128,← 304°,424,488,"33,975", ,FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:01:53 AM,33.7649,31.254,← 304°,426,490,"33,975",-23,FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:02:28 AM,33.804,31.1844,← 304°,427,491,"33,950", ,FlightAware ADS-B (LCA / LCLK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:02:59 AM,33.8385,31.1226,← 304°,428,493,"33,975",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:03:29 AM,33.8715,31.0633,← 304°,430,495,"33,975",24,FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:04:02 AM,33.908,30.9979,← 304°,432,497,"34,000",24,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:04:32 AM,33.9396,30.9411,← 304°,433,498,"34,000",50,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:05:02 AM,33.9735,30.8803,← 304°,434,499,"34,050",50,FlightAware ADS-B (ECN / LCEN)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:05:32 AM,34.0074,30.8196,← 304°,434,499,"34,050", ,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:06:02 AM,34.0407,30.7594,← 304°,431,496,"34,050",-25,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:06:33 AM,34.0753,30.6966,← 304°,431,496,"34,025",-48,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:07:05 AM,34.1092,30.6352,← 304°,429,494,"34,000",-23,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:07:37 AM,34.1451,30.5703,← 304°,428,493,"34,000",-24,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:08:08 AM,34.1788,30.509,← 303°,427,491,"33,975",-24,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:08:40 AM,34.2133,30.4461,← 303°,427,491,"33,975",-24,FlightAware ADS-B (GZP / LTFG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:09:10 AM,34.2459,30.3866,← 303°,427,491,"33,950", ,FlightAware ADS-B (GZP / LTFG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:09:40 AM,34.2784,30.3268,← 303°,427,491,"33,975",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:10:10 AM,34.3109,30.2671,← 303°,427,491,"33,975",25,FlightAware ADS-B (GZP / LTFG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:10:40 AM,34.3433,30.2081,← 304°,428,493,"34,000",24,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:11:12 AM,34.3786,30.1435,← 304°,428,493,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:11:43 AM,34.4126,30.0813,← 303°,430,495,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:12:14 AM,34.4471,30.0207,← 307°,431,496,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:12:46 AM,34.4859,29.9603,← 308°,433,498,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:13:18 AM,34.5256,29.8983,← 308°,435,501,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:13:49 AM,34.5643,29.8368,← 307°,436,502,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:14:21 AM,34.6029,29.7748,← 307°,439,505,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:14:51 AM,34.6392,29.7162,← 307°,439,505,"34,000",25,FlightAware ADS-B (PFO / LCPH)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:15:21 AM,34.6766,29.6562,← 307°,440,506,"34,025",25,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:15:52 AM,34.715,29.5948,← 307°,440,506,"34,025",-24,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:16:24 AM,34.754,29.532,← 307°,441,507,"34,000",-24,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:16:55 AM,34.791,29.4721,← 307°,442,509,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:17:26 AM,34.8295,29.4096,← 307°,443,510,"34,000",-25,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:17:56 AM,34.8668,29.3489,← 307°,444,511,"33,975", ,FlightAware ADS-B (AYT / LTAI)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:18:26 AM,34.9033,29.2895,← 307°,445,512,"34,000",25,FlightAware ADS-B (AYT / LTAI)
