Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:46:13 PM    Departure (TLV) @ Monday 12:46:13 PM IDT,32.0176,34.8918,FlightAware ADS-B (TLV / LLBG),91,105,350, ,FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:46:13 PM,32.0161,34.8818,← 262°,150,173,325,422,FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:46:29 PM,32.0138,34.8665,← 260°,181,208,575,"1,922",FlightAware ADS-B (AKT / LCRA)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:46:45 PM,32.0111,34.8506,← 260°,178,205,"1,350","2,672",FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:47:01 PM,32.0083,34.836,← 258°,180,207,"2,000","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:47:17 PM,32.005,34.8211,← 256°,186,214,"2,425","1,641",FlightAware ADS-B (LLHZ)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:47:33 PM,32.0013,34.8043,← 255°,185,213,"2,875","1,465",FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:47:49 PM,31.9961,34.7785,← 256°,193,222,"3,475","1,117",FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:48:16 PM,31.9923,34.7563,← 258°,209,241,"3,750",833,FlightAware ADS-B (SDV / LLSD)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:48:36 PM,31.9938,34.7382,← 262°,219,252,"3,975",708,FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:48:52 PM,32.0003,34.7141,← 284°,240,276,"4,175",780,FlightAware ADS-B (TLV / LLBG)
TLV - ATL,DELTA,DL249,A359,17/07/2023,Mon 12:49:12 PM,32.0136,34.6741,← 290°,271,312,"4,625","1,810",FlightAware ADS-B (LCA / LCLK)
