Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:35:56 PM,32.011,32.01100169205943,← 259°,170.0,196.0,"1,150", ,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:36:12 PM,32.01099999895402,32.01100877050646,← 257°,183.0,211.0,"1,525","1,172",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:36:28 PM,32.01099999355627,32.011026524493936,← 256°,205.0,236.0,"1,775",844,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:36:44 PM,32.010999977351304,32.0110612666559,← 255°,225.0,259.0,"1,975",986,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:37:03 PM,32.01099994001049,32.011119829898746,← 256°,257.0,296.0,"2,350","1,917",FlightAware ADS-B (LLEK)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:37:20 PM,32.01099986709545,32.011209194998536,← 270°,258.0,297.0,"3,125","2,529",FlightAware ADS-B (LLHZ)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:37:38 PM,32.010999740753185,32.01133624280207,← 297°,261.0,300.0,"3,825","2,149",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:37:57 PM,32.01099954146706,32.01150760453216,↖ 330°,274.0,315.0,"4,450","2,487",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:38:16 PM,32.010999250503446,32.01172958288996,↑ 7°,273.0,314.0,"5,400","2,786",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:38:32 PM,32.010998852327646,32.01200812118128,↗ 40°,278.0,320.0,"6,075","2,409",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:38:49 PM,32.010998336536794,32.012348803250255,→ 73°,283.0,326.0,"6,725","2,647",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:39:06 PM,32.01099769901548,32.01275687190924,→ 102°,286.0,329.0,"7,575","2,229",FlightAware ADS-B (PFO / LCPH)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:39:24 PM,32.01099694236993,32.013237257324235,→ 103°,290.0,334.0,"8,025",719,FlightAware ADS-B (SDV / LLSD)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:39:54 PM,32.01099607578734,32.01379461001735,→ 102°,288.0,331.0,"8,150",156,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:40:12 PM,32.01099511454735,32.01443333476835,→ 102°,290.0,334.0,"8,150",-31,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:40:42 PM,32.010994079315125,32.01515762341892,→ 101°,293.0,337.0,"8,125",74,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:41:13 PM,32.01099299531737,32.01597148542248,→ 101°,293.0,337.0,"8,225",556,FlightAware ADS-B (JRS / LLJR)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:41:44 PM,32.01099189147388,32.01687877552122,→ 101°,298.0,343.0,"8,700",885,FlightAware ADS-B (LLEK)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:42:14 PM,32.010990799533936,32.0178832182953,→ 102°,300.0,345.0,"9,125",450,FlightAware ADS-B (BEV / LLBS)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:42:44 PM,32.010989753248566,32.01898842956246,→ 102°,304.0,350.0,"9,150",25,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:43:14 PM,32.010988787590804,32.02019793477639,→ 102°,302.0,348.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:43:30 PM,32.01098793804574,32.02151518454398,→ 102°,305.0,351.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:44:00 PM,32.01098723995955,32.02294356757631,→ 102°,303.0,349.0,"9,150", ,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:44:16 PM,32.01098672795396,32.024486421282816,→ 102°,300.0,345.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:44:47 PM,32.010986435389796,32.02614704033244,→ 102°,301.0,346.0,"9,150", ,FlightAware ADS-B (SDV / LLSD)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:45:17 PM,32.01098639386874,32.02792868345991,→ 102°,303.0,349.0,"9,150", ,FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:45:33 PM,32.010986632776586,32.029834578695294,→ 102°,302.0,348.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:46:03 PM,32.01098717885475,32.03186792726824,→ 102°,301.0,346.0,"9,150", ,FlightAware ADS-B (BEV / LLBS)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:46:20 PM,32.01098805580181,32.03403190633484,→ 102°,301.0,346.0,"9,150", ,FlightAware ADS-B (JRS / LLJR)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:46:50 PM,32.01098928389486,32.03632967072586,→ 102°,299.0,344.0,"9,150", ,FlightAware ADS-B (LLEK)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:47:07 PM,32.01099087962191,32.03876435383037,↘ 123°,296.0,341.0,"9,150", ,FlightAware ADS-B (BEV / LLBS)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:47:33 PM,32.010992855297275,32.0413390677426,↘ 126°,296.0,341.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:47:49 PM,32.010995218656376,32.04405690276401,↘ 126°,296.0,341.0,"9,150", ,FlightAware ADS-B (AMM / OJAI)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:48:05 PM,32.0109979724328,32.04692092634266,↘ 125°,296.0,341.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:48:21 PM,32.01100111391783,32.04993418153235,↘ 125°,296.0,341.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:48:37 PM,32.011004634503806,32.05309968504709,↘ 125°,296.0,341.0,"9,150", ,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:48:53 PM,32.01100851921378,32.05642042497828,↘ 125°,296.0,341.0,"9,150",261,FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:49:23 PM,32.01101274620211,32.0598993582658,↘ 125°,298.0,343.0,"9,350","1,360",FlightAware ADS-B (JRS / LLJR)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:50:08 PM,32.01101728619553,32.06353940803144,↘ 125°,320.0,368.0,"10,850","1,638",FlightAware ADS-B (AMM / OJAI)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:50:39 PM,32.0110221018716,32.067343460832596,↘ 125°,349.0,402.0,"11,425","1,697",FlightAware ADS-B (SDV / LLSD)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:51:09 PM,32.01102714717275,32.07131436388651,↘ 125°,355.0,409.0,"12,575","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:51:41 PM,32.01103236655333,32.07545492231101,↘ 126°,364.0,419.0,"13,750","2,063",FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:52:13 PM,32.011037694159306,32.07976789641986,↘ 126°,372.0,428.0,"14,775","1,852",FlightAware ADS-B (HFA / LLHA)
TLV - AUH,Etihad Airways,EY594,A320,13/07/2023,Thu 03:52:45 PM,32.01104305294047,32.08425599910593,↘ 125°,380.0,437.0,"15,725","1,833",FlightAware ADS-B (HFA / LLHA)
