Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:03:16 PM,32.0095,34.8422,← 257°,173,199,"1,300", ,FlightAware ADS-B (LCA / LCLK)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:03:33 PM,32.0063,34.8282,← 255°,175,201,"1,850","1,909",FlightAware ADS-B (TLV / LLBG)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:03:49 PM,32.0029,34.8128,← 256°,177,204,"2,350","1,828",FlightAware ADS-B (TLV / LLBG)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:04:05 PM,32,34.7981,← 256°,179,206,"2,825","1,667",FlightAware ADS-B (TLV / LLBG)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:04:25 PM,31.9961,34.7788,← 257°,186,214,"3,350","1,581",FlightAware ADS-B (SDV / LLSD)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:04:42 PM,31.993,34.7597,← 266°,199,229,"3,800","1,318",FlightAware ADS-B (LLEK)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:04:58 PM,31.994,34.7435,← 280°,211,243,"4,075","1,000",FlightAware ADS-B (TLV / LLBG)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:05:21 PM,32.0014,34.7176,← 290°,238,274,"4,450","1,019",FlightAware ADS-B (TLV / LLBG)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:05:51 PM,32.0141,34.677,← 290°,271,312,"4,975","1,469",FlightAware ADS-B (LCA / LCLK)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:06:10 PM,32.0222,34.6498,← 286°,279,321,"5,650","2,270",FlightAware ADS-B (LCA / LCLK)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:06:28 PM,32.0269,34.6232,← 277°,281,323,"6,375","2,236",FlightAware ADS-B (LLEK)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:07:58 PM,32.04,34.4872,← 293°,300,345,"9,675","2,359",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:08:18 PM,32.0557,34.4634,↖ 330°,308,354,"10,700","1,974",FlightAware MLAT (7 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:08:36 PM,32.0815,34.4476,↑ 351°,320,368,"10,925","1,071",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:08:53 PM,32.1068,34.4465,↑ 7°,340,391,"11,325","1,167",FlightAware MLAT (7 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:09:21 PM,32.1552,34.4505,↖ 335°,363,418,"11,800","1,836",FlightAware ADS-B (SDV / LLSD)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:10:40 PM,32.275,34.3925,↖ 335°,378,435,"14,600","2,066",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:11:15 PM,32.3373,34.3482,↖ 334°,392,451,"15,725","2,136",FlightAware MLAT (4 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:11:46 PM,32.388,34.3188,↖ 334°,398,458,"16,950","2,836",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:12:19 PM,32.4437,34.2869,↖ 334°,402,463,"18,750","2,813",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:12:50 PM,32.4954,34.2565,↖ 334°,406,467,"19,950","2,238",FlightAware MLAT (4 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:13:20 PM,32.5492,34.2306,↑ 346°,414,476,"21,025","2,017",FlightAware MLAT (8 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:13:48 PM,32.6015,34.2227,↑ 354°,422,486,"21,900","1,602",FlightAware MLAT (6 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:14:19 PM,32.6622,34.2169,↑ 354°,426,490,"22,600","1,839",FlightAware MLAT (5 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:14:50 PM,32.7253,34.2097,↑ 354°,438,504,"23,800","1,935",FlightAware MLAT (9 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:15:21 PM,32.7867,34.2021,↑ 354°,442,509,"24,600","1,205",FlightAware MLAT (6 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:15:51 PM,32.8505,34.1957,↑ 354°,446,513,"25,025","1,175",FlightAware MLAT (6 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:16:21 PM,32.9122,34.1884,↑ 354°,452,520,"25,775","1,500",FlightAware MLAT (7 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:16:53 PM,32.9776,34.1793,↑ 354°,460,529,"26,575","1,403",FlightAware MLAT (8 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:17:23 PM,33.041,34.1736,↑ 354°,464,534,"27,225","1,355",FlightAware MLAT (6 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:17:55 PM,33.1135,34.1649,↑ 354°,468,539,"27,975","1,381",FlightAware MLAT (4 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:18:26 PM,33.1817,34.1578,↑ 354°,474,545,"28,675","1,303",FlightAware MLAT (9 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:18:56 PM,33.2465,34.1497,↑ 354°,476,548,"29,300","1,300",FlightAware MLAT (4 sites)
TLV - AYT,Turkish Airlines,TK7669,B738,19/07/2023,Wed 02:19:26 PM,33.3132,34.1418,↑ 355°,478,550,"29,975","1,427",FlightAware MLAT (10 sites)
