Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:33:53 PM,32.0124,32.01240169527751,← 260°,161.0,185.0,950, ,FlightAware ADS-B (BEY / OLBA)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:34:09 PM,32.01239999899137,32.01240878775809,← 256°,164.0,189.0,"1,550","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:34:25 PM,32.0123999939261,32.012426578744275,← 256°,167.0,192.0,"2,150","2,156",FlightAware ADS-B (LLHS)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:34:41 PM,32.01239997899614,32.012461396980015,← 256°,169.0,194.0,"2,700","1,781",FlightAware ADS-B (LLHZ)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:34:57 PM,32.012399945320674,32.01252009586023,← 257°,173.0,199.0,"3,100","1,071",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:35:16 PM,32.012399880817014,32.012609681407305,← 249°,198.0,228.0,"3,325",892,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:35:34 PM,32.01239976968794,32.01273706474412,↙ 206°,222.0,255.0,"3,650","1,714",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:35:51 PM,32.01239959148385,32.012908913004196,↓ 172°,223.0,257.0,"4,325","2,443",FlightAware ADS-B (SDV / LLSD)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:36:09 PM,32.01239932011499,32.01313157113413,↘ 128°,201.0,231.0,"5,075","1,866",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:36:32 PM,32.01239892323803,32.01341103159623,→ 99°,203.0,234.0,"5,600",981,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:37:01 PM,32.012398362094885,32.0137529347399,→ 90°,237.0,273.0,"5,925",764,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:37:25 PM,32.01239759172293,32.014162587398076,→ 91°,275.0,316.0,"6,275","1,696",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:38:48 PM,32.012396561337795,32.014644992796775,→ 91°,302.0,348.0,"8,950","1,580",FlightAware MLAT (8 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:39:18 PM,32.01239521478996,32.015204885122024,→ 91°,362.0,417.0,"9,250",258,FlightAware MLAT (7 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:39:52 PM,32.01239349105884,32.01584676501846,→ 91°,396.0,456.0,"9,225",-60,FlightAware MLAT (4 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:40:08 PM,32.01239132473853,32.01657493346374,→ 91°,410.0,472.0,"9,200",-45,FlightAware MLAT (6 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:40:25 PM,32.01238864647902,32.017393522746595,→ 91°,410.0,472.0,"9,200",43,FlightAware MLAT (4 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:40:43 PM,32.01238538337813,32.0183065240646,→ 91°,410.0,472.0,"9,225",44,FlightAware MLAT (8 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:40:59 PM,32.01238145932729,32.01931781166089,→ 91°,410.0,472.0,"9,225", ,FlightAware MLAT (5 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:41:32 PM,32.012376795314985,32.02043116380755,→ 91°,410.0,472.0,"9,225", ,FlightAware MLAT (4 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:41:53 PM,32.012371309688305,32.02165028076408,→ 91°,410.0,472.0,"9,225", ,FlightAware MLAT (4 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:42:09 PM,32.01236491838073,32.022978799878835,→ 91°,412.0,474.0,"9,225", ,FlightAware MLAT (6 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:42:25 PM,32.012357535107455,32.0244203080733,→ 91°,412.0,474.0,"9,225", ,FlightAware MLAT (4 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:42:56 PM,32.012349071531126,32.025978352098285,→ 92°,408.0,470.0,"9,225", ,FlightAware MLAT (7 sites)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:43:23 PM,32.01233943740452,32.02765644684354,→ 95°,409.0,471.0,"9,225", ,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:43:39 PM,32.012328540675384,32.0294580818819,↘ 111°,406.0,467.0,"9,225",527,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:44:00 PM,32.012316287524065,32.03138672646365,↘ 115°,404.0,465.0,"9,550","1,559",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:44:30 PM,32.012302582299604,32.03344583321638,↘ 115°,410.0,472.0,"10,550","1,972",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:44:54 PM,32.01228732735229,32.035638840729185,↘ 120°,414.0,476.0,"11,325","2,128",FlightAware ADS-B (HFA / LLHA)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:45:13 PM,32.01227042276241,32.03796917514616,↘ 132°,410.0,472.0,"12,075","2,051",FlightAware ADS-B (JRS / LLJR)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:45:43 PM,32.012251765936085,32.040440250921876,↘ 134°,414.0,476.0,"13,000","1,975",FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:46:13 PM,32.012231251052846,32.043055470877,↘ 133°,414.0,476.0,"14,050","1,600",FlightAware ADS-B (JRS / LLJR)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:46:43 PM,32.0122087683658,32.04581822566943,↘ 133°,423.0,487.0,"14,600","1,050",FlightAware ADS-B (JRS / LLJR)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:47:13 PM,32.012184203363326,32.048731892779266,↘ 133°,425.0,489.0,"15,100",726,FlightAware ADS-B (TLV / LLBG)
TLV - BAH,Gulf Air,GF973,A320,16/07/2023,Sun 04:47:45 PM,32.01215743579625,32.05179983510257,↘ 133°,427.0,491.0,"15,350",871,FlightAware ADS-B (TLV / LLBG)
