Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:01:53 AM,32.0124,34.8584,← 260°,161,185,675, ,FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:02:09 AM,32.0096,34.8443,← 256°,152,175,"1,450","2,531",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:02:25 AM,32.0072,34.8322,← 257°,150,173,"2,025","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:02:41 AM,32.0043,34.8184,← 256°,153,176,"2,625","2,063",FlightAware ADS-B (AKT / LCRA)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:02:57 AM,32.0018,34.8069,← 256°,151,174,"3,125","1,688",FlightAware ADS-B (LLEK)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:03:13 AM,31.9988,34.7928,← 256°,168,193,"3,525","1,337",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:03:43 AM,31.9927,34.7633,← 257°,202,232,"4,150","1,255",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:04:02 AM,31.9935,34.7422,← 288°,226,260,"4,550","1,714",FlightAware ADS-B (LLEK)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:04:32 AM,32.0057,34.7027,← 289°,262,302,"5,550","1,775",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:05:02 AM,32.0184,34.6606,← 290°,277,319,"6,325","1,469",FlightAware ADS-B (AKT / LCRA)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:05:20 AM,32.0249,34.6377,← 282°,279,321,"6,725","1,344",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:05:50 AM,32.0283,34.5903,← 274°,299,344,"7,400","1,075",FlightAware ADS-B (TLV / LLBG)
TLV - BEG,Air Serbia,ASL817,A319,2/7/2023,Sun 07:06:20 AM,32.0316,34.5352,← 274°,345,397,"7,800",775,FlightAware ADS-B (BEY / OLBA)
