Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:14:09 PM,32.008,34.8386,← 255°,176,203,"1,550", ,FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:14:25 PM,32.0046,34.8229,← 257°,179,206,"2,225","2,438",FlightAware ADS-B (SDV / LLSD)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:14:41 PM,32.0019,34.8084,← 257°,178,205,"2,850","2,391",FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:14:57 PM,31.999,34.7929,← 258°,180,207,"3,500","1,727",FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:15:14 PM,31.9957,34.7753,← 257°,207,238,"3,800",900,FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:15:32 PM,31.9936,34.7529,← 270°,235,270,"4,025","1,500",FlightAware ADS-B (AKT / LCRA)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:15:49 PM,31.9975,34.7321,← 290°,246,283,"4,675","2,170",FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:16:19 PM,32.0097,34.6929,← 290°,268,308,"5,725","1,629",FlightAware ADS-B (LLHS)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:16:47 PM,32.0225,34.65,← 287°,311,358,"6,250","1,053",FlightAware ADS-B (AKT / LCRA)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:17:06 PM,32.0274,34.6195,← 275°,335,386,"6,550","1,010",FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:17:36 PM,32.0305,34.5624,← 274°,334,384,"7,075","1,000",FlightAware ADS-B (BEV / LLBS)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:18:06 PM,32.0332,34.5095,← 274°,332,382,"7,550",960,FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:18:26 PM,32.0421,34.4754,← 305°,335,386,"7,875",987,FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:18:44 PM,32.065,34.4547,↑ 341°,340,391,"8,175","2,172",FlightAware ADS-B (PFO / LCPH)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:19:33 PM,32.1421,34.4588,↑ 3°,357,411,"10,300","2,668",FlightAware ADS-B (TLV / LLBG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:21:13 PM,32.3135,34.4547,↑ 358°,380,437,"14,800","2,500",FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:21:57 PM,32.3916,34.4502,↑ 358°,394,453,"16,300","2,182",FlightAware MLAT (4 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:22:30 PM,32.4524,34.4488,↑ 358°,398,458,"17,600","2,320",FlightAware MLAT (4 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:23:01 PM,32.5117,34.4468,↑ 358°,406,467,"18,775","1,835",FlightAware ADS-B (SDV / LLSD)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:24:22 PM,32.6664,34.4415,↑ 358°,424,488,"21,025","1,714",FlightAware MLAT (7 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:24:53 PM,32.7285,34.4397,↑ 358°,433,498,"21,975","1,585",FlightAware ADS-B (SDV / LLSD)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:26:08 PM,32.8812,34.4345,↑ 358°,446,513,"23,825","1,346",FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:26:40 PM,32.947,34.4319,↑ 358°,448,516,"24,375","1,333",FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:27:11 PM,33.0108,34.4303,↑ 358°,448,516,"25,225","1,254",FlightAware MLAT (11 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:27:41 PM,33.0739,34.4277,↑ 358°,452,520,"25,650","1,082",FlightAware MLAT (9 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:28:12 PM,33.1394,34.4256,↑ 358°,454,522,"26,325","1,085",FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:28:46 PM,33.2119,34.4233,↑ 358°,460,529,"26,825",633,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:29:16 PM,33.2762,34.4213,↑ 358°,462,532,"27,000","1,148",FlightAware MLAT (4 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:29:50 PM,33.3494,34.4186,↑ 358°,468,539,"28,050","1,313",FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:30:20 PM,33.4156,34.4168,↑ 358°,474,545,"28,400",725,FlightAware MLAT (7 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:30:50 PM,33.4806,34.4147,↑ 358°,478,550,"28,775",811,FlightAware MLAT (12 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:31:21 PM,33.5492,34.4125,↑ 358°,480,552,"29,225",934,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:31:51 PM,33.6174,34.4097,↑ 358°,482,555,"29,725",992,FlightAware MLAT (9 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:32:23 PM,33.6868,34.4075,↑ 358°,480,552,"30,250","1,172",FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:32:55 PM,33.758,34.4053,↑ 358°,480,552,"30,975","1,148",FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:33:27 PM,33.8288,34.4027,↑ 358°,480,552,"31,475",795,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:34:01 PM,33.9051,34.4005,↑ 358°,482,555,"31,850",568,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:34:33 PM,33.9762,34.3974,↑ 358°,486,559,"32,100",765,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:34:50 PM,34.0151,34.3977,↑ 358°,488,562,"32,475","1,182",FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:35:06 PM,34.0498,34.3981,↑ 358°,488,562,"32,750",792,FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:35:26 PM,34.0963,34.3934,↑ 358°,488,562,"32,950",962,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:35:59 PM,34.1708,34.392,↑ 358°,484,557,"33,600","1,125",FlightAware MLAT (4 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:36:30 PM,34.2385,34.3898,↑ 358°,478,550,"34,150","1,131",FlightAware MLAT (11 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:37:00 PM,34.3038,34.3865,↑ 358°,472,543,"34,750","1,119",FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:37:33 PM,34.3744,34.3789,↑ 352°,462,532,"35,325",914,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:38:04 PM,34.4391,34.364,↑ 349°,456,525,"35,725",677,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:38:35 PM,34.5025,34.3474,↑ 349°,456,525,"36,025",270,FlightAware MLAT (9 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:39:05 PM,34.5655,34.333,↑ 349°,460,529,"36,000",-25,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:39:35 PM,34.6288,34.3179,↑ 349°,464,534,"36,000", ,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:40:06 PM,34.6933,34.3016,↑ 349°,414,476,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:40:38 PM,34.7602,34.2871,↑ 349°,462,532,"36,000", ,FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:41:08 PM,34.8218,34.2724,↑ 349°,458,527,"36,000", ,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:41:40 PM,34.8931,34.257,↑ 349°,456,525,"36,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:42:13 PM,34.9577,34.2421,↑ 349°,453,521,"36,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:42:43 PM,35.0192,34.2278,↑ 349°,450,518,"36,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:43:29 PM,35.1141,34.2057,↑ 349°,447,514,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:43:59 PM,35.1751,34.1915,↑ 349°,445,512,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:44:29 PM,35.2358,34.1772,↑ 349°,443,510,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:44:59 PM,35.2948,34.1632,↑ 349°,442,509,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:45:30 PM,35.3565,34.1485,↑ 349°,444,511,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:46:00 PM,35.4175,34.1339,↑ 349°,451,519,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:46:32 PM,35.4848,34.1179,↑ 349°,458,527,"36,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:47:03 PM,35.5487,34.1027,↑ 349°,463,533,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:47:33 PM,35.6126,34.0876,↑ 349°,467,537,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:48:03 PM,35.6747,34.0729,↑ 349°,468,539,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:48:33 PM,35.7384,34.058,↑ 349°,466,536,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:49:04 PM,35.8096,34.0401,↑ 345°,460,529,"36,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:49:28 PM,35.8542,34.0205,↖ 336°,448,516,"36,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:50:19 PM,35.9432,33.9593,↖ 330°,437,503,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:51:40 PM,36.0853,33.8568,↖ 330°,432,497,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:52:15 PM,36.1456,33.8145,↖ 330°,432,497,"36,000", ,FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:52:48 PM,36.2027,33.7735,↖ 330°,430,495,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:53:18 PM,36.2542,33.7365,↖ 330°,430,495,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:53:49 PM,36.3073,33.6949,↖ 330°,430,495,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:54:19 PM,36.3543,33.6507,↖ 330°,432,497,"36,000", ,FlightAware MLAT (6 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:54:43 PM,36.3999,33.6284,↖ 330°,434,499,"36,000", ,FlightAware MLAT (4 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:55:25 PM,36.4739,33.5762,↖ 330°,434,499,"36,000", ,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:56:12 PM,36.5558,33.5159,↖ 330°,438,504,"36,000", ,FlightAware MLAT (8 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:56:43 PM,36.6097,33.4773,↖ 330°,438,504,"36,000", ,FlightAware MLAT (9 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:57:17 PM,36.6696,33.4344,↖ 330°,438,504,"36,000", ,FlightAware MLAT (5 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:57:47 PM,36.721,33.3945,↖ 330°,438,504,"36,000", ,FlightAware MLAT (10 sites)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:58:19 PM,36.7779,33.3545,↖ 329°,440,506,"36,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:58:49 PM,36.8342,33.3127,↖ 327°,439,505,"36,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 06:59:36 PM,36.9068,33.2427,↖ 321°,432,497,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:00:06 PM,36.954,33.1956,↖ 321°,432,497,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:00:36 PM,37.0005,33.1494,↖ 321°,428,493,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:01:06 PM,37.047,33.1034,↖ 322°,424,488,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:01:37 PM,37.0936,33.0569,↖ 321°,418,481,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:02:07 PM,37.1389,33.0118,↖ 321°,415,478,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:02:37 PM,37.1831,32.9676,↖ 321°,412,474,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:03:07 PM,37.2296,32.9211,↖ 321°,408,470,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:03:38 PM,37.2731,32.8777,↖ 321°,408,470,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:04:08 PM,37.3178,32.8326,↖ 321°,409,471,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:04:38 PM,37.3619,32.7883,↖ 321°,412,474,"36,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:05:08 PM,37.4059,32.7439,↖ 321°,413,475,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:05:38 PM,37.4518,32.6978,↖ 321°,415,478,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:06:09 PM,37.4998,32.6492,↖ 321°,417,480,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:06:39 PM,37.5438,32.6048,↖ 321°,419,482,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:07:09 PM,37.5879,32.5601,↖ 321°,420,483,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:07:39 PM,37.6336,32.5137,↖ 321°,422,486,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:08:09 PM,37.6796,32.4671,↖ 321°,419,482,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:08:39 PM,37.7239,32.422,↖ 321°,419,482,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:09:09 PM,37.7694,32.3755,↖ 321°,419,482,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:09:45 PM,37.8218,32.322,↖ 321°,414,476,"36,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:10:17 PM,37.8712,32.2716,↖ 321°,407,468,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:10:47 PM,37.9149,32.2267,↖ 321°,402,463,"36,000", ,FlightAware ADS-B (LTFN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:11:17 PM,37.9577,32.1826,↖ 321°,397,457,"36,000", ,FlightAware ADS-B (LTFN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:11:47 PM,38.0006,32.1385,↖ 321°,397,457,"36,000", ,FlightAware ADS-B (LTFN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:12:18 PM,38.0446,32.0933,↖ 321°,400,460,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:12:48 PM,38.0887,32.0478,↖ 321°,403,464,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:13:22 PM,38.1369,31.998,↖ 321°,405,466,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:13:59 PM,38.1893,31.9437,↖ 321°,408,470,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:14:29 PM,38.2342,31.8971,↖ 321°,409,471,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:14:59 PM,38.2787,31.8509,↖ 321°,412,474,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:15:30 PM,38.3236,31.8043,↖ 321°,414,476,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:16:00 PM,38.3672,31.7588,↖ 321°,414,476,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:16:30 PM,38.4129,31.7112,↖ 321°,418,481,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:17:00 PM,38.4564,31.6657,↖ 321°,416,479,"36,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:17:36 PM,38.5102,31.6093,↖ 321°,417,480,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:18:06 PM,38.5563,31.5607,↖ 320°,417,480,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:18:37 PM,38.6007,31.5141,↖ 321°,417,480,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:19:09 PM,38.6493,31.4632,↖ 321°,409,471,"36,000", ,FlightAware ADS-B (AFY / LTAH)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:19:39 PM,38.693,31.4171,↖ 320°,402,463,"36,000", ,FlightAware ADS-B (AFY / LTAH)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:20:10 PM,38.735,31.3728,↖ 321°,398,458,"36,000", ,FlightAware ADS-B (AFY / LTAH)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:20:40 PM,38.7782,31.327,↖ 320°,396,456,"36,000", ,FlightAware ADS-B (AFY / LTAH)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:21:10 PM,38.8233,31.2823,↖ 327°,404,465,"36,000", ,FlightAware ADS-B (LTFN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:21:28 PM,38.8518,31.2613,↖ 333°,414,476,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:22:02 PM,38.9109,31.2257,↖ 335°,420,483,"36,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:22:38 PM,38.9773,31.1855,↖ 335°,428,493,"36,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:23:10 PM,39.0335,31.1513,↖ 334°,431,496,"36,000", ,FlightAware ADS-B (LTFN)
TLV - BER,El Al,LY2373,B738,29/06/2023,Thu 07:23:40 PM,39.0888,31.1174,↖ 334°,436,502,"36,000", ,FlightAware ADS-B (LTFN)
