Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:02:00 PM,32.0134,32.013401698674386,← 260°,177.0,204.0,625, ,FlightAware ADS-B (AKT / LCRA)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:02:16 PM,32.01339999902873,32.013408805003124,← 258°,184.0,212.0,"1,075","2,091",FlightAware ADS-B (PFO / LCPH)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:02:33 PM,32.01339999400256,32.01342662936647,← 256°,182.0,209.0,"1,775","2,364",FlightAware ADS-B (TLV / LLBG)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:02:49 PM,32.0133999789631,32.013461510344385,← 256°,179.0,206.0,"2,375","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:03:05 PM,32.01339994424134,32.01352031097356,↙ 222°,191.0,220.0,"2,875","1,671",FlightAware ADS-B (BEV / LLBS)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:03:24 PM,32.01339987514883,32.01361004713239,↓ 181°,198.0,228.0,"3,350","1,414",FlightAware ADS-B (LLEK)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:03:40 PM,32.01339975064682,32.01373764174727,↘ 146°,208.0,239.0,"3,700","1,078",FlightAware ADS-B (LLHZ)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:03:56 PM,32.01339954253218,32.01390977774337,→ 108°,220.0,253.0,"3,925",891,FlightAware ADS-B (TLV / LLBG)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:04:12 PM,32.01339921527566,32.01413282144936,→ 100°,240.0,276.0,"4,175",938,FlightAware ADS-B (LLEK)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:04:28 PM,32.01339872637616,32.01441279296733,→ 93°,254.0,292.0,"4,425",938,FlightAware ADS-B (LLEK)
TLV - BKK,El Al,ELY83,B788,17/07/2023,Mon 10:04:44 PM,32.01339802701523,32.01475536625307,→ 93°,268.0,308.0,"4,675","1,136",FlightAware ADS-B (TLV / LLBG)
