Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:26:22 PM,32.0132,34.8625,← 260°,167,192,925, ,FlightAware ADS-B (TLV / LLBG)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:26:48 PM,32.0084,34.8387,← 257°,184,212,"1,725","1,536",FlightAware ADS-B (LLHZ)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:27:04 PM,32.0052,34.8223,← 257°,207,238,"2,000","1,219",FlightAware ADS-B (TLV / LLBG)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:27:20 PM,32.0015,34.8031,← 257°,225,259,"2,375","1,976",FlightAware ADS-B (PFO / LCPH)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:27:45 PM,31.9952,34.7728,← 256°,230,265,"3,350","1,988",FlightAware ADS-B (BEV / LLBS)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:28:03 PM,31.993,34.7511,← 272°,242,278,"3,800","1,286",FlightAware ADS-B (SDV / LLSD)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:28:20 PM,31.9972,34.7302,← 291°,259,298,"4,100","1,414",FlightAware ADS-B (TLV / LLBG)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:28:38 PM,32.0057,34.7033,← 290°,272,313,"4,625","2,188",FlightAware ADS-B (LLHS)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:29:08 PM,32.0184,34.6626,← 290°,273,314,"5,850","2,441",FlightAware ADS-B (LLHS)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:29:29 PM,32.0258,34.6316,← 280°,278,320,"6,700","2,351",FlightAware ADS-B (TLV / LLBG)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:29:45 PM,32.028,34.6083,← 277°,280,322,"7,300","2,123",FlightAware ADS-B (LLHS)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:31:27 PM,32.0639,34.4547,← 285°,302,348,"10,875","1,898",FlightAware MLAT (5 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:31:57 PM,32.0753,34.4067,← 285°,308,354,"11,475","1,911",FlightAware MLAT (4 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:32:29 PM,32.0868,34.353,← 285°,314,361,"12,850","1,703",FlightAware MLAT (4 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:34:25 PM,32.1261,34.1666,← 285°,346,398,"15,675","1,572",FlightAware MLAT (5 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:34:55 PM,32.1458,34.1002,← 285°,352,405,"16,675","1,935",FlightAware MLAT (4 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:35:27 PM,32.1576,34.0385,← 285°,350,403,"17,675","1,548",FlightAware MLAT (4 sites)
TLV - BLQ,Ryanair,FR3795,B738,22/07/2023,Sat 01:35:58 PM,32.1728,33.9821,← 291°,352,405,"18,300","1,500",FlightAware MLAT (5 sites)
