Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:12:53 PM,32.0014,34.8155,← 256°,172,198,"3,000", ,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:13:10 PM,32.0006,34.7974,← 255°,172,198,"3,775","1,955",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:13:26 PM,31.9982,34.7833,← 255°,194,223,"4,075","1,536",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:13:52 PM,31.9916,34.7589,← 264°,230,265,"4,850","2,036",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:14:08 PM,31.9907,34.7391,← 283°,230,265,"5,500","2,162",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:14:26 PM,31.9931,34.7208,← 290°,256,295,"6,075","2,370",FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:14:58 PM,32.0091,34.676,← 290°,270,311,"7,475","2,694",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:15:15 PM,32.0166,34.6529,← 286°,278,320,"8,275","2,657",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:15:33 PM,32.025,34.6244,← 274°,284,327,"9,025","2,294",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:15:49 PM,32.0316,34.5932,← 274°,288,331,"9,575","2,250",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:16:19 PM,32.0331,34.5448,← 273°,296,341,"10,750","1,645",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:16:51 PM,32.038,34.4928,← 290°,334,384,"11,275","1,700",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:17:19 PM,32.0608,34.4477,↖ 316°,348,400,"12,450","2,413",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:17:37 PM,32.0864,34.4347,↑ 1°,370,426,"13,125","2,724",FlightAware MLAT (10 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:18:08 PM,32.155,34.4609,↑ 11°,374,430,"14,675","2,976",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:18:39 PM,32.2078,34.4702,↑ 9°,376,433,"16,200","2,803",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:19:09 PM,32.2609,34.4766,↑ 5°,378,435,"17,525","2,650",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:19:39 PM,32.314,34.4805,↑ 350°,382,440,"18,850","2,739",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:19:55 PM,32.3426,34.4802,↖ 328°,382,440,"19,625","2,700",FlightAware MLAT (10 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:20:14 PM,32.3707,34.4669,↖ 322°,382,440,"20,425","2,271",FlightAware MLAT (12 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:20:30 PM,32.3952,34.4428,← 315°,386,444,"20,950","2,202",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:21:16 PM,32.4477,34.3451,← 315°,398,458,"22,700","2,065",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:21:47 PM,32.4864,34.2946,← 315°,404,465,"23,600","1,985",FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:22:21 PM,32.5341,34.245,↖ 328°,416,479,"24,850","1,912",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:22:38 PM,32.5622,34.2266,↖ 338°,420,483,"25,225","1,757",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:22:56 PM,32.599,34.215,↑ 355°,432,497,"25,875","1,458",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:23:14 PM,32.6327,34.2068,↑ 355°,432,497,"26,100","1,472",FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:23:50 PM,32.708,34.21,↑ 354°,440,506,"27,200","1,727",FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:24:20 PM,32.7715,34.2055,↑ 354°,448,516,"28,000","1,500",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:24:50 PM,32.8352,34.1981,↑ 354°,456,525,"28,700","1,573",FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:25:22 PM,32.9018,34.1909,↑ 354°,454,522,"29,625","1,355",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:25:52 PM,32.9644,34.183,↑ 354°,458,527,"30,100",475,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:26:22 PM,33.0304,34.1754,↑ 354°,472,543,"30,100", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:26:54 PM,33.101,34.167,↑ 354°,472,543,"30,100",-24,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:27:24 PM,33.1659,34.1594,↑ 355°,476,548,"30,075", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:27:54 PM,33.2311,34.1516,↑ 355°,474,545,"30,100", ,FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:28:25 PM,33.2958,34.142,↑ 354°,474,545,"30,075", ,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:28:55 PM,33.3624,34.1342,↑ 355°,474,545,"30,100",25,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:29:26 PM,33.4337,34.1337,↑ 358°,476,548,"30,100", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:29:56 PM,33.4993,34.1306,↑ 358°,476,548,"30,100",-25,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:30:27 PM,33.5674,34.1277,↑ 358°,476,548,"30,075",-25,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:30:57 PM,33.633,34.1241,↑ 358°,476,548,"30,075",25,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:31:27 PM,33.6999,34.1219,↑ 358°,476,548,"30,100",74,FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:31:58 PM,33.767,34.1189,↑ 358°,474,545,"30,150","1,336",FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:32:31 PM,33.8392,34.1153,↑ 358°,456,525,"31,525","1,976",FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:33:01 PM,33.9023,34.1122,↑ 358°,456,525,"32,225","1,718",FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:33:33 PM,33.9704,34.109,↑ 358°,452,520,"33,300","1,833",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:34:04 PM,34.0338,34.106,↑ 358°,448,516,"34,150","1,594",FlightAware MLAT (10 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:34:37 PM,34.1021,34.1018,↑ 358°,440,506,"35,000","1,276",FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:35:11 PM,34.17,34.0996,↑ 358°,442,509,"35,575",896,FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:35:44 PM,34.2385,34.0961,↑ 358°,444,511,"36,000",448,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:36:18 PM,34.3081,34.0938,↑ 358°,454,522,"36,075",67,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:36:51 PM,34.3794,34.0883,↑ 358°,456,525,"36,075", ,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:37:11 PM,34.422,34.0881,↑ 358°,456,525,"36,075", ,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:37:43 PM,34.4893,34.0837,↑ 358°,458,527,"36,075", ,FlightAware MLAT (8 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:38:14 PM,34.5533,34.0817,↑ 358°,458,527,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:38:44 PM,34.62,34.0767,↑ 358°,460,529,"36,075", ,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:39:14 PM,34.6831,34.0748,↑ 358°,460,529,"36,075", ,FlightAware MLAT (10 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:39:45 PM,34.7483,34.0729,↑ 358°,462,532,"36,075", ,FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:40:16 PM,34.815,34.0693,↑ 358°,462,532,"36,075", ,FlightAware MLAT (11 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:40:47 PM,34.8831,34.0681,↑ 358°,462,532,"36,075", ,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:41:17 PM,34.9473,34.0645,↑ 358°,462,532,"36,075", ,FlightAware MLAT (12 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:41:47 PM,35.0101,34.0596,↑ 358°,460,529,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:42:17 PM,35.0746,34.0564,↑ 357°,460,529,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:42:48 PM,35.1399,34.0527,↑ 357°,460,529,"36,075", ,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:43:22 PM,35.2126,34.0475,↑ 358°,458,527,"36,075",-24,FlightAware MLAT (5 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:43:50 PM,35.2715,34.0472,↑ 358°,458,527,"36,050", ,FlightAware MLAT (10 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:44:36 PM,35.3689,34.0425,↑ 358°,458,527,"36,075",19,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:45:07 PM,35.4338,34.038,↑ 358°,456,525,"36,075", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:45:35 PM,35.4944,34.0348,↑ 358°,456,525,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:45:51 PM,35.5265,34.0357,↑ 358°,454,522,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:46:25 PM,35.5984,34.0301,↑ 358°,452,520,"36,075", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:47:00 PM,35.6716,34.026,↑ 358°,452,520,"36,075",-23,FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:47:30 PM,35.7348,34.0214,↑ 358°,452,520,"36,050", ,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:47:54 PM,35.784,34.0231,↑ 358°,450,518,"36,075",25,FlightAware MLAT (4 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:48:29 PM,35.857,34.0188,↑ 358°,450,518,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:48:59 PM,35.9184,34.0093,↑ 344°,444,511,"36,075", ,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:49:16 PM,35.9486,33.992,↖ 332°,442,509,"36,075", ,FlightAware MLAT (7 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:49:56 PM,36.0183,33.9382,↖ 328°,436,502,"36,075",-21,FlightAware MLAT (9 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:50:27 PM,36.071,33.8963,↖ 328°,436,502,"36,050", ,FlightAware MLAT (6 sites)
TLV - BOJ,Bulgaria Air,LZB6082,B733,20/07/2023,Thu 02:50:57 PM,36.1232,33.8575,↖ 329°,438,504,"36,075",25,FlightAware MLAT (8 sites)
