Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:07:00 AM    Left Gate (TLV) @ Tuesday 01:07:00 AM IDT,32.0137,32.01370169974708,Airline,182.0,209.0,500, ,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Taxi Time: 16 minutes,32.013699999066084,32.01370881008125,FlightAware ADS-B (AKT / LCRA),183.0,211.0,"1,100","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:23:18 AM    Departure (TLV) @ Tuesday 01:23:18 AM IDT,32.013699994347945,32.01372664413408,← 260°,185.0,213.0,"1,700","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:23:18 AM,32.013699980225944,32.01376154372603,← 259°,188.0,216.0,"2,300","2,063",FlightAware ADS-B (SDV / LLSD)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:23:34 AM,32.01369994786851,32.01382037535059,← 256°,190.0,219.0,"2,800","1,838",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:23:50 AM,32.01369988499901,32.01391015677369,← 254°,197.0,227.0,"3,525","1,538",FlightAware ADS-B (LLEK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:24:06 AM,32.01369977590981,32.014037808477205,← 258°,211.0,243.0,"3,825","1,045",FlightAware ADS-B (SDV / LLSD)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:24:22 AM,32.01369960182716,32.014210003264694,← 257°,226.0,260.0,"4,100",975,FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:24:46 AM,32.01369934177779,32.01443308580368,← 263°,251.0,289.0,"4,475","1,227",FlightAware ADS-B (BEY / OLBA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:25:02 AM,32.01369897383313,32.01471303878176,← 283°,281.0,323.0,"5,225","1,160",FlightAware ADS-B (LLEK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:25:19 AM,32.01369847637283,32.01505547908317,← 292°,298.0,343.0,"5,500",789,FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:25:42 AM,32.0136978291182,32.0154656721956,← 289°,310.0,357.0,"5,725",769,FlightAware ADS-B (SDV / LLSD)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:26:14 AM,32.01369701387282,32.01594855657014,← 283°,326.0,375.0,"6,000","1,071",FlightAware ADS-B (LLEK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:26:35 AM,32.0136960150251,32.01650877241419,← 273°,333.0,383.0,"6,600","1,408",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:26:52 AM,32.013694819908935,32.0171506916203,← 274°,335.0,386.0,"7,150","1,529",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:27:14 AM,32.01369341914527,32.01787844666792,← 278°,340.0,391.0,"7,925","1,475",FlightAware ADS-B (BEV / LLBS)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:27:41 AM,32.013691807004676,32.01869595730073,← 285°,344.0,396.0,"8,625","1,364",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:28:03 AM,32.01368998178167,32.01960695444647,← 287°,345.0,397.0,"9,175","1,239",FlightAware ADS-B (LLEK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:28:33 AM,32.01368794616187,32.020615001205584,← 287°,370.0,426.0,"9,575",947,FlightAware ADS-B (BEY / OLBA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:29:03 AM,32.01368570757047,32.02172351096665,← 283°,295.0,339.0,"9,775",833,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:29:28 AM,32.01368327849898,32.02293576277118,← 264°,291.0,335.0,"10,075","1,008",FlightAware ADS-B (BEY / OLBA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:29:49 AM,32.01368067686787,32.02425491388408,← 307°,376.0,433.0,"10,800","1,063",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:30:06 AM,32.013677926424634,32.02568400980543,↑ 341°,380.0,437.0,"11,350","1,071",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:30:25 AM,32.01367505717633,32.02722599197124,← 287°,384.0,442.0,"11,925","1,115",FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:31:07 AM,32.01367210590354,32.02888370331826,← 287°,388.0,447.0,"12,800","1,220",FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:31:37 AM,32.01366911674815,32.03065989202147,← 287°,390.0,449.0,"13,450","1,300",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:32:10 AM,32.01366614186349,32.03255721367486,← 296°,389.0,448.0,"14,100","1,200",FlightAware ADS-B (LCA / LCLK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:32:55 AM,32.01366324211468,32.03457823215164,← 296°,392.0,451.0,"14,650","1,125",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:33:25 AM,32.01366048782068,32.03672541934336,← 296°,395.0,455.0,"15,225","1,175",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:33:55 AM,32.01365795953203,32.039001153947126,← 296°,395.0,455.0,"15,825","1,250",FlightAware ADS-B (TLV / LLBG)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:34:25 AM,32.01365574883386,32.041407719463116,← 296°,392.0,451.0,"16,475","1,450",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:34:55 AM,32.0136539591692,32.0439473015339,← 296°,389.0,448.0,"17,275","1,180",FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:35:25 AM,32.01365270667699,32.04662198474409,← 296°,395.0,455.0,"17,675",861,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:35:55 AM,32.01365212104183,32.04943374898094,← 296°,401.0,461.0,"18,150",975,FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:36:25 AM,32.013652346351066,32.052384465447766,← 296°,403.0,464.0,"18,650","1,033",FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:36:56 AM,32.01365354195543,32.055475892412296,← 296°,405.0,466.0,"19,200","1,057",FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:37:26 AM,32.013655883330415,32.05870967076012,← 296°,408.0,470.0,"19,725","1,075",FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:37:56 AM,32.013659562935125,32.06208731941773,← 296°,409.0,471.0,"20,275","1,025",FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:38:27 AM,32.01366479106518,32.06561023070213,← 296°,410.0,472.0,"20,750",950,FlightAware ADS-B (LCA / LCLK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:38:57 AM,32.013671796697096,32.06927966564746,← 296°,413.0,475.0,"21,225",850,FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:39:27 AM,32.0136808283211,32.073096749353795,← 296°,417.0,480.0,"21,600",775,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:39:57 AM,32.01369215476046,32.07706246639623,← 296°,420.0,483.0,"22,000",850,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:40:27 AM,32.01370606597492,32.081177656329,← 295°,422.0,486.0,"22,450",850,FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:40:57 AM,32.01372287384546,32.08544300931656,← 295°,424.0,488.0,"22,850",762,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:41:27 AM,32.0137429129368,32.08985906192274,← 295°,426.0,490.0,"23,225",713,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:41:57 AM,32.01376654123771,32.09442619307603,← 295°,430.0,495.0,"23,575",675,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:42:27 AM,32.01379414087665,32.09914462023291,← 295°,433.0,498.0,"23,900",691,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:42:58 AM,32.0138261188281,32.10401439571371,← 295°,437.0,503.0,"24,450",691,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:43:28 AM,32.013862907602785,32.10903540323856,← 295°,441.0,507.0,"24,775",613,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:43:58 AM,32.013904965935374,32.11420735466048,← 295°,445.0,512.0,"25,175",613,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:44:44 AM,32.013952779470486,32.11952978692716,← 295°,447.0,514.0,"25,500",664,FlightAware ADS-B (LCA / LCLK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:45:14 AM,32.01400686144966,32.125002059291766,← 304°,448.0,516.0,"25,850",727,FlightAware ADS-B (BEY / OLBA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:45:55 AM,32.01406775340213,32.130623350785996,← 304°,449.0,517.0,"26,275",714,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:46:25 AM,32.01413602583561,32.13639265797488,← 304°,450.0,518.0,"26,600",625,FlightAware ADS-B (LLEK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:46:56 AM,32.014212278922926,32.14230879300872,← 304°,453.0,521.0,"26,900",625,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:47:29 AM,32.01429714318233,32.14837038198019,← 304°,455.0,524.0,"27,225",664,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:47:59 AM,32.014391280148935,32.1545758635925,← 304°,456.0,525.0,"27,575",639,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:48:29 AM,32.01449538303259,32.16092348814492,← 304°,457.0,526.0,"27,875",600,FlightAware ADS-B (ECN / LCEN)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:48:59 AM,32.01461017735968,32.16741131683653,← 304°,459.0,528.0,"28,175",541,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:49:30 AM,32.01473642159505,32.174037221388716,← 304°,463.0,533.0,"28,425",467,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:50:00 AM,32.01487490774062,32.18079888398564,← 304°,466.0,536.0,"28,650",525,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:50:30 AM,32.015026461907695,32.187693797529015,← 304°,467.0,537.0,"28,950",700,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:51:01 AM,32.01519194485959,32.194719266203286,← 304°,465.0,535.0,"29,350",725,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:51:31 AM,32.01537225252154,32.201872406345665,← 304°,465.0,535.0,"29,675",575,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:52:01 AM,32.01556831645379,32.20915014761687,← 304°,466.0,536.0,"29,925",500,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:52:31 AM,32.0157811042841,32.2165492344676,← 304°,467.0,537.0,"30,175",467,FlightAware ADS-B (LLHZ)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:53:01 AM,32.01601162009935,32.22406622788879,← 304°,469.0,540.0,"30,400",443,FlightAware ADS-B (PFO / LCPH)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:53:31 AM,32.01626090479142,32.23169750744128,← 304°,471.0,542.0,"30,625",425,FlightAware ADS-B (LCA / LCLK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:54:01 AM,32.01653003635773,32.239439273551135,← 304°,473.0,544.0,"30,825",425,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:54:32 AM,32.01682013015458,32.247287550060356,← 304°,475.0,547.0,"31,050",425,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:55:02 AM,32.01713233910058,32.25523818702489,← 304°,477.0,549.0,"31,250",400,FlightAware ADS-B (AKT / LCRA)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:55:32 AM,32.017467853827995,32.26328686374996,← 304°,479.0,551.0,"31,450",393,FlightAware ADS-B (LCA / LCLK)
TLV - BOS,El Al,LY15,B788,18/07/2023,Tue 01:56:02 AM,32.01782790278309,32.27142909204789,← 304°,480.0,552.0,"31,650",369,FlightAware ADS-B (PFO / LCPH)
