Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:33:12 PM,32.0124,34.8584,← 260°,170,196,675, ,FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:33:28 PM,32.0096,34.8418,← 258°,171,197,"1,325","2,344",FlightAware ADS-B (PFO / LCPH)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:33:44 PM,32.0067,34.8277,← 256°,174,200,"1,925","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:34:00 PM,32.0034,34.8123,← 255°,174,200,"2,525","1,828",FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:34:16 PM,32.0005,34.7994,← 256°,171,197,"2,900","1,500",FlightAware ADS-B (LLEK)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:34:38 PM,31.9959,34.7784,← 256°,179,206,"3,475","1,159",FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:35:00 PM,31.9915,34.7564,← 260°,202,232,"3,750",606,FlightAware ADS-B (LLEK)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:35:30 PM,31.9986,34.722,← 293°,242,278,"4,000",885,FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:36:01 PM,32.0129,34.681,← 291°,271,312,"4,650","1,925",FlightAware ADS-B (BEV / LLBS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:36:30 PM,32.0258,34.6394,← 287°,272,313,"5,925","2,236",FlightAware ADS-B (TLV / LLBG)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 05:36:56 PM,32.0292,34.6001,← 273°,283,326,"6,700","2,196",FlightAware ADS-B (LLHZ)
