Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:31:18 PM,32.0124,34.8572,← 260°,170,196,775, ,FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:31:35 PM,32.0095,34.8409,← 258°,164,189,"1,600","2,455",FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:31:51 PM,32.0067,34.8265,← 257°,168,193,"2,125","1,734",FlightAware ADS-B (PFO / LCPH)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:32:07 PM,32.0038,34.8133,← 256°,172,198,"2,525","1,594",FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:32:23 PM,32.0007,34.7994,← 256°,171,197,"2,975","1,625",FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:32:43 PM,31.9963,34.7794,← 256°,180,207,"3,500","1,125",FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:33:03 PM,31.9922,34.7588,← 257°,202,232,"3,725",713,FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:33:23 PM,31.9947,34.7382,← 289°,222,255,"3,975",978,FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:33:49 PM,32.0053,34.7053,← 290°,260,299,"4,475","2,082",FlightAware ADS-B (LLEK)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:34:30 PM,32.0234,34.6472,← 297°,305,351,"6,300","2,600",FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:34:49 PM,32.0277,34.6195,← 277°,281,323,"7,075","2,161",FlightAware ADS-B (LLEK)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:36:37 PM,32.0648,34.4593,← 285°,310,357,"10,875","1,776",FlightAware MLAT (5 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:37:54 PM,32.0969,34.319,← 284°,319,367,"12,550","1,402",FlightAware MLAT (4 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:39:41 PM,32.141,34.1174,← 285°,368,423,"15,175","1,533",FlightAware MLAT (4 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:40:11 PM,32.1547,34.0591,← 285°,368,423,"16,050","1,800",FlightAware MLAT (5 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:40:41 PM,32.1689,33.9984,← 292°,378,435,"16,975","1,313",FlightAware MLAT (4 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:41:15 PM,32.1953,33.9356,← 305°,382,440,"17,450",914,FlightAware MLAT (4 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:41:45 PM,32.231,33.8872,← 305°,386,444,"17,950","1,875",FlightAware MLAT (4 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:42:15 PM,32.2631,33.8355,← 305°,386,444,"19,325","2,325",FlightAware MLAT (5 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:42:45 PM,32.2938,33.7839,← 305°,382,440,"20,275","1,279",FlightAware MLAT (6 sites)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:43:16 PM,32.3283,33.7288,← 305°,392,451,"20,625",750,FlightAware ADS-B (LCA / LCLK)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:43:41 PM,32.3526,33.6887,↖ 324°,503,579,"20,975",961,FlightAware ADS-B (TLV / LLBG)
TLV - BUD,Israir,ISR725,A320,29/06/2023,Thu 05:44:20 PM,32.395,33.6179,← 305°,398,458,"21,650",993,FlightAware ADS-B (TLV / LLBG)
