Route,Airline,Flight Num,Aircraft ,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:09:11 PM,32.0138,34.8675,← 260°,161,185,325, ,FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:09:28 PM,32.0118,34.8526,← 262°,161,185,950,"2,227",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:09:44 PM,32.0099,34.8392,← 259°,158,182,"1,550","2,109",FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:10:00 PM,32.0075,34.8259,← 257°,162,186,"2,075","1,922",FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:10:16 PM,32.0044,34.8108,← 256°,168,193,"2,575","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:10:32 PM,32.0013,34.7962,← 256°,166,191,"3,275","1,784",FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:10:53 PM,31.9973,34.7781,← 255°,189,217,"3,675","1,014",FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:11:09 PM,31.9937,34.7625,← 255°,215,247,"3,900",864,FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:11:26 PM,31.9924,34.7396,← 281°,243,280,"4,150","1,125",FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:11:53 PM,32.0028,34.7044,← 293°,274,315,"4,725","2,263",FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:12:23 PM,32.0174,34.6634,← 292°,266,306,"6,300","2,531",FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:12:41 PM,32.0254,34.6384,← 286°,268,308,"6,750","1,417",FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:12:59 PM,32.0282,34.6117,← 273°,273,314,"7,150","1,125",FlightAware ADS-B (LCA / LCLK)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:13:29 PM,32.0299,34.5663,← 274°,274,315,"7,650",950,FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:13:59 PM,32.0325,34.5216,← 274°,272,313,"8,100",620,FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:14:15 PM,32.0338,34.4984,← 274°,274,315,"8,125",47,FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:14:31 PM,32.0351,34.4742,← 274°,275,316,"8,125",43,FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:14:50 PM,32.0366,34.4451,← 274°,275,316,"8,150","1,133",FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:15:20 PM,32.039,34.4026,← 274°,276,318,"9,050","2,162",FlightAware ADS-B (TLV / LLBG)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:17:06 PM,32.0484,34.2392,← 276°,291,335,"13,050","1,988",FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:17:29 PM,32.0596,34.2049,← 301°,320,368,"13,325",974,FlightAware ADS-B (BEY / OLBA)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:19:03 PM,32.1398,34.0528,← 302°,329,379,"14,950","1,173",FlightAware MLAT (7 sites)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:19:33 PM,32.1674,33.999,← 302°,417,480,"15,750","1,530",FlightAware MLAT (5 sites)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:19:53 PM,32.1837,33.959,← 301°,469,540,"16,225","1,647",FlightAware ADS-B (SDV / LLSD)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:20:24 PM,32.2075,33.901,← 296°,383,441,"17,150","1,500",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:20:55 PM,32.2313,33.8432,← 296°,391,450,"17,775","1,303",FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:21:25 PM,32.2557,33.7841,← 296°,398,458,"18,475","1,352",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:21:56 PM,32.2806,33.7235,← 296°,404,465,"19,150","1,574",FlightAware ADS-B (BEY / OLBA)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:22:26 PM,32.305,33.6643,← 296°,400,460,"20,075","1,550",FlightAware ADS-B (LCA / LCLK)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:22:56 PM,32.3291,33.6055,← 296°,406,467,"20,700","1,342",FlightAware ADS-B (BEV / LLBS)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:24:39 PM,32.4142,33.397,← 296°,411,473,"23,050","1,252",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:25:09 PM,32.4393,33.3353,← 296°,419,482,"23,475","1,050",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:25:39 PM,32.4644,33.2735,← 296°,421,484,"24,100","1,381",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:26:12 PM,32.4923,33.205,← 296°,420,483,"24,925","1,230",FlightAware ADS-B (LLEK)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:26:40 PM,32.5165,33.1463,← 298°,429,494,"25,350",957,FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:27:10 PM,32.5492,33.0858,← 303°,437,503,"25,850","1,050",FlightAware ADS-B (LCA / LCLK)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:27:40 PM,32.5829,33.0243,← 303°,441,507,"26,400","1,113",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:28:12 PM,32.618,32.9595,← 303°,444,511,"27,000","1,125",FlightAware ADS-B (NIC / LCNC)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:28:44 PM,32.655,32.8913,← 303°,447,514,"27,600",976,FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:29:15 PM,32.688,32.8304,← 303°,452,520,"28,025","1,008",FlightAware ADS-B (BEY / OLBA)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:29:45 PM,32.7209,32.7696,← 303°,454,522,"28,625","1,125",FlightAware ADS-B (PFO / LCPH)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:30:15 PM,32.7565,32.7031,← 303°,455,524,"29,150","1,025",FlightAware ADS-B (AKT / LCRA)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:30:45 PM,32.7911,32.6398,← 303°,458,527,"29,650","1,075",FlightAware ADS-B (LLHZ)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:31:15 PM,32.8237,32.5792,← 303°,457,526,"30,225","1,131",FlightAware ADS-B (LCA / LCLK)
TLV - CDG,Air France,AFR963,A359,28/06/2023,Wed 06:31:46 PM,32.859,32.5121,← 302°,459,528,"30,800",833,FlightAware ADS-B (LCA / LCLK)
