Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:20:57 AM,32.0118,34.8555,← 257°,150,173,"1,325", ,FlightAware ADS-B (AKT / LCRA)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:21:13 AM,32.0092,34.843,← 256°,149,171,"1,925","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:21:29 AM,32.0064,34.8301,← 256°,151,174,"2,500","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:21:45 AM,32.0038,34.8182,← 254°,153,176,"3,025","2,016",FlightAware ADS-B (PFO / LCPH)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:22:01 AM,32.0007,34.8034,← 257°,163,188,"3,575","1,432",FlightAware ADS-B (TLV / LLBG)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:22:29 AM,31.9955,34.7767,← 257°,203,234,"4,075","1,250",FlightAware ADS-B (SDV / LLSD)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:22:49 AM,31.9916,34.7535,← 267°,233,268,"4,575","1,744",FlightAware ADS-B (SDV / LLSD)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:23:12 AM,31.998,34.7245,← 291°,264,304,"5,325","2,581",FlightAware ADS-B (SDV / LLSD)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:23:32 AM,32.0077,34.695,← 291°,274,315,"6,425","2,658",FlightAware ADS-B (SDV / LLSD)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:24:09 AM,32.0236,34.6458,← 291°,277,319,"7,850","1,643",FlightAware ADS-B (BEY / OLBA)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:24:35 AM,32.029,34.6042,← 273°,283,326,"8,150",321,FlightAware ADS-B (SDV / LLSD)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:25:05 AM,32.0311,34.5583,← 273°,284,327,"8,150",-25,FlightAware ADS-B (TLV / LLBG)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:25:35 AM,32.0333,34.5109,← 273°,285,328,"8,125",-31,FlightAware ADS-B (LLHS)
TLV - CLJ,HiSky,H4272,A320,18/07/2023,Fri 12:25:53 AM,32.0385,34.483,← 295°,290,334,"8,125", ,FlightAware ADS-B (LLEK)
