Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:06:11 AM,32.0129,34.8602,← 260°,168,193,650, ,FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:06:27 AM,32.0102,34.8452,← 256°,173,199,"1,200","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:06:43 AM,32.007,34.8309,← 255°,170,196,"1,850","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:06:59 AM,32.004,34.8172,← 257°,172,198,"2,375","1,828",FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:07:15 AM,32.0008,34.8023,← 257°,177,204,"2,825","1,779",FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:07:42 AM,31.9959,34.7767,← 258°,182,209,"3,650","1,362",FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:08:31 AM,32.0002,34.7222,← 291°,236,272,"4,550","1,457",FlightAware ADS-B (TLV / LLBG)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:09:27 AM,32.0207,34.6446,← 285°,279,321,"6,200","2,044",FlightAware ADS-B (LLEK)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:11:22 AM,32.0606,34.4708,← 285°,298,343,"10,375","1,831",FlightAware MLAT (6 sites)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:12:10 AM,32.0787,34.3893,← 285°,338,389,"11,175","1,069",FlightAware MLAT (7 sites)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:12:42 AM,32.0939,34.3306,← 285°,374,430,"11,800","1,161",FlightAware MLAT (5 sites)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:13:12 AM,32.1077,34.2689,← 285°,396,456,"12,375","1,402",FlightAware MLAT (5 sites)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:13:43 AM,32.1221,34.203,← 285°,400,460,"13,225","2,066",FlightAware MLAT (5 sites)
TLV - CMN,El Al,LY9661,B738,18/07/2023,Tue 08:14:13 AM,32.1365,34.1381,← 285°,402,463,"14,475","2,300",FlightAware MLAT (5 sites)
