Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:38:31 PM,32.0142,34.8694,← 260°,168,193,175, ,FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:38:47 PM,32.0121,34.8552,← 260°,161,185,775,"2,250",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:39:03 PM,32.0099,34.8417,← 258°,163,188,"1,375","1,922",FlightAware ADS-B (SDV / LLSD)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:39:19 PM,32.0068,34.8262,← 257°,180,207,"1,800","1,359",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:39:35 PM,32.0036,34.8112,← 256°,200,230,"2,100","1,266",FlightAware ADS-B (LLHS)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:39:51 PM,31.9996,34.7932,← 256°,223,257,"2,475","1,829",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:40:16 PM,31.9926,34.7597,← 261°,254,292,"3,350","2,232",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:40:32 PM,31.9941,34.739,← 285°,260,299,"4,000","2,077",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:40:55 PM,32.0038,34.7091,← 291°,258,297,"4,700","1,358",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:41:25 PM,32.0166,34.6687,← 290°,264,304,"5,200","1,010",FlightAware ADS-B (SDV / LLSD)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:41:47 PM,32.0256,34.6381,← 285°,267,307,"5,575",967,FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:42:10 PM,32.0284,34.6067,← 273°,266,306,"5,925",991,FlightAware ADS-B (LLEK)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:42:40 PM,32.0303,34.5626,← 273°,268,308,"6,450","1,225",FlightAware ADS-B (TLV / LLBG)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:43:10 PM,32.0326,34.5173,← 274°,267,307,"7,150","2,181",FlightAware ADS-B (BEV / LLBS)
TLV - CTA,Wizz Air,WMT8204,A21N,19/07/2023,Mon 11:45:56 PM,32.0442,34.269,← 274°,320,368,"13,575","2,342",FlightAware MLAT (4 sites)
