Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:17:12 AM,32.0136,34.8666,← 259°,153,176,825, ,FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:17:28 AM,32.0111,34.8536,← 257°,153,176,"1,400","2,016",FlightAware ADS-B (LCA / LCLK)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:17:44 AM,32.0087,34.8407,← 257°,155,178,"1,900","1,781",FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:18:00 AM,32.006,34.827,← 256°,157,181,"2,350","1,636",FlightAware ADS-B (LLHS)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:18:17 AM,32.0031,34.8134,← 256°,159,183,"2,800","1,227",FlightAware ADS-B (LCA / LCLK)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:18:33 AM,31.9998,34.7982,← 256°,180,207,"3,025",868,FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:18:55 AM,31.9953,34.7762,← 256°,208,239,"3,350",769,FlightAware ADS-B (LLEK)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:19:12 AM,31.9915,34.7552,← 264°,235,270,"3,525",882,FlightAware ADS-B (SDV / LLSD)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:19:29 AM,31.9953,34.7323,← 289°,257,296,"3,850","1,829",FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:19:53 AM,32.0059,34.7004,← 291°,273,314,"4,775","2,475",FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:20:09 AM,32.0134,34.6775,← 291°,277,319,"5,500","2,514",FlightAware ADS-B (LLHZ)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:20:30 AM,32.023,34.6472,← 290°,282,325,"6,325","2,270",FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:20:46 AM,32.0271,34.6254,← 275°,287,330,"6,900","2,691",FlightAware ADS-B (LLHS)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:21:04 AM,32.0283,34.5972,← 273°,287,330,"7,850","2,875",FlightAware ADS-B (TLV / LLBG)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:21:34 AM,32.0307,34.5489,← 274°,296,341,"9,200","2,750",FlightAware ADS-B (AKT / LCRA)
TLV - DEB,Wizz Air,WZZ7900,A320,22/07/2023,Sat 11:22:04 AM,32.0334,34.5016,← 274°,298,343,"10,600","1,850",FlightAware ADS-B (BEV / LLBS)
