Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:28:26 PM,32.0132,32.01320169837641,← 260°,172,198,350, ,FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:28:42 PM,32.013199999140795,32.0132088033082,← 259°,176,203,875,"1,922",FlightAware ADS-B (LCA / LCLK)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:28:58 PM,32.01319999474535,32.013226624408034,← 255°,179,206,"1,375","2,016",FlightAware ADS-B (PFO / LCPH)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:29:14 PM,32.01319998158854,32.01326149991564,← 255°,180,207,"1,950","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:29:30 PM,32.013199951504134,32.013320293135145,← 257°,181,208,"2,525","2,159",FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:29:55 PM,32.01319989308895,32.01341001924234,← 256°,180,207,"3,425","1,705",FlightAware ADS-B (LLEK)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:30:14 PM,32.01319979160714,32.01353759674597,← 262°,199,229,"3,775","1,029",FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:30:30 PM,32.013199629283534,32.01370969702266,← 284°,217,250,"4,025","1,067",FlightAware ADS-B (SDV / LLSD)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:30:59 PM,32.013199386166704,32.01393266356704,← 290°,251,289,"4,575","1,653",FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:31:29 PM,32.013199041357424,32.014212478040896,← 294°,260,299,"5,650","2,217",FlightAware ADS-B (TLV / LLBG)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:31:45 PM,32.013198574343434,32.014554756714915,↖ 324°,258,297,"6,275","2,314",FlightAware ADS-B (BEY / OLBA)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:32:04 PM,32.01319796644186,32.014964765537265,↑ 356°,259,298,"7,000",920,FlightAware ADS-B (SDV / LLSD)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:33:44 PM,32.01319720238805,32.0154474478542,→ 99°,334,384,"8,100",569,FlightAware MLAT (5 sites)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:34:00 PM,32.01319627159267,32.0160074576659,→ 101°,348,400,"8,100", ,FlightAware MLAT (5 sites)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:34:21 PM,32.013195168904346,32.01664919434048,→ 103°,350,403,"8,100", ,FlightAware MLAT (6 sites)
TLV - DEL,Air India,AIC140,B788,22/07/2023,Sat 10:34:38 PM,32.01319389493315,32.01737683629765,→ 104°,350,403,"8,100", ,FlightAware MLAT (6 sites)
