Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:16:14 PM,32.0104,34.8739,← 301°,142,163,850, ,FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:16:30 PM,32.0127,34.8622,← 269°,141,162,"1,450","2,156",FlightAware ADS-B (SDV / LLSD)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:16:46 PM,32.012,34.8503,← 265°,142,163,"2,000","1,955",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:17:03 PM,32.0108,34.837,← 263°,147,169,"2,525","1,909",FlightAware ADS-B (LLHZ)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:17:19 PM,32.0095,34.8246,← 263°,148,170,"3,050","1,828",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:17:35 PM,32.0083,34.8118,← 264°,154,177,"3,500","1,453",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:17:51 PM,32.0069,34.7959,← 264°,175,201,"3,825","1,208",FlightAware ADS-B (LLHZ)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:18:11 PM,32.0051,34.7765,← 264°,199,229,"4,225","1,380",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:18:41 PM,32.0019,34.739,← 266°,241,277,"4,975","2,017",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:19:09 PM,32.0092,34.7035,← 287°,254,292,"6,175","2,328",FlightAware ADS-B (LLHZ)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:19:39 PM,32.0202,34.6611,← 287°,279,321,"7,225","1,819",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:19:56 PM,32.026,34.6356,← 281°,280,322,"7,600","1,591",FlightAware ADS-B (LLEK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:20:12 PM,32.0277,34.6116,← 273°,280,322,"8,100","2,315",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:20:42 PM,32.0303,34.5639,← 274°,294,338,"9,375","2,240",FlightAware ADS-B (SDV / LLSD)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:21:27 PM,32.0344,34.4898,← 274°,320,368,"10,900","1,660",FlightAware ADS-B (LLEK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:21:57 PM,32.0373,34.4356,← 274°,352,405,"11,450","1,800",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:22:27 PM,32.0407,34.3759,← 274°,359,413,"12,700","2,419",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:22:59 PM,32.0443,34.3129,← 274°,363,418,"13,950","2,153",FlightAware ADS-B (SDV / LLSD)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:23:29 PM,32.0479,34.2516,← 275°,375,432,"14,925","2,147",FlightAware ADS-B (BEV / LLBS)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:23:50 PM,32.0589,34.212,← 298°,374,430,"15,775","2,235",FlightAware ADS-B (SDV / LLSD)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:24:20 PM,32.0851,34.1594,← 301°,378,435,"16,825","2,150",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:24:50 PM,32.1131,34.104,← 301°,383,441,"17,925","2,050",FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:25:20 PM,32.1386,34.0536,← 301°,388,447,"18,875","2,000",FlightAware ADS-B (LLHZ)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:25:50 PM,32.166,33.9998,← 302°,391,450,"19,925","1,974",FlightAware ADS-B (LLHZ)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:26:36 PM,32.2145,33.9182,← 305°,399,459,"21,375","1,911",FlightAware ADS-B (AKT / LCRA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:26:52 PM,32.2302,33.8928,← 307°,400,460,"21,900","1,891",FlightAware ADS-B (PFO / LCPH)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:27:22 PM,32.2687,33.8386,← 311°,405,466,"22,825","1,750",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:27:52 PM,32.3062,33.7868,← 310°,410,472,"23,650","1,550",FlightAware ADS-B (SDV / LLSD)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:28:22 PM,32.3425,33.7365,← 310°,414,476,"24,375","1,425",FlightAware ADS-B (LLEK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:28:52 PM,32.3798,33.6848,← 311°,419,482,"25,075","1,300",FlightAware ADS-B (LLEK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:29:22 PM,32.4183,33.6313,← 310°,426,490,"25,675","1,300",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:29:52 PM,32.4568,33.5778,← 310°,430,495,"26,375","1,350",FlightAware ADS-B (BEY / OLBA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:30:22 PM,32.4963,33.5228,← 310°,434,499,"27,025","1,475",FlightAware ADS-B (BEY / OLBA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:30:52 PM,32.5351,33.4686,← 310°,431,496,"27,850","1,375",FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:31:22 PM,32.5742,33.4141,← 310°,434,499,"28,400","1,025",FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:31:52 PM,32.6124,33.3607,← 310°,440,506,"28,875","1,025",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:32:22 PM,32.6514,33.306,← 310°,442,509,"29,425",975,FlightAware ADS-B (PFO / LCPH)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:32:52 PM,32.6938,33.2466,← 310°,449,517,"29,850",800,FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:33:22 PM,32.7323,33.1925,← 310°,454,522,"30,225",800,FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:33:52 PM,32.7726,33.1358,← 310°,458,527,"30,650","1,075",FlightAware ADS-B (BEY / OLBA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:34:22 PM,32.8138,33.0779,← 310°,456,525,"31,300","1,350",FlightAware ADS-B (BEY / OLBA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:34:52 PM,32.8553,33.0194,← 310°,452,520,"32,000","1,600",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:35:22 PM,32.8947,32.9636,← 310°,442,509,"32,900","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:35:52 PM,32.9342,32.9076,← 310°,441,507,"33,500","1,075",FlightAware ADS-B (TLV / LLBG)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:36:22 PM,32.9732,32.8523,← 310°,442,509,"33,975",469,FlightAware ADS-B (BEY / OLBA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:36:56 PM,33.0203,32.7855,← 310°,448,516,"34,000",23,FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:37:26 PM,33.0577,32.7321,← 310°,447,514,"34,000",325,FlightAware ADS-B (AKT / LCRA)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:37:56 PM,33.0978,32.6751,← 310°,447,514,"34,325",857,FlightAware ADS-B (PFO / LCPH)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:38:29 PM,33.1433,32.6102,← 310°,447,514,"34,900","1,024",FlightAware ADS-B (NIC / LCNC)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:38:59 PM,33.1828,32.5538,← 310°,446,513,"35,400","1,050",FlightAware ADS-B (NIC / LCNC)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:39:29 PM,33.2227,32.4967,← 310°,443,510,"35,950",625,FlightAware ADS-B (LCA / LCLK)
TLV - DLM,Pegasus Airlines,PC798,A320,19/07/2023,Wed 12:39:59 PM,33.2601,32.4432,← 310°,442,509,"36,025",50,FlightAware ADS-B (ECN / LCEN)
