Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:08:19 AM,32.0114,34.8514,← 260°,183,211,750, ,FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:08:35 AM,32.0087,34.8355,← 257°,180,207,"1,475","2,531",FlightAware ADS-B (ADA / LTAF)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:08:51 AM,32.0053,34.8205,← 255°,180,207,"2,100","1,688",FlightAware ADS-B (LLHZ)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:09:07 AM,32.0019,34.8055,← 255°,187,215,"2,375","1,193",FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:09:35 AM,31.996,34.778,← 256°,191,220,"2,975","1,337",FlightAware ADS-B (LLEK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:09:53 AM,31.9922,34.7585,← 261°,193,222,"3,400","1,009",FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:10:30 AM,32.0001,34.7193,← 291°,215,247,"3,900",828,FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:11:00 AM,32.0114,34.685,← 291°,238,274,"4,325",813,FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:11:18 AM,32.0182,34.663,← 289°,253,291,"4,550","1,649",FlightAware ADS-B (AKT / LCRA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:12:51 AM,32.0313,34.5284,← 261°,263,303,"7,375","1,872",FlightAware MLAT (5 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:13:15 AM,32.0434,34.48,← 310°,322,371,"8,200","1,568",FlightAware MLAT (5 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:13:35 AM,32.0642,34.4427,↖ 326°,328,377,"8,525","2,211",FlightAware MLAT (5 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:13:53 AM,32.0781,34.4468,↑ 352°,336,387,"9,600","3,608",FlightAware MLAT (4 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:14:12 AM,32.1255,34.455,↑ 356°,340,391,"10,750","2,155",FlightAware ADS-B (AKT / LCRA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:14:48 AM,32.1838,34.4502,↑ 356°,361,415,"11,575","1,795",FlightAware ADS-B (TLV / LLBG)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:15:18 AM,32.2356,34.4451,↑ 355°,369,425,"12,725","2,179",FlightAware ADS-B (AKT / LCRA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:16:45 AM,32.3918,34.4414,↑ 354°,386,444,"15,825","2,229",FlightAware MLAT (6 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:17:03 AM,32.4196,34.4498,↑ 355°,390,449,"16,625","1,985",FlightAware MLAT (7 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:17:19 AM,32.4484,34.4299,↑ 355°,390,449,"16,950","2,417",FlightAware MLAT (7 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:17:39 AM,32.4836,34.4257,↑ 355°,396,456,"18,075","2,605",FlightAware MLAT (6 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:17:57 AM,32.5157,34.4204,↑ 355°,400,460,"18,600","1,794",FlightAware MLAT (6 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:18:30 AM,32.5761,34.4094,↑ 355°,404,465,"19,600","2,204",FlightAware MLAT (4 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:18:46 AM,32.6076,34.4022,↑ 355°,410,472,"20,400","2,471",FlightAware MLAT (6 sites)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:19:21 AM,32.678,34.3944,↑ 355°,417,480,"21,700","2,068",FlightAware ADS-B (SDV / LLSD)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:19:52 AM,32.7364,34.388,↑ 355°,424,488,"22,675","1,844",FlightAware ADS-B (SDV / LLSD)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:20:22 AM,32.7966,34.3814,↑ 355°,431,496,"23,575","1,750",FlightAware ADS-B (LLEK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:20:52 AM,32.8558,34.3749,↑ 355°,438,504,"24,425","1,750",FlightAware ADS-B (SDV / LLSD)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:21:22 AM,32.9178,34.3679,↑ 355°,441,507,"25,325","1,625",FlightAware ADS-B (SDV / LLSD)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:21:52 AM,32.9788,34.361,↑ 355°,447,514,"26,050","1,450",FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:22:22 AM,33.0398,34.3541,↑ 355°,451,519,"26,775","1,425",FlightAware ADS-B (SDV / LLSD)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:22:52 AM,33.1031,34.3468,↑ 355°,456,525,"27,475","1,300",FlightAware ADS-B (AKT / LCRA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:23:22 AM,33.1654,34.3398,↑ 355°,461,531,"28,075","1,225",FlightAware ADS-B (AKT / LCRA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:23:52 AM,33.2292,34.3324,↑ 355°,466,536,"28,700","1,225",FlightAware ADS-B (NIC / LCNC)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:24:22 AM,33.2961,34.3248,↑ 355°,471,542,"29,300","1,150",FlightAware ADS-B (PFO / LCPH)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:24:52 AM,33.3616,34.3173,↑ 355°,475,547,"29,850","1,225",FlightAware ADS-B (NIC / LCNC)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:25:22 AM,33.428,34.3097,↑ 354°,475,547,"30,525","1,200",FlightAware ADS-B (BEY / OLBA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:25:52 AM,33.4933,34.3022,↑ 355°,479,551,"31,050","1,000",FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:26:22 AM,33.5585,34.2947,↑ 355°,483,556,"31,525",950,FlightAware ADS-B (JRS / LLJR)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:26:52 AM,33.6254,34.287,↑ 355°,488,562,"32,000",934,FlightAware ADS-B (PFO / LCPH)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:27:23 AM,33.6962,34.279,↑ 355°,492,566,"32,475",885,FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:27:53 AM,33.7647,34.271,↑ 355°,497,572,"32,900","1,125",FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:28:23 AM,33.8335,34.263,↑ 355°,493,567,"33,600","1,574",FlightAware ADS-B (HFA / LLHA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:28:54 AM,33.9019,34.2552,↑ 354°,485,558,"34,500","1,402",FlightAware ADS-B (HFA / LLHA)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:29:24 AM,33.9682,34.2475,↑ 354°,483,556,"35,025",975,FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:29:54 AM,34.0373,34.2394,↑ 354°,485,558,"35,475",800,FlightAware ADS-B (LCA / LCLK)
TLV - DME,El Al,LY611,B772,19/07/2023,Wed 08:30:24 AM,34.1047,34.2316,↑ 355°,487,560,"35,825",414,FlightAware ADS-B (LCA / LCLK)
