Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:43:41 PM,32.0116,34.8525,← 260°,182,209,850, ,FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:43:57 PM,32.0087,34.8373,← 256°,188,216,"1,500","2,578",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:44:13 PM,32.0052,34.8212,← 256°,187,215,"2,225","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:44:29 PM,32.0018,34.8048,← 257°,190,219,"2,750","2,011",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:44:57 PM,31.9959,34.7768,← 257°,193,222,"3,700","1,700",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:45:14 PM,31.9932,34.7565,← 265°,211,243,"4,025","1,015",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:45:31 PM,31.9955,34.7368,← 282°,232,267,"4,275","1,036",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:45:56 PM,32.0055,34.7048,← 290°,266,306,"4,750","1,636",FlightAware ADS-B (LLHZ)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:46:26 PM,32.0187,34.6625,← 290°,282,325,"5,775","1,728",FlightAware ADS-B (LLHZ)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:46:42 PM,32.025,34.6383,← 285°,297,342,"6,075","1,125",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:47:06 PM,32.0284,34.5995,← 273°,323,372,"6,525","1,306",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:47:36 PM,32.0314,34.5457,← 274°,330,380,"7,250","1,225",FlightAware ADS-B (SDV / LLSD)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:48:06 PM,32.0343,34.49,← 274°,332,382,"7,750",925,FlightAware ADS-B (LCA / LCLK)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:48:36 PM,32.037,34.4364,← 273°,336,387,"8,175",574,FlightAware ADS-B (LCA / LCLK)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:48:53 PM,32.0387,34.4044,← 274°,335,386,"8,200",455,FlightAware ADS-B (BEY / OLBA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:49:09 PM,32.0403,34.3766,← 274°,336,387,"8,425","1,989",FlightAware ADS-B (SDV / LLSD)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:49:39 PM,32.0437,34.3213,← 274°,333,383,"9,725","2,371",FlightAware ADS-B (LLHZ)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:50:11 PM,32.0468,34.2649,← 274°,338,389,"10,875","2,077",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:50:31 PM,32.0531,34.2279,← 286°,345,397,"11,525","2,100",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:50:51 PM,32.0671,34.194,← 301°,348,400,"12,275","2,130",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:51:21 PM,32.0916,34.1457,← 301°,351,404,"13,300","1,950",FlightAware ADS-B (BEV / LLBS)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:51:51 PM,32.1172,34.0951,← 301°,357,411,"14,225","1,875",FlightAware ADS-B (PFO / LCPH)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:52:21 PM,32.1432,34.0441,← 301°,360,414,"15,175","1,825",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:52:51 PM,32.1688,33.9939,← 302°,364,419,"16,050","1,742",FlightAware ADS-B (HFA / LLHA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:53:23 PM,32.2003,33.9415,← 306°,369,425,"16,975","1,786",FlightAware ADS-B (HFA / LLHA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:53:54 PM,32.2313,33.8901,← 305°,370,426,"17,925","1,621",FlightAware ADS-B (BEV / LLBS)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:54:25 PM,32.2612,33.8402,← 305°,377,434,"18,650","1,451",FlightAware ADS-B (HFA / LLHA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:54:55 PM,32.2924,33.7883,← 305°,383,441,"19,400","1,475",FlightAware ADS-B (LCA / LCLK)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:55:25 PM,32.3234,33.7368,← 305°,389,448,"20,125","1,375",FlightAware ADS-B (NIC / LCNC)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:55:55 PM,32.3547,33.6845,← 305°,396,456,"20,775","1,355",FlightAware ADS-B (HFA / LLHA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:56:27 PM,32.3876,33.6296,← 305°,400,460,"21,525","1,766",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:56:57 PM,32.4212,33.5737,← 305°,392,451,"22,600","1,929",FlightAware ADS-B (TLV / LLBG)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:57:30 PM,32.4552,33.5167,← 305°,390,449,"23,550","1,430",FlightAware ADS-B (HFA / LLHA)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:58:01 PM,32.4879,33.4615,← 305°,394,453,"24,125",934,FlightAware ADS-B (PFO / LCPH)
TLV - DUB,El Al,LY303,B739,27/06/2023,Tue 04:58:31 PM,32.5184,33.4102,← 305°,402,463,"24,500",675,FlightAware ADS-B (HFA / LLHA)
