Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:28:18 AM,32.0128,34.8601,← 260°,179,206,525, ,FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:28:35 AM,32.0102,34.845,← 257°,173,199,"1,225","2,364",FlightAware ADS-B (PFO / LCPH)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:28:51 AM,32.0073,34.8302,← 257°,171,197,"1,825","1,922",FlightAware ADS-B (LCA / LCLK)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:29:07 AM,32.0043,34.8158,← 256°,175,201,"2,250","1,688",FlightAware ADS-B (AKT / LCRA)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:29:23 AM,32.0011,34.8004,← 256°,177,204,"2,725","1,688",FlightAware ADS-B (AKT / LCRA)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:29:47 AM,31.9964,34.7784,← 256°,184,212,"3,375","1,221",FlightAware ADS-B (BEV / LLBS)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:30:06 AM,31.9925,34.7589,← 260°,203,234,"3,600",708,FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:30:23 AM,31.9944,34.7392,← 288°,225,259,"3,800",618,FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:30:40 AM,32.0008,34.7188,← 291°,249,287,"3,950","1,053",FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:31:10 AM,32.0139,34.6781,← 290°,279,321,"4,625","1,274",FlightAware ADS-B (LLHS)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:31:33 AM,32.0241,34.6449,← 289°,282,325,"5,075","1,302",FlightAware ADS-B (SDV / LLSD)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:32:03 AM,32.0286,34.5992,← 274°,280,322,"5,775","1,650",FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:32:33 AM,32.0311,34.5539,← 274°,273,314,"6,725","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - DUS,Tus Airways,CYF322,A320,23/07/2023,Thu 09:33:03 AM,32.0335,34.5092,← 274°,276,318,"7,650","2,050",FlightAware ADS-B (TLV / LLBG)
