Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:52:41 AM,32.0119,32.01190169474116,← 256°,161,185,"1,050", ,FlightAware ADS-B (ADA / LTAF)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:52:57 AM,32.011899998954014,32.01190878531242,← 256°,161,185,"1,600","2,063",FlightAware ADS-B (AKT / LCRA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:53:13 AM,32.011899993702954,32.01192657194279,← 256°,161,185,"2,150","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:53:29 AM,32.01189997833139,32.011961382457606,← 257°,162,186,"2,600","1,688",FlightAware ADS-B (LCA / LCLK)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:53:45 AM,32.01189994394657,32.01202006985877,← 257°,163,188,"3,050","1,390",FlightAware ADS-B (LLHZ)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:54:10 AM,32.01189987855362,32.01210963997753,← 257°,179,206,"3,550","1,057",FlightAware ADS-B (BEV / LLBS)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:54:29 AM,32.01189976705143,32.012237003344744,← 260°,203,234,"3,825",654,FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:54:49 AM,32.01189959160353,32.012408824706945,← 291°,232,267,"3,975",870,FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:55:19 AM,32.01189933261983,32.01263144195604,← 290°,270,311,"4,550","1,600",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:55:49 AM,32.011898970091316,32.01291083170921,← 290°,285,328,"5,575","1,625",FlightAware ADS-B (LLHZ)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:56:07 AM,32.01189848485701,32.0132526050817,← 278°,308,354,"5,850",830,FlightAware ADS-B (LLHZ)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:56:36 AM,32.01189785959534,32.01366202136449,← 273°,347,399,"6,225",778,FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:57:01 AM,32.01189707951658,32.014144011553455,← 273°,371,427,"6,550","1,267",FlightAware ADS-B (SDV / LLSD)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:57:21 AM,32.01189613280225,32.014703206576655,← 277°,377,434,"7,175","2,012",FlightAware ADS-B (LLHS)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:57:42 AM,32.01189501095974,32.01534396687927,← 303°,380,437,"7,925","1,946",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:57:58 AM,32.01189370923351,32.01607041141412,↖ 324°,386,444,"8,375","1,632",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:58:16 AM,32.01189222717897,32.01688644491643,↑ 352°,392,451,"8,850","2,022",FlightAware ADS-B (BEV / LLBS)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:58:44 AM,32.01189056956352,32.017795782854265,↑ 355°,389,448,"9,925","1,966",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:59:14 AM,32.01188874760763,32.01880197373801,↑ 355°,397,457,"10,750","1,675",FlightAware ADS-B (AKT / LCRA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 12:59:44 AM,32.01188678052077,32.01990841868309,↑ 355°,401,461,"11,600","1,750",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:00:14 AM,32.01188469726161,32.021118388268015,↑ 355°,404,465,"12,500","1,700",FlightAware ADS-B (HFA / LLHA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:00:44 AM,32.01188253846864,32.02243503682125,↑ 355°,407,468,"13,300","1,450",FlightAware ADS-B (HFA / LLHA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:01:14 AM,32.01188035851162,32.0238614143258,↑ 355°,415,478,"13,950","1,475",FlightAware ADS-B (HFA / LLHA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:01:44 AM,32.01187822762323,32.02540047615708,↑ 355°,416,479,"14,775","1,575",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:02:14 AM,32.01187623408836,32.027055090877795,↑ 355°,420,483,"15,525","1,275",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:02:44 AM,32.01187448646443,32.02882804631148,↑ 355°,426,490,"16,050","1,185",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:03:16 AM,32.01187311584078,32.0307220541028,↑ 355°,432,497,"16,750","1,306",FlightAware ADS-B (LCA / LCLK)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:03:46 AM,32.011872278121764,32.032739752961305,↑ 355°,436,502,"17,400","1,375",FlightAware ADS-B (LCA / LCLK)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:04:16 AM,32.01187215632335,32.03488371076861,↑ 355°,437,503,"18,125","1,352",FlightAware ADS-B (LCA / LCLK)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:04:47 AM,32.01187296287901,32.037156425711935,↑ 355°,441,507,"18,775","1,205",FlightAware ADS-B (BEY / OLBA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:05:17 AM,32.011874941945976,32.03956032659119,↑ 355°,445,512,"19,350","1,275",FlightAware ADS-B (BEY / OLBA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:05:47 AM,32.01187837170689,32.04209777243058,↑ 355°,446,513,"20,050","1,250",FlightAware ADS-B (BEY / OLBA)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:06:17 AM,32.01188356665814,32.04477105151178,↑ 355°,449,517,"20,600","1,125",FlightAware ADS-B (NIC / LCNC)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:06:47 AM,32.01189087988486,32.04758237993202,↑ 355°,452,520,"21,175","1,000",FlightAware ADS-B (NIC / LCNC)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:07:17 AM,32.01190070531828,32.05053389977825,↑ 355°,459,528,"21,600","1,000",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:07:47 AM,32.011913479974766,32.053627676997955,↑ 355°,460,529,"22,175","1,050",FlightAware ADS-B (TLV / LLBG)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:08:17 AM,32.011929686166525,32.056865699038035,↑ 355°,462,532,"22,650",796,FlightAware ADS-B (NIC / LCNC)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:09:42 AM,32.01194985388062,32.060249872294385,↑ 355°,474,545,"23,700",853,FlightAware MLAT (13 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:10:13 AM,32.01197456326327,32.06378201943199,↑ 355°,474,545,"24,300",836,FlightAware MLAT (17 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:10:43 AM,32.01200444715757,32.067463876628366,↑ 355°,474,545,"24,550",566,FlightAware MLAT (7 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:11:14 AM,32.01204019366057,32.07129709078656,↑ 355°,480,552,"24,875",492,FlightAware MLAT (10 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:11:44 AM,32.012082548668346,32.07528321675796,↑ 355°,482,555,"25,050",550,FlightAware MLAT (7 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:12:14 AM,32.012132318375855,32.07942371461835,↑ 355°,488,562,"25,425",857,FlightAware MLAT (9 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:12:54 AM,32.0121903717344,32.083719947027866,↑ 355°,484,557,"26,050",643,FlightAware MLAT (4 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:13:17 AM,32.01225764282554,32.088173176699655,↑ 355°,484,557,"26,100","1,389",FlightAware MLAT (7 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:13:48 AM,32.01233513315743,32.09278456397662,↑ 355°,466,536,"27,300","2,090",FlightAware MLAT (5 sites)
TLV - EVN,Israir,ISR823,A320,19/07/2023,Wed 01:14:18 AM,32.01242391386897,32.09755516453446,↑ 355°,458,527,"28,225","1,300",FlightAware MLAT (11 sites)
