Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:38:43 AM,32.0116,34.8531,← 259°,173,199,800, ,FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:38:59 AM,32.0087,34.8385,← 255°,174,200,"1,450","2,455",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:39:16 AM,32.0052,34.8233,← 255°,172,198,"2,150","2,318",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:39:32 AM,32.0022,34.8089,← 257°,170,196,"2,725","1,781",FlightAware ADS-B (LLEK)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:39:48 AM,31.9994,34.7944,← 257°,178,205,"3,100","1,279",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:40:06 AM,31.9963,34.7769,← 257°,198,228,"3,450","1,243",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:40:23 AM,31.9931,34.7586,← 261°,208,239,"3,825",978,FlightAware ADS-B (LLEK)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:40:52 AM,31.9998,34.7234,← 290°,251,289,"4,200","1,449",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:41:22 AM,32.0132,34.6809,← 291°,269,310,"5,250","2,328",FlightAware ADS-B (PFO / LCPH)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:41:50 AM,32.0245,34.6437,← 286°,266,306,"6,450","2,296",FlightAware ADS-B (SDV / LLSD)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:42:11 AM,32.0279,34.6142,← 275°,276,318,"7,125","2,289",FlightAware ADS-B (SDV / LLSD)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:42:28 AM,32.0327,34.5874,← 286°,281,323,"7,900","2,018",FlightAware ADS-B (AKT / LCRA)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:44:01 AM,32.0327,34.5869,← 285°,296,341,"10,825","1,533",FlightAware ADS-B (AKT / LCRA)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:44:43 AM,32.0808,34.3791,← 286°,355,409,"11,350",750,FlightAware ADS-B (JRS / LLJR)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:45:13 AM,32.0951,34.3177,← 285°,376,433,"11,725","1,430",FlightAware ADS-B (JRS / LLJR)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:46:30 AM,32.1031,34.2826,← 285°,379,436,"13,900","1,705",FlightAware ADS-B (TLV / LLBG)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:47:10 AM,32.1493,34.0807,← 285°,392,451,"15,050","1,500",FlightAware ADS-B (LLHS)
TLV - FCO,ITA Airways,ITY809,32S,29/06/2023,Thu 05:47:40 AM,32.1632,34.02,← 285°,398,458,"15,650","1,446",FlightAware ADS-B (HFA / LLHA)
