Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:07:26 PM,32.0139,34.8672,← 261°,175,201,625, ,FlightAware ADS-B (BEY / OLBA)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:07:42 PM,32.0115,34.8519,← 258°,177,204,"1,350","2,484",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:07:58 PM,32.008,34.8364,← 255°,184,212,"1,950","2,297",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:08:14 PM,32.0046,34.8214,← 256°,183,211,"2,575","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:08:30 PM,32.0012,34.8056,← 256°,183,211,"3,200","1,767",FlightAware ADS-B (LLHZ)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:08:59 PM,31.9956,34.7773,← 257°,207,238,"3,900","1,333",FlightAware ADS-B (SDV / LLSD)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:09:15 PM,31.9925,34.7588,← 262°,224,258,"4,200","1,544",FlightAware ADS-B (BEV / LLBS)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:09:33 PM,31.9956,34.7365,← 290°,234,269,"4,775","1,594",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:10:03 PM,32.0078,34.6972,← 290°,268,308,"5,475","1,400",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:10:33 PM,32.0207,34.6551,← 290°,278,320,"6,175","1,776",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:10:52 PM,32.0264,34.6271,← 278°,286,329,"6,925","2,602",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:11:22 PM,32.0294,34.5787,← 274°,293,337,"8,300","2,902",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:11:53 PM,32.0322,34.5297,← 274°,289,333,"9,875","2,434",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:12:23 PM,32.0346,34.4818,← 274°,309,356,"10,775","1,925",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:12:53 PM,32.0373,34.4299,← 274°,321,369,"11,800","2,184",FlightAware ADS-B (LLHS)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:13:20 PM,32.0429,34.3823,← 284°,325,374,"12,850","2,357",FlightAware ADS-B (LLHZ)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:14:03 PM,32.0654,34.311,← 291°,332,382,"14,550","2,384",FlightAware ADS-B (JRS / LLJR)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:14:33 PM,32.0817,34.261,← 291°,333,383,"15,750","2,238",FlightAware ADS-B (TLV / LLBG)
TLV - FKB,Ryanair,FR1843,B738,22/07/2023,Sat 07:15:04 PM,32.0995,34.2068,← 291°,341,392,"16,825","1,960",FlightAware ADS-B (PFO / LCPH)
