Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:44:04 PM,32.0111,34.851,← 257°,175,201,"1,350", ,FlightAware ADS-B (PFO / LCPH)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:44:20 PM,32.0076,34.835,← 254°,179,206,"2,025","2,203",FlightAware ADS-B (LLEK)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:44:36 PM,32.0043,34.8204,← 257°,185,213,"2,525","2,109",FlightAware ADS-B (TLV / LLBG)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:44:52 PM,32.0012,34.804,← 258°,183,211,"3,150","1,893",FlightAware ADS-B (TLV / LLBG)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:45:18 PM,31.9959,34.7773,← 257°,208,239,"3,850","1,395",FlightAware ADS-B (LLHS)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:45:35 PM,31.9927,34.7584,← 264°,226,260,"4,150","1,364",FlightAware ADS-B (LLEK)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:45:51 PM,31.995,34.7376,← 287°,236,272,"4,600","1,412",FlightAware ADS-B (TLV / LLBG)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:46:09 PM,32.0021,34.7156,← 290°,258,297,"4,950","1,938",FlightAware ADS-B (TLV / LLBG)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:46:39 PM,32.0155,34.6725,← 290°,275,316,"6,150","2,525",FlightAware ADS-B (AKT / LCRA)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:47:09 PM,32.0269,34.6295,← 285°,283,326,"7,475","2,575",FlightAware ADS-B (LLHZ)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:47:32 PM,32.0344,34.5961,← 284°,285,328,"8,425","2,308",FlightAware ADS-B (TLV / LLBG)
TLV - FMM,Ryanair,FR5390,B738,22/07/2023,Sat 12:49:58 PM,32.0873,34.3745,← 285°,332,382,"13,975","2,254",FlightAware MLAT (5 sites)
