Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:29:21 AM,32.012,34.8559,← 259°,179,206,600, ,FlightAware ADS-B (TLV / LLBG)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:29:37 AM,32.0089,34.8408,← 254°,176,203,"1,300","2,344",FlightAware ADS-B (PFO / LCPH)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:29:53 AM,32.0056,34.8259,← 257°,183,211,"1,850","2,016",FlightAware ADS-B (LCA / LCLK)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:30:09 AM,32.0024,34.8103,← 256°,188,216,"2,375","2,156",FlightAware ADS-B (BEV / LLBS)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:30:25 AM,31.999,34.7936,← 257°,186,214,"3,000","2,182",FlightAware ADS-B (TLV / LLBG)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:30:42 AM,31.9957,34.7771,← 257°,188,216,"3,575","1,591",FlightAware ADS-B (LLHZ)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:30:58 AM,31.9933,34.7601,← 266°,205,236,"3,875","1,125",FlightAware ADS-B (LLHS)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:31:18 AM,31.9958,34.7365,← 286°,226,260,"4,250","1,154",FlightAware ADS-B (LLEK)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:31:37 AM,32.0025,34.7146,← 290°,244,281,"4,625","1,439",FlightAware ADS-B (SDV / LLSD)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:32:07 AM,32.0152,34.6737,← 290°,275,316,"5,425","1,989",FlightAware ADS-B (TLV / LLBG)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:32:23 AM,32.0221,34.6509,← 288°,277,319,"6,150","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:32:39 AM,32.0268,34.6265,← 280°,288,331,"6,675","1,636",FlightAware ADS-B (AKT / LCRA)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:32:56 AM,32.0286,34.6009,← 276°,303,349,"7,050","2,355",FlightAware ADS-B (TLV / LLBG)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:34:12 AM,32.0346,34.4741,← 273°,316,364,"10,325","2,264",FlightAware MLAT (5 sites)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:34:44 AM,32.0395,34.4147,← 274°,344,396,"11,125","1,938",FlightAware MLAT (4 sites)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:35:17 AM,32.042,34.3516,← 274°,344,396,"12,425","2,250",FlightAware MLAT (6 sites)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:35:50 AM,32.0452,34.2894,← 274°,356,410,"13,600","1,915",FlightAware MLAT (5 sites)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:36:22 AM,32.0523,34.2243,← 289°,366,421,"14,500","2,020",FlightAware MLAT (5 sites)
TLV - FRA,El Al,ELY357,B738,23/07/2023,Sun 06:36:39 AM,32.0642,34.1962,← 301°,368,423,"15,250","2,036",FlightAware MLAT (6 sites)
