Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:53:13 PM,32.0141,34.8692,← 260°,162,186,750, ,FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:53:29 PM,32.0121,34.8559,← 259°,160,184,"1,475","2,438",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:53:45 PM,32.0095,34.8424,← 256°,162,186,"2,050","2,156",FlightAware ADS-B (LLHS)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:54:01 PM,32.0066,34.8283,← 256°,164,189,"2,625","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:54:17 PM,32.0035,34.8147,← 256°,168,193,"3,150","1,781",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:54:33 PM,32.0001,34.799,← 256°,181,208,"3,575","1,338",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:54:54 PM,31.9959,34.7786,← 257°,205,236,"3,975","1,105",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:55:11 PM,31.9919,34.7574,← 261°,229,264,"4,275","1,257",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:55:31 PM,31.996,34.7323,← 291°,248,285,"4,750","1,564",FlightAware ADS-B (BEV / LLBS)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:55:58 PM,32.0079,34.6976,← 291°,273,314,"5,500","2,026",FlightAware ADS-B (LLHZ)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:56:28 PM,32.0212,34.6554,← 290°,286,329,"6,675","2,413",FlightAware ADS-B (TLV / LLBG)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:56:44 PM,32.0273,34.6296,← 278°,294,338,"7,350",970,FlightAware ADS-B (LLHS)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:58:07 PM,32.0331,34.5011,← 274°,296,341,"8,275",555,FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:58:24 PM,32.0339,34.4741,← 274°,296,341,"8,275","1,191",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:58:41 PM,32.0358,34.446,← 274°,298,343,"8,950","3,032",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:59:11 PM,32.0394,34.3948,← 274°,308,354,"10,650","2,016",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 01:59:42 PM,32.0422,34.341,← 274°,326,375,"11,000","1,473",FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:00:06 PM,32.0487,34.2952,← 291°,336,387,"12,000","2,386",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:00:26 PM,32.061,34.2649,← 295°,348,400,"12,750","1,470",FlightAware MLAT (9 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:00:56 PM,32.082,34.2072,← 295°,372,428,"13,225","1,350",FlightAware MLAT (9 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:01:26 PM,32.1064,34.154,← 294°,380,437,"14,100","1,766",FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:01:58 PM,32.1308,34.0945,← 294°,386,444,"15,050","1,690",FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:02:29 PM,32.153,34.0358,← 295°,394,453,"15,875","1,688",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:03:02 PM,32.1779,33.9723,← 295°,400,460,"16,850","1,786",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:03:32 PM,32.2026,33.9082,← 296°,404,465,"17,750","1,725",FlightAware MLAT (6 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:04:02 PM,32.2278,33.8495,← 296°,408,470,"18,575","1,664",FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:04:36 PM,32.2554,33.7802,← 296°,408,470,"19,525","1,721",FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:05:10 PM,32.2857,33.7114,← 296°,414,476,"20,525","1,758",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:05:40 PM,32.3105,33.6518,← 296°,416,479,"21,400","1,548",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:06:12 PM,32.3385,33.5857,← 296°,414,476,"22,125","1,427",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:06:42 PM,32.3638,33.5233,← 296°,422,486,"22,875","1,355",FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:07:14 PM,32.3901,33.4556,← 296°,426,490,"23,525","1,432",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:07:48 PM,32.4205,33.3845,← 296°,430,495,"24,450","1,545",FlightAware MLAT (6 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:08:20 PM,32.4452,33.3155,← 296°,432,497,"25,225","1,295",FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:08:54 PM,32.4764,33.2408,← 296°,436,502,"25,875","1,131",FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:09:25 PM,32.504,33.1757,← 296°,438,504,"26,450","1,180",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:09:55 PM,32.5307,33.1107,← 296°,438,504,"27,075","1,008",FlightAware MLAT (9 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:10:29 PM,32.5609,33.0358,← 296°,442,509,"27,525",867,FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:10:59 PM,32.5859,32.9691,← 296°,442,509,"28,000",714,FlightAware MLAT (6 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:11:32 PM,32.6161,32.8984,← 296°,446,513,"28,275",614,FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:12:05 PM,32.6439,32.8237,← 296°,446,513,"28,675",844,FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:12:36 PM,32.6726,32.7565,← 296°,444,511,"29,175",785,FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:13:10 PM,32.7016,32.6808,← 296°,446,513,"29,525",705,FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:13:42 PM,32.731,32.6108,← 296°,446,513,"29,950",864,FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:14:16 PM,32.7605,32.5356,← 296°,442,509,"30,475",984,FlightAware MLAT (4 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:14:46 PM,32.7871,32.4701,← 295°,442,509,"31,000","1,016",FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:15:18 PM,32.8155,32.4006,← 300°,438,504,"31,525",944,FlightAware MLAT (6 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:15:48 PM,32.8462,32.337,← 305°,438,504,"31,975",762,FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:16:21 PM,32.8847,32.2716,← 305°,440,506,"32,325","1,065",FlightAware MLAT (6 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:16:57 PM,32.925,32.1994,← 305°,436,502,"33,200","1,205",FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:17:27 PM,32.9631,32.1435,← 305°,434,499,"33,650",727,FlightAware MLAT (9 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:18:01 PM,33.0013,32.076,← 305°,434,499,"33,975",609,FlightAware MLAT (8 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:18:31 PM,33.035,32.0185,← 305°,434,499,"34,300",714,FlightAware MLAT (7 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:19:04 PM,33.072,31.9526,← 305°,430,495,"34,725",646,FlightAware MLAT (5 sites)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:19:36 PM,33.1095,31.8872,← 304°,435,501,"35,000",524,FlightAware ADS-B (LLEK)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:20:07 PM,33.1431,31.8285,← 304°,434,499,"35,275",566,FlightAware ADS-B (LCA / LCLK)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:20:37 PM,33.1775,31.7682,← 304°,434,499,"35,575",575,FlightAware ADS-B (NIC / LCNC)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:21:07 PM,33.2113,31.7089,← 304°,433,498,"35,850",425,FlightAware ADS-B (NIC / LCNC)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:21:37 PM,33.246,31.6481,← 304°,431,496,"36,000",143,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:22:10 PM,33.2821,31.5845,← 304°,431,496,"36,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:22:41 PM,33.318,31.5215,← 304°,432,497,"36,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:23:11 PM,33.35,31.4651,← 304°,434,499,"36,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:23:41 PM,33.3837,31.4055,← 304°,432,497,"36,000",-25,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:24:12 PM,33.4179,31.3452,← 304°,431,496,"35,975",-44,FlightAware ADS-B (BEY / OLBA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:24:49 PM,33.4602,31.2711,← 304°,431,496,"35,950",-22,FlightAware ADS-B (AYT / LTAI)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:25:20 PM,33.4935,31.2123,← 304°,430,495,"35,950",23,FlightAware ADS-B (ADA / LTAF)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:25:55 PM,33.5346,31.1391,← 304°,431,496,"35,975",44,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:26:28 PM,33.5699,31.0761,← 304°,432,497,"36,000",24,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:26:58 PM,33.6034,31.0163,← 304°,433,498,"36,000",25,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:27:28 PM,33.6373,30.9556,← 304°,433,498,"36,025",25,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:27:58 PM,33.6709,30.8953,← 304°,434,499,"36,025", ,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:28:29 PM,33.7043,30.8354,← 304°,434,499,"36,025", ,FlightAware ADS-B (LCA / LCLK)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:28:59 PM,33.7393,30.7723,← 304°,434,499,"36,025", ,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:29:30 PM,33.773,30.7117,← 304°,432,497,"36,025", ,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:30:00 PM,33.8066,30.651,← 304°,432,497,"36,025",-25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:30:30 PM,33.8398,30.5909,← 304°,432,497,"36,000",-25,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:31:01 PM,33.8728,30.5312,← 304°,431,496,"36,000",-25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:31:31 PM,33.9062,30.4706,← 303°,430,495,"35,975",-25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:32:01 PM,33.94,30.4092,← 303°,431,496,"35,975",25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:32:31 PM,33.9724,30.3502,← 303°,430,495,"36,000",25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:33:01 PM,34.0053,30.2903,← 303°,430,495,"36,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:33:32 PM,34.0386,30.2294,← 303°,431,496,"36,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:34:02 PM,34.0721,30.1681,← 303°,431,496,"36,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:34:32 PM,34.105,30.1077,← 303°,431,496,"36,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:35:02 PM,34.137,30.0491,← 303°,431,496,"36,000",-25,FlightAware ADS-B (AKT / LCRA)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:35:33 PM,34.172,29.9849,← 303°,432,497,"35,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:36:12 PM,34.2157,29.91,← 306°,433,498,"36,000",22,FlightAware ADS-B (RHO / LGRP)
TLV - GVA,easyJet,DS1576,A20N,18/07/2023,Tue 02:36:42 PM,34.2499,29.8529,← 306°,433,498,"36,000",25,FlightAware ADS-B (RHO / LGRP)
