Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:08:50 PM,32.0117,32.011701694324,← 257°,160.0,184.0,"1,125", ,FlightAware ADS-B (TLV / LLBG)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:09:06 PM,32.01169999899137,32.01170878299931,← 257°,159.0,183.0,"1,775","2,438",FlightAware ADS-B (PFO / LCPH)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:09:22 PM,32.01169999395054,32.01172656469793,← 256°,162.0,186.0,"2,425","2,297",FlightAware ADS-B (LLHZ)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:09:38 PM,32.01169997922867,32.01176136552851,← 257°,163.0,188.0,"3,000","1,969",FlightAware ADS-B (LLHS)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:09:54 PM,32.01169994630374,32.01182003676046,← 257°,173.0,199.0,"3,475","1,618",FlightAware ADS-B (TLV / LLBG)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:10:16 PM,32.01169988361896,32.011909582567306,← 256°,201.0,231.0,"4,025","1,388",FlightAware ADS-B (JRS / LLJR)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:10:34 PM,32.011699776547,32.012036911763495,← 264°,224.0,258.0,"4,400","1,235",FlightAware ADS-B (LLHZ)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:10:50 PM,32.01169960774726,32.01220868740746,← 290°,240.0,276.0,"4,725","1,598",FlightAware ADS-B (TLV / LLBG)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:11:20 PM,32.011699358154935,32.01243124574872,← 290°,273.0,314.0,"5,625","2,115",FlightAware ADS-B (TLV / LLBG)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:11:51 PM,32.01169900835327,32.012710561730344,← 290°,282.0,325.0,"6,875","2,563",FlightAware ADS-B (TLV / LLBG)
TLV - GYD,Azerbaijan Airlines,AHY22,A20N,18/07/2023,Tue 12:12:08 PM,32.01169853983746,32.01305224474389,← 275°,294.0,338.0,"7,675","1,723",FlightAware ADS-B (SDV / LLSD)
