Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:10:13 AM,32.0125,34.8589,← 260°,166,191,550, ,FlightAware ADS-B (PFO / LCPH)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:10:29 AM,32.0103,34.8447,← 259°,162,186,"1,275","2,203",FlightAware ADS-B (PFO / LCPH)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:10:45 AM,32.0078,34.8307,← 257°,172,198,"1,725","1,547",FlightAware ADS-B (SDV / LLSD)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:11:01 AM,32.0047,34.8157,← 255°,186,214,"2,100","1,364",FlightAware ADS-B (TLV / LLBG)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:11:18 AM,32.0004,34.7973,← 255°,204,235,"2,475","1,338",FlightAware ADS-B (AKT / LCRA)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:11:38 AM,31.9952,34.7743,← 255°,229,264,"2,925","1,458",FlightAware ADS-B (JRS / LLJR)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:11:54 AM,31.9916,34.7544,← 266°,247,284,"3,350","1,714",FlightAware ADS-B (LLHZ)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:12:13 AM,31.9967,34.7299,← 292°,258,297,"3,925","2,480",FlightAware ADS-B (LLEK)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:12:43 AM,32.0096,34.6902,← 290°,262,302,"5,375","2,737",FlightAware ADS-B (TLV / LLBG)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:13:10 AM,32.0211,34.6524,← 287°,271,312,"6,525","2,717",FlightAware ADS-B (TLV / LLBG)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:13:36 AM,32.0296,34.6148,← 284°,273,314,"7,775","2,598",FlightAware ADS-B (TLV / LLBG)
TLV - HEL,Finnair,FIN1980,A319,29/06/2023,Thu 01:14:06 AM,32.0396,34.5713,← 285°,279,321,"8,950","2,280",FlightAware ADS-B (TLV / LLBG)
