Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:40:51 AM,32.013,34.8614,← 260°,162,186,725, ,FlightAware ADS-B (AKT / LCRA)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:41:07 AM,32.0104,34.8472,← 257°,164,189,"1,375","2,016",FlightAware ADS-B (AKT / LCRA)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:41:23 AM,32.0077,34.8341,← 256°,170,196,"1,800","1,781",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:41:39 AM,32.0043,34.8186,← 255°,178,205,"2,325","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:41:55 AM,32.001,34.8034,← 256°,180,207,"2,850","1,814",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:42:22 AM,31.9959,34.7778,← 257°,192,221,"3,625","1,533",FlightAware ADS-B (LLEK)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:42:40 AM,31.9924,34.7573,← 264°,213,245,"4,000","1,329",FlightAware ADS-B (SDV / LLSD)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:42:57 AM,31.9949,34.7387,← 287°,223,257,"4,400","1,338",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:43:17 AM,32.0022,34.7145,← 289°,247,284,"4,825","1,560",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:43:47 AM,32.0147,34.6743,← 290°,272,313,"5,700","2,182",FlightAware ADS-B (LLEK)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:44:12 AM,32.025,34.6402,← 285°,275,316,"6,825","2,380",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:44:33 AM,32.0291,34.6072,← 274°,283,326,"7,525","1,425",FlightAware ADS-B (SDV / LLSD)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:44:52 AM,32.0305,34.578,← 273°,281,323,"7,775",704,FlightAware ADS-B (LLHS)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:45:22 AM,32.0326,34.5316,← 274°,282,325,"8,100",717,FlightAware ADS-B (BEV / LLBS)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:45:38 AM,32.0364,34.5072,← 285°,284,327,"8,325","1,943",FlightAware ADS-B (BEV / LLBS)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:46:06 AM,32.0469,34.468,← 287°,278,320,"9,525","2,302",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:46:36 AM,32.0584,34.4236,← 287°,290,334,"10,550","1,575",FlightAware ADS-B (TLV / LLBG)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:47:06 AM,32.0712,34.3733,← 287°,322,371,"11,100","1,200",FlightAware ADS-B (PFO / LCPH)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:47:36 AM,32.085,34.3204,← 287°,344,396,"11,750","1,500",FlightAware ADS-B (PFO / LCPH)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:49:15 AM,32.1344,34.1263,← 287°,398,458,"14,325","1,419",FlightAware MLAT (8 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:49:45 AM,32.1515,34.0634,← 287°,404,465,"14,800","1,525",FlightAware MLAT (7 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:50:15 AM,32.1674,33.9992,← 290°,410,472,"15,850","1,825",FlightAware MLAT (6 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:50:45 AM,32.1907,33.9352,← 296°,418,481,"16,625","2,189",FlightAware MLAT (6 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:51:16 AM,32.2186,33.8722,← 296°,430,495,"18,075","2,492",FlightAware MLAT (4 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:51:50 AM,32.2493,33.8006,← 296°,430,495,"19,325","1,477",FlightAware MLAT (5 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:52:20 AM,32.2753,33.738,← 296°,417,480,"19,650","1,815",FlightAware MLAT (7 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:52:52 AM,32.303,33.6706,← 296°,434,499,"21,200","2,143",FlightAware MLAT (10 sites)
TLV - HER,Corendon Airlines,XR816,B738,16/07/2023,Sun 11:53:23 AM,32.3306,33.6025,← 296°,438,504,"21,900","1,258",FlightAware MLAT (11 sites)
