Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:00:46 PM,32.0134,32.01340169897235,← 260°,206.0,237.0,375, ,FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:01:02 PM,32.01339999899137,32.01340880546527,← 260°,206.0,237.0,"1,250","3,141",FlightAware ADS-B (PFO / LCPH)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:01:18 PM,32.013399993754966,32.01342662823229,← 255°,209.0,241.0,"2,050","2,484",FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:01:34 PM,32.01339997796617,32.01346150254244,← 256°,212.0,244.0,"2,575","1,922",FlightAware ADS-B (SDV / LLSD)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:01:50 PM,32.01339994171659,32.01352028608146,← 256°,215.0,247.0,"3,075","1,641",FlightAware ADS-B (LLHZ)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:02:06 PM,32.01339987138662,32.01360998644977,← 256°,223.0,257.0,"3,450","1,091",FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:02:23 PM,32.01339974975777,32.0137375132239,← 266°,239.0,275.0,"3,675",955,FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:02:50 PM,32.013399556828055,32.01390952710672,← 290°,266.0,306.0,"4,150","1,447",FlightAware ADS-B (LLHZ)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:03:20 PM,32.01339927118945,32.014132358518836,← 290°,281.0,323.0,"5,050","1,980",FlightAware ADS-B (LLEK)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:03:40 PM,32.013398871483595,32.01441197353978,← 288°,283.0,326.0,"5,800","2,333",FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:03:56 PM,32.01339833763186,32.014753970311816,← 277°,286.0,329.0,"6,450","2,286",FlightAware ADS-B (LLEK)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:04:22 PM,32.013397651727004,32.01516359361596,← 274°,289.0,333.0,"7,400","2,277",FlightAware ADS-B (TLV / LLBG)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:04:52 PM,32.01339679862146,32.01564575924207,← 273°,293.0,337.0,"8,575","2,265",FlightAware ADS-B (LLEK)
TLV - HKG,Cathay Pacific,CX676,B77W,13/07/2023,Thu 03:05:13 PM,32.01339576626866,32.01620508300142,← 276°,294.0,338.0,"9,325","2,115",FlightAware ADS-B (TLV / LLBG)
