Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:39:31 PM,32.0124,32.0124016954563,← 260°,185.0,213.0,550, ,FlightAware ADS-B (AKT / LCRA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:39:47 PM,32.01239999906608,32.012408787975616,← 258°,189.0,217.0,"1,100","2,109",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:40:03 PM,32.01239999420126,32.012426577408476,← 255°,192.0,221.0,"1,675","1,875",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:40:19 PM,32.01239997951155,32.01246138969021,← 256°,195.0,224.0,"2,100","1,565",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:40:49 PM,32.01239994538132,32.01252007208069,← 256°,201.0,231.0,"2,875","1,594",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:41:07 PM,32.01239987808468,32.01260961989211,← 261°,202.0,232.0,"3,375","1,342",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:41:27 PM,32.01239976017506,32.0127369282837,← 290°,209.0,241.0,"3,725",930,FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:41:57 PM,32.01239957166804,32.01290864171601,← 290°,240.0,276.0,"4,150","1,000",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:42:18 PM,32.01239929153772,32.013131073520405,← 295°,258.0,297.0,"4,575","1,338",FlightAware ADS-B (LLEK)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:42:34 PM,32.012398899301935,32.01341017300007,↖ 322°,266.0,306.0,"4,975","1,800",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:42:53 PM,32.012398376703,32.01375152313613,↑ 351°,265.0,305.0,"5,625","2,057",FlightAware ADS-B (LLEK)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:43:09 PM,32.0123977093257,32.01416035694462,↑ 21°,271.0,312.0,"6,175","2,000",FlightAware ADS-B (BEY / OLBA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:43:26 PM,32.012396888049054,32.01464158431577,↗ 47°,282.0,325.0,"6,725","1,318",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:43:42 PM,32.012395910180246,32.015199823850686,→ 77°,307.0,353.0,"6,900",864,FlightAware ADS-B (LLHS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:43:59 PM,32.01239478015816,32.015839436175426,→ 100°,326.0,375.0,"7,200","1,029",FlightAware ADS-B (JRS / LLJR)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:44:17 PM,32.012393509821806,32.01656455649301,→ 105°,346.0,398.0,"7,500","1,135",FlightAware ADS-B (LLHS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:44:36 PM,32.012392118335185,32.017379125069574,→ 92°,360.0,414.0,"7,900",867,FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:45:02 PM,32.01239063193302,32.01828691506139,→ 84°,363.0,418.0,"8,150","1,286",FlightAware ADS-B (JRS / LLJR)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:45:32 PM,32.01238908359812,32.019291557451645,→ 84°,366.0,421.0,"9,100","2,040",FlightAware ADS-B (SDV / LLSD)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:46:17 PM,32.01238751275628,32.020396563215215,→ 82°,377.0,434.0,"10,700","2,104",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:46:39 PM,32.01238596498727,32.02160534263708,→ 94°,379.0,436.0,"11,450","2,043",FlightAware ADS-B (BEV / LLBS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:47:04 PM,32.01238449170804,32.022921221881695,→ 109°,376.0,433.0,"12,300","1,750",FlightAware ADS-B (SDV / LLSD)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:47:39 PM,32.01238314975066,32.024347457089064,↘ 113°,393.0,452.0,"13,200","1,731",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:48:09 PM,32.012382000819436,32.0258872462279,↘ 113°,400.0,460.0,"14,175","1,850",FlightAware ADS-B (SDV / LLSD)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:48:39 PM,32.01238111083162,32.02754373894683,↘ 113°,407.0,468.0,"15,050","1,844",FlightAware ADS-B (SDV / LLSD)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:49:10 PM,32.01238054915002,32.029320044673696,↘ 113°,412.0,474.0,"16,050","1,833",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:49:42 PM,32.0123803877201,32.03121923919318,↘ 113°,419.0,482.0,"16,975","1,694",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:50:12 PM,32.01238070013,32.03324436989801,↘ 113°,426.0,490.0,"17,800","1,620",FlightAware ADS-B (LLHS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:50:32 PM,32.01238156063045,32.035398459843364,→ 105°,416.0,479.0,"18,325","1,761",FlightAware ADS-B (LLHS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:50:58 PM,32.01238304315408,32.037684510784665,→ 96°,435.0,501.0,"19,150","1,594",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:51:20 PM,32.012385220348364,32.04010550533338,↘ 115°,438.0,504.0,"19,600","1,330",FlightAware ADS-B (AMM / OJAI)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:51:42 PM,32.01238816259844,32.04266440833841,↘ 134°,440.0,506.0,"20,125","1,500",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:52:12 PM,32.012391936994064,32.04536416760599,↘ 134°,443.0,510.0,"20,900","1,588",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:52:33 PM,32.012396606238966,32.04820771404329,↘ 130°,447.0,514.0,"21,475","1,615",FlightAware ADS-B (BEV / LLBS)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:53:04 PM,32.01240222748588,32.05119796134657,↘ 127°,453.0,521.0,"22,300","1,548",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:53:36 PM,32.012408851090235,32.05433780533435,↘ 127°,455.0,524.0,"23,100","1,357",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:54:07 PM,32.01241651928555,32.057630123001786,↘ 127°,454.0,522.0,"23,725","1,156",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:54:37 PM,32.01242526478254,32.06107777136501,↘ 127°,469.0,540.0,"24,275","1,200",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:55:07 PM,32.01243510929749,32.064683586151006,↘ 127°,472.0,543.0,"24,925","1,306",FlightAware ADS-B (TLV / LLBG)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:55:39 PM,32.012446062007896,32.06845038039289,↘ 127°,475.0,547.0,"25,625","1,172",FlightAware ADS-B (HFA / LLHA)
TLV - HKT,El Al,ELY87,B772,13/07/2023,Thu 11:56:11 PM,32.01245811794328,32.07238094296841,↘ 127°,479.0,551.0,"26,175","1,089",FlightAware ADS-B (TLV / LLBG)
