Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:38:46 PM    Departure (TLV) @ Sunday 12:38:46 AM IDT,32.0118,32.01180169366847,FlightAware ADS-B (AKT / LCRA),191,220,750, ,FlightAware ADS-B (AKT / LCRA)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:38:46 PM,32.01179999891666,32.0118087785906,← 259°,194,223,"1,400","2,391",FlightAware ADS-B (LCA / LCLK)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:39:02 PM,32.01179999338201,32.011826548456796,← 257°,195,224,"2,025","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:39:18 PM,32.01179997690254,32.01186132137386,← 256°,200,230,"2,500","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:39:34 PM,32.01179993917575,32.011919936015744,← 256°,217,250,"3,100","1,261",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:40:01 PM,32.01179986588608,32.01200937898584,← 257°,230,265,"3,425","1,083",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:40:18 PM,32.01179973925509,32.012136536849354,← 268°,241,277,"3,750","1,255",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:40:37 PM,32.011799539422704,32.012308045436455,← 290°,263,303,"4,450","1,800",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:41:07 PM,32.011799246215,32.012530208726524,← 290°,270,311,"5,550","2,275",FlightAware ADS-B (TLV / LLBG)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:41:37 PM,32.0117988408827,32.01280896464681,← 290°,277,319,"6,725","2,325",FlightAware ADS-B (AKT / LCRA)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:42:07 PM,32.01179830757744,32.01314988092374,← 285°,281,323,"7,875","1,478",FlightAware ADS-B (AKT / LCRA)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:42:37 PM,32.01179763570561,32.01355816384562,← 285°,388,447,"11,825","1,438",FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:45:34 PM,32.01179682212348,32.014038675717124,← 285°,398,458,"13,125","1,417",FlightAware MLAT (4 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:46:16 PM,32.01179587295956,32.01459595797972,← 285°,414,476,"13,525","1,086",FlightAware MLAT (4 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:46:46 PM,32.01179480510573,32.015234256532935,← 284°,430,495,"14,500","1,472",FlightAware MLAT (4 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:47:32 PM,32.01179364809946,32.01595754570139,← 290°,443,510,"17,400","1,511",FlightAware ADS-B (AKT / LCRA)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:49:24 PM,32.01179244592352,32.01676955092776,← 296°,445,512,"17,900","1,364",FlightAware ADS-B (SDV / LLSD)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:49:47 PM,32.01179125861752,32.01767376975935,← 296°,448,516,"18,650","1,103",FlightAware ADS-B (LCA / LCLK)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:50:19 PM,32.01179016552997,32.0186734872389,← 296°,482,555,"23,875",994,FlightAware MLAT (8 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:55:12 PM,32.01178926904094,32.01977178785887,← 302°,482,555,"23,950",443,FlightAware MLAT (7 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:55:39 PM,32.01178869825424,32.0209715651232,← 302°,488,562,"24,325",789,FlightAware MLAT (8 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:56:13 PM,32.01178861298302,32.02227552820966,← 302°,500,575,"26,225",790,FlightAware MLAT (6 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:58:32 PM,32.011789207605474,32.023686206693036,← 302°,504,580,"26,550",515,FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:59:02 PM,32.01179071462725,32.025205953807436,← 302°,504,580,"26,800",423,FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 05:59:39 PM,32.01179340790113,32.02683694856633,← 302°,508,585,"27,050",728,FlightAware MLAT (4 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:00:13 PM,32.011797605462895,32.028581196934475,← 302°,512,589,"27,625",773,FlightAware MLAT (7 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:00:47 PM,32.011803671995025,32.030440532231516,← 302°,514,592,"27,875",700,FlightAware MLAT (8 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:01:17 PM,32.011812020950416,32.03241661488929,← 302°,512,589,"28,325",750,FlightAware MLAT (6 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:01:47 PM,32.01182311637255,32.03451093166409,← 302°,510,587,"28,625",871,FlightAware MLAT (7 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:02:17 PM,32.01183747445693,32.03672479437567,← 302°,508,585,"29,225","1,062",FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:02:49 PM,32.011855664890675,32.039059338246524,← 302°,506,582,"29,775",992,FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:03:22 PM,32.01187831200242,32.04151551991333,← 302°,504,580,"30,300",895,FlightAware MLAT (5 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:03:54 PM,32.011906095741104,32.044094115191065,← 302°,502,578,"30,700",836,FlightAware MLAT (6 sites)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:04:24 PM,32.01193975250785,32.04679571665359,← 302°,501,577,"31,150",885,FlightAware ADS-B (LCA / LCLK)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:04:55 PM,32.01198007585172,32.0496207310995,← 302°,500,575,"31,600",775,FlightAware ADS-B (LCA / LCLK)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:05:25 PM,32.01202791703672,32.052569376968755,← 302°,501,577,"31,925",700,FlightAware ADS-B (PFO / LCPH)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:05:55 PM,32.012084185487566,32.05564168176517,← 302°,500,575,"32,300",800,FlightAware ADS-B (AKT / LCRA)
TLV - IAD,United,UA73,B788,23/07/2023,Sat 06:06:25 PM,32.012149849120135,32.05883747953414,← 302°,499,574,"32,725",875,FlightAware ADS-B (PFO / LCPH)
