Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:19:59 PM,32.0101,34.845,← 257°,169,194,"1,300", ,FlightAware ADS-B (PFO / LCPH)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:20:15 PM,32.0074,34.8315,← 256°,169,194,"1,900","2,344",FlightAware ADS-B (AKT / LCRA)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:20:31 PM,32.0041,34.8163,← 256°,166,191,"2,550","2,063",FlightAware ADS-B (LLEK)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:20:47 PM,32.0012,34.8028,← 256°,172,198,"3,000",857,FlightAware ADS-B (LLEK)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:21:13 PM,31.9958,34.7765,← 257°,209,241,"3,150",443,FlightAware ADS-B (LLHZ)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:21:31 PM,31.992,34.7559,← 263°,213,245,"3,325",750,FlightAware ADS-B (TLV / LLBG)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:21:49 PM,31.9948,34.7362,← 289°,232,267,"3,600","1,208",FlightAware ADS-B (PFO / LCPH)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:22:07 PM,32.0025,34.712,← 291°,256,295,"4,050","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:22:37 PM,32.0156,34.6718,← 291°,269,310,"5,175","2,460",FlightAware ADS-B (SDV / LLSD)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:22:57 PM,32.0245,34.643,← 289°,271,312,"6,100","2,542",FlightAware ADS-B (SDV / LLSD)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:23:13 PM,32.0278,34.6212,← 274°,275,316,"6,700","2,384",FlightAware ADS-B (AKT / LCRA)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:24:49 PM,32.0568,34.4809,← 285°,290,334,"10,550","2,027",FlightAware MLAT (4 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:25:21 PM,32.0671,34.4326,← 285°,318,366,"11,025",861,FlightAware MLAT (4 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:25:50 PM,32.0828,34.3813,← 285°,336,387,"11,425","1,541",FlightAware MLAT (7 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:26:34 PM,32.1006,34.2964,← 285°,346,398,"12,900","1,840",FlightAware MLAT (4 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:27:05 PM,32.1143,34.2402,← 285°,356,410,"13,725","1,746",FlightAware MLAT (8 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:27:35 PM,32.1248,34.1844,← 285°,356,410,"14,675","1,742",FlightAware MLAT (6 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:28:07 PM,32.1394,34.1232,← 285°,364,419,"15,525","1,742",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:28:37 PM,32.1529,34.0647,← 285°,366,421,"16,475","1,672",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:29:08 PM,32.1674,34.0042,← 285°,368,423,"17,225","1,628",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:29:24 PM,32.1768,33.9735,← 303°,376,433,"17,750","1,500",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:29:41 PM,32.1907,33.9443,← 306°,376,433,"18,050","1,757",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:29:59 PM,32.2128,33.9145,← 306°,376,433,"18,775","1,824",FlightAware MLAT (7 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:30:32 PM,32.2485,33.8616,← 305°,380,437,"19,600","1,242",FlightAware MLAT (8 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:31:03 PM,32.2806,33.8074,← 305°,388,447,"20,100","1,500",FlightAware MLAT (10 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:31:36 PM,32.3153,33.7494,← 306°,388,447,"21,200","1,523",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:32:08 PM,32.3483,33.6933,← 305°,392,451,"21,750","1,000",FlightAware MLAT (13 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:32:39 PM,32.3805,33.639,← 305°,396,456,"22,250",900,FlightAware MLAT (6 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:33:13 PM,32.4183,33.5777,← 305°,402,463,"22,725","1,055",FlightAware MLAT (5 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:33:43 PM,32.4516,33.5237,← 305°,406,467,"23,375","1,156",FlightAware MLAT (7 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:34:14 PM,32.4841,33.4667,← 305°,410,472,"23,900","1,214",FlightAware MLAT (6 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:34:46 PM,32.5197,33.4082,← 305°,410,472,"24,650","1,336",FlightAware MLAT (4 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:35:18 PM,32.5555,33.3469,← 305°,410,472,"25,325","1,119",FlightAware MLAT (12 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:35:49 PM,32.5895,33.2906,← 305°,412,474,"25,825",750,FlightAware MLAT (11 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:36:22 PM,32.6256,33.2291,← 305°,418,481,"26,125",600,FlightAware MLAT (7 sites)
TLV - IAS,Wizz Air,WZZ3690,A21N,21/07/2023,Fri 08:36:54 PM,32.6622,33.1677,← 305°,424,488,"26,475",774,FlightAware MLAT (6 sites)
