Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:50:17 AM,32.0125,32.01250169581387,← 260°,186.0,214.0,475, ,FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:50:33 AM,32.01249999906609,32.0125087903532,← 257°,179.0,206.0,"1,300","3,047",FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:50:49 AM,32.012499994299056,32.01252658587607,← 257°,176.0,203.0,"2,100","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:51:05 AM,32.012499980076385,32.01256141173566,← 256°,178.0,205.0,"2,450","1,125",FlightAware ADS-B (BEV / LLBS)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:51:21 AM,32.01249994770884,32.01262012153563,← 256°,185.0,213.0,"2,700","1,095",FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:51:42 AM,32.01249988525094,32.01270972074852,← 256°,189.0,217.0,"3,125",988,FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:52:02 AM,32.012499777472456,32.01283711866073,← 261°,198.0,228.0,"3,375",633,FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:52:27 AM,32.01249960637495,32.01300897778313,← 289°,217.0,250.0,"3,600",585,FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:53:01 AM,32.012499352329776,32.01323163257539,← 290°,258.0,297.0,"3,950","1,031",FlightAware ADS-B (LLHS)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:53:31 AM,32.01249899551969,32.01351105492465,← 289°,274.0,315.0,"4,700","1,855",FlightAware ADS-B (TLV / LLBG)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:53:56 AM,32.0124985172198,32.01385284978231,← 274°,273.0,314.0,"5,650","2,182",FlightAware ADS-B (AKT / LCRA)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:54:26 AM,32.01249790075477,32.01426226890333,← 273°,277.0,319.0,"6,700","1,899",FlightAware ADS-B (AKT / LCRA)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:55:15 AM,32.01249713256613,32.01474423432935,← 281°,280.0,322.0,"8,150","1,746",FlightAware ADS-B (LLEK)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:55:33 AM,32.012496203371,32.015303367022234,↑ 353°,303.0,349.0,"8,650","1,662",FlightAware ADS-B (AKT / LCRA)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:55:52 AM,32.01249510937761,32.0159440173703,↑ 356°,310.0,357.0,"9,175","1,592",FlightAware ADS-B (SDV / LLSD)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:56:22 AM,32.012493853673426,32.016670295348476,↑ 354°,321.0,369.0,"9,950","1,279",FlightAware ADS-B (SDV / LLSD)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:56:53 AM,32.01249244779486,32.017486098950755,↑ 354°,343.0,395.0,"10,475",836,FlightAware ADS-B (SDV / LLSD)
TLV - ICN,Korean Air,KAL958,A332,13/07/2023,Thu 12:57:23 AM,32.01249091345116,32.01839514011891,↑ 354°,371.0,427.0,"10,800",825,FlightAware ADS-B (SDV / LLSD)
