Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:44:29 PM,32.0122,34.8568,← 260°,161,185,875, ,FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:44:45 PM,32.0099,34.8442,← 257°,158,182,"1,475","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:45:01 PM,32.0069,34.8303,← 255°,161,185,"2,075","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:45:17 PM,32.004,34.817,← 256°,164,189,"2,625","2,203",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:45:33 PM,32.0007,34.8017,← 256°,164,189,"3,250","1,779",FlightAware ADS-B (AKT / LCRA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:46:00 PM,31.9957,34.7774,← 257°,191,220,"3,900","1,370",FlightAware ADS-B (LLHZ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:46:19 PM,31.992,34.7572,← 262°,215,247,"4,300","1,200",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:46:35 PM,31.9947,34.7365,← 288°,235,270,"4,600","1,066",FlightAware ADS-B (LLHS)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:46:57 PM,32.0039,34.708,← 291°,266,306,"4,975","1,096",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:47:27 PM,32.0182,34.6645,← 291°,280,322,"5,550","1,141",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:47:43 PM,32.0248,34.6433,← 289°,276,318,"5,850","1,266",FlightAware ADS-B (TLV / LLBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:47:59 PM,32.0283,34.6189,← 274°,277,319,"6,225","1,353",FlightAware ADS-B (AKT / LCRA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:48:34 PM,32.0305,34.5664,← 274°,275,316,"7,000","1,810",FlightAware ADS-B (AKT / LCRA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:49:55 PM,32.0575,34.462,↖ 325°,288,331,"9,725","2,085",FlightAware MLAT (9 sites)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:50:14 PM,32.0823,34.4484,↑ 357°,306,352,"10,475","1,192",FlightAware MLAT (8 sites)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:50:34 PM,32.1136,34.436,↑ 359°,310,357,"10,500",679,FlightAware MLAT (7 sites)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:51:07 PM,32.1581,34.4512,↑ 357°,336,387,"11,075","1,875",FlightAware MLAT (6 sites)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 05:51:54 PM,32.2431,34.441,↑ 358°,366,421,"13,000","2,521",FlightAware MLAT (4 sites)
