Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:50:12 PM,32.0127,32.01270169730372,← 258°,191.0,220.0,475, ,FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:50:28 PM,32.01269999891666,32.01270879703466,← 259°,203.0,234.0,900,"2,016",FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:50:44 PM,32.01269999343091,32.01272660311087,← 257°,206.0,237.0,"1,550","2,297",FlightAware ADS-B (LLHS)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:51:00 PM,32.012699977168346,32.01276144506414,← 256°,209.0,241.0,"2,125","1,826",FlightAware ADS-B (SDV / LLSD)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:51:30 PM,32.01269993992125,32.01282017278121,← 256°,212.0,244.0,"2,950","1,622",FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:51:49 PM,32.012699867322866,32.01290978278851,← 267°,213.0,245.0,"3,450","1,346",FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:52:09 PM,32.012699741341294,32.01303716981747,← 291°,220.0,253.0,"3,825",875,FlightAware ADS-B (LLEK)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:52:25 PM,32.01269954135324,32.013208976965046,← 292°,237.0,273.0,"3,975",848,FlightAware ADS-B (LLHZ)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:52:55 PM,32.01269924562917,32.01343151561941,← 290°,262.0,302.0,"4,475","1,029",FlightAware ADS-B (LLHZ)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:53:16 PM,32.012698832826956,32.01371073247505,← 287°,275.0,316.0,"4,850","1,280",FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:53:36 PM,32.012698283207335,32.014052206633444,← 274°,283.0,326.0,"5,350","1,590",FlightAware ADS-B (LLEK)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:54:06 PM,32.01269757949271,32.01446116445497,← 274°,289.0,333.0,"6,175","1,250",FlightAware ADS-B (LLHZ)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:54:36 PM,32.01269670741496,32.01494250399332,← 274°,310.0,357.0,"6,600",850,FlightAware ADS-B (LLEK)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:55:06 PM,32.0126956560293,32.01550082366987,← 274°,329.0,379.0,"7,025",975,FlightAware ADS-B (BEV / LLBS)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:55:36 PM,32.01269441786673,32.01614045190376,← 274°,344.0,396.0,"7,575","1,350",FlightAware ADS-B (BEY / OLBA)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:56:06 PM,32.01269298898319,32.01686547568074,← 274°,347.0,399.0,"8,375","1,725",FlightAware ADS-B (TLV / LLBG)
TLV - JFK,El Al,LY11,B789,13/07/2023,Thu 05:56:36 PM,32.01269136894495,32.0176797669281,← 274°,348.0,400.0,"9,300","1,783",FlightAware ADS-B (TLV / LLBG)
