Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:42:50 PM,32.0114,32.011401693012935,← 259°,197.0,227.0,725, ,FlightAware ADS-B (LCA / LCLK)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:43:06 PM,32.01139999880459,32.01140877492903,← 256°,199.0,229.0,"1,325","2,203",FlightAware ADS-B (SDV / LLSD)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:43:22 PM,32.01139999278592,32.01142653687421,← 256°,201.0,231.0,"1,900","1,969",FlightAware ADS-B (TLV / LLBG)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:43:38 PM,32.01139997505792,32.01146129373622,← 256°,202.0,232.0,"2,375","1,725",FlightAware ADS-B (LLEK)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:44:02 PM,32.01139993490802,32.01151988072617,← 257°,205.0,236.0,"3,050","1,536",FlightAware ADS-B (LLEK)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:44:20 PM,32.01139985765404,32.01160928124631,← 263°,208.0,239.0,"3,450","1,125",FlightAware ADS-B (TLV / LLBG)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:44:38 PM,32.01139972514579,32.01173637946977,← 288°,220.0,253.0,"3,725",872,FlightAware ADS-B (LCA / LCLK)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:45:03 PM,32.011399516960886,32.01190781039167,← 290°,242.0,278.0,"4,075",900,FlightAware ADS-B (BEV / LLBS)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:45:33 PM,32.01139921198372,32.012129879273076,← 289°,267.0,307.0,"4,550","1,297",FlightAware ADS-B (TLV / LLBG)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:46:02 PM,32.011398790056205,32.012408527805704,← 293°,276.0,318.0,"5,350","1,900",FlightAware ADS-B (LLEK)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:46:18 PM,32.01139823345489,32.01274933062293,← 307°,276.0,318.0,"5,975","1,727",FlightAware ADS-B (TLV / LLBG)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:46:35 PM,32.01139752819663,32.0131575102974,↖ 325°,289.0,333.0,"6,300","1,375",FlightAware ADS-B (TLV / LLBG)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:46:54 PM,32.01139666530421,32.01363796275062,↑ 2°,298.0,343.0,"6,800","1,583",FlightAware ADS-B (LLHS)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:47:11 PM,32.011395642028354,32.014195287788965,↗ 23°,303.0,349.0,"7,250","1,586",FlightAware ADS-B (BEV / LLBS)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:47:29 PM,32.01139446293653,32.01483382132556,↗ 54°,304.0,350.0,"7,725","1,500",FlightAware ADS-B (PFO / LCPH)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:47:46 PM,32.01139314076743,32.01555766708489,← 307°,1277.0,1470.0,"8,125","1,000",FlightAware ADS-B (AKT / LCRA)
TLV - JNB,El Al,ELY51,B772,19/07/2023,Wed 11:48:02 PM,32.011391696953865,32.016370726443824,← 292°,1001.0,1152.0,"8,275",221,FlightAware ADS-B (TLV / LLBG)
