Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:53:45 PM,32.0127,32.01270169772088,← 258°,160,184,775, ,FlightAware ADS-B (PFO / LCPH)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:54:01 PM,32.01269999899137,32.01270880039376,← 256°,157,181,"1,500","2,297",FlightAware ADS-B (PFO / LCPH)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:54:17 PM,32.01269999407279,32.01272661753289,← 256°,159,183,"2,000","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:54:33 PM,32.01269997979357,32.012761488529435,← 256°,158,182,"2,575","1,828",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:54:49 PM,32.012699947871766,32.01282027934245,← 257°,160,184,"2,975","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:55:05 PM,32.0126998871777,32.01291001026591,← 257°,165,190,"3,375","1,191",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:55:23 PM,32.01269978382942,32.0130376079963,← 257°,184,212,"3,650",882,FlightAware ADS-B (JRS / LLJR)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:55:39 PM,32.012699621342016,32.01320975543796,← 257°,201,231,"3,875",686,FlightAware ADS-B (LLHZ)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:55:58 PM,32.01269938092768,32.01343281130391,← 287°,230,265,"4,050",868,FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:56:17 PM,32.012699042095285,32.01371277663288,← 291°,254,292,"4,425","1,898",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:56:47 PM,32.0126985835448,32.01405529098909,← 291°,265,305,"5,600","2,143",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:57:13 PM,32.012697984195874,32.014465646463194,← 285°,273,314,"6,425","1,366",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:57:43 PM,32.012697224101665,32.01494881141219,← 274°,280,322,"6,875",725,FlightAware ADS-B (LLEK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:58:13 PM,32.0126962851571,32.0155094586441,← 274°,279,321,"7,150",300,FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:58:43 PM,32.012695151606884,32.01615199472408,← 274°,277,319,"7,175",656,FlightAware ADS-B (LCA / LCLK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:59:01 PM,32.01269381041633,32.01688058856427,← 294°,273,314,"7,675","1,897",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:59:17 PM,32.01269225159749,32.01769919823053,↖ 318°,279,321,"8,250","2,400",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:59:36 PM,32.012690468623646,32.01861159540154,↑ 1°,286,329,"9,075","2,462",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 05:59:56 PM,32.01268845897389,32.019621387265246,↑ 7°,291,335,"9,850","2,088",FlightAware ADS-B (BEV / LLBS)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:00:27 PM,32.01268622488864,32.020732035801196,↑ 7°,307,353,"10,850","2,176",FlightAware ADS-B (BEV / LLBS)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:00:47 PM,32.012683774271224,32.0219468744814,↑ 0°,307,353,"11,700","1,673",FlightAware ADS-B (BEV / LLBS)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:02:20 PM,32.012681122161766,32.02326912241702,↑ 355°,345,397,"14,000","1,464",FlightAware MLAT (4 sites)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:02:51 PM,32.012678292573696,32.02470189613941,↑ 355°,368,423,"14,725","1,333",FlightAware MLAT (8 sites)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:03:23 PM,32.012675320570025,32.026248219228,↑ 355°,388,447,"15,400","1,426",FlightAware MLAT (7 sites)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:03:52 PM,32.01267225448384,32.0279110300029,↑ 355°,400,460,"16,175","1,703",FlightAware ADS-B (TLV / LLBG)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:04:22 PM,32.012669158226856,32.02969318749865,↑ 355°,405,466,"17,075","1,960",FlightAware ADS-B (LLHS)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:04:54 PM,32.01266611365913,32.031597475926205,↑ 355°,404,465,"18,200","1,790",FlightAware ADS-B (HFA / LLHA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:05:24 PM,32.01266322298589,32.033626607818015,↑ 354°,410,472,"18,925","1,230",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:05:55 PM,32.01266061116676,32.0357832260342,↑ 354°,421,484,"19,450","1,107",FlightAware ADS-B (HFA / LLHA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:06:25 PM,32.01265842832671,32.03806990479217,↑ 354°,428,493,"20,050","1,175",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:06:55 PM,32.012656852164945,32.04048914986564,↑ 354°,436,502,"20,625","1,303",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:07:26 PM,32.01265609035876,32.04304339808337,↑ 355°,439,505,"21,375","1,475",FlightAware ADS-B (LLEK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:07:56 PM,32.012656382961694,32.04573501624398,↑ 354°,441,507,"22,125","1,425",FlightAware ADS-B (JRS / LLJR)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:08:26 PM,32.01265800478985,32.0485662995504,↑ 354°,443,510,"22,800","1,450",FlightAware ADS-B (LLEK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:08:56 PM,32.01266126779151,32.05153946965547,↑ 354°,443,510,"23,575","1,250",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:09:26 PM,32.01266652339946,32.05465667239935,↑ 354°,451,519,"24,050",900,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:09:56 PM,32.01267416486668,32.05791997530976,↑ 354°,460,529,"24,475","1,100",FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:10:26 PM,32.01268462958098,32.061331364927796,↑ 354°,460,529,"25,150","1,250",FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:10:56 PM,32.0126984013532,32.06489274401464,↑ 354°,462,532,"25,725","1,008",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:11:27 PM,32.01271601267549,32.06860592868764,↑ 354°,468,539,"26,175",885,FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:11:57 PM,32.012738046947696,32.07247264552787,↑ 354°,472,543,"26,625",925,FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:12:27 PM,32.01276514066922,32.07649452869622,↑ 354°,475,547,"27,100",950,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:12:57 PM,32.01279798558942,32.08067311709081,↑ 354°,477,549,"27,575",850,FlightAware ADS-B (ADA / LTAF)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:13:27 PM,32.01283733081329,32.08500985157375,↑ 354°,481,554,"27,950",689,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:13:58 PM,32.01288398485918,32.08950607229164,↑ 354°,487,560,"28,275",639,FlightAware ADS-B (SDV / LLSD)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:14:28 PM,32.0129388176619,32.09416301611108,↑ 354°,492,566,"28,600",650,FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:14:58 PM,32.0130027625164,32.09898181418744,↑ 354°,495,570,"28,925",600,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:15:28 PM,32.013076817958755,32.10396348968208,↑ 354°,500,575,"29,200",590,FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:15:59 PM,32.01316204958228,32.109108955640785,↑ 354°,504,580,"29,525",910,FlightAware ADS-B (LCA / LCLK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:16:29 PM,32.013259591780745,32.11441901304443,↑ 354°,497,572,"30,125","1,475",FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:16:59 PM,32.013370649413076,32.11989434904086,↑ 354°,486,559,"31,000","1,250",FlightAware ADS-B (LCA / LCLK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:17:29 PM,32.01349649938062,32.125535535365465,↑ 354°,488,562,"31,375",625,FlightAware ADS-B (AKT / LCRA)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:17:59 PM,32.01363849211386,32.13134302695557,↑ 354°,492,566,"31,625",811,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:18:30 PM,32.01379805296121,32.13731716076303,↑ 354°,488,562,"32,200","1,082",FlightAware ADS-B (LCA / LCLK)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:19:00 PM,32.01397668347808,32.14345815476721,↑ 354°,485,558,"32,725",775,FlightAware ADS-B (ADA / LTAF)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:19:30 PM,32.01417596260392,32.14976610719074,↑ 354°,490,564,"32,975",600,FlightAware ADS-B (ADA / LTAF)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:20:00 PM,32.01439754772716,32.15624099591792,↑ 354°,489,563,"33,325",959,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:20:31 PM,32.014643175632884,32.16288267811516,↑ 354°,481,554,"33,950",919,FlightAware ADS-B (NIC / LCNC)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:21:02 PM,32.01491466332808,32.16969089005226,↑ 354°,483,556,"34,275",615,FlightAware ADS-B (ADA / LTAF)
TLV - KIV,FlyOne,FIA448,A320,4/7/2023,Tue 06:21:32 PM,32.01521390873936,32.17666524712233,↑ 354°,485,558,"34,575",550,FlightAware ADS-B (ADA / LTAF)
