Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:27:03 PM,32.011,34.8497,← 257°,177,204,"1,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:27:19 PM,32.0073,34.8332,← 255°,185,213,"1,575","2,250",FlightAware ADS-B (TLV / LLBG)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:27:35 PM,32.0042,34.8195,← 255°,177,204,"2,200","2,109",FlightAware ADS-B (LLEK)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:27:51 PM,32.0008,34.8039,← 256°,180,207,"2,700","1,988",FlightAware ADS-B (LLEK)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:28:18 PM,31.9961,34.7784,← 257°,182,209,"3,625","1,728",FlightAware ADS-B (TLV / LLBG)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:28:37 PM,31.993,34.7578,← 267°,200,230,"4,025","1,157",FlightAware ADS-B (TLV / LLBG)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:28:53 PM,31.9946,34.7402,← 283°,217,250,"4,300","1,015",FlightAware ADS-B (TLV / LLBG)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:29:11 PM,32.0009,34.7198,← 291°,238,274,"4,600","1,347",FlightAware ADS-B (TLV / LLBG)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:29:42 PM,32.0135,34.6792,← 290°,269,310,"5,400","1,990",FlightAware ADS-B (AKT / LCRA)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:30:03 PM,32.0222,34.65,← 288°,273,314,"6,325","2,433",FlightAware ADS-B (LLEK)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:30:27 PM,32.0275,34.6159,← 275°,279,321,"7,225","1,556",FlightAware ADS-B (SDV / LLSD)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:30:57 PM,32.0301,34.5685,← 274°,283,326,"7,725","1,712",FlightAware ADS-B (SDV / LLSD)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:31:59 PM,32.0484,34.4778,← 283°,284,327,"9,850","1,940",FlightAware MLAT (5 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:32:29 PM,32.0601,34.435,← 286°,292,336,"10,700","1,250",FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:32:59 PM,32.0719,34.389,← 287°,308,354,"11,100","1,352",FlightAware MLAT (9 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:33:30 PM,32.0831,34.3397,← 287°,336,387,"12,075","1,403",FlightAware MLAT (7 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:34:01 PM,32.0951,34.2864,← 286°,342,394,"12,550","2,026",FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:35:44 PM,32.1522,34.09,← 286°,366,421,"16,600","2,086",FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:35:45 PM,32.2574,34.19,↖ 333°,,,, ,Estimated
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:36:27 PM,32.1697,33.9962,← 292°,374,430,"17,625", ,FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:36:59 PM,32.1988,33.9422,← 305°,382,440,"18,525","1,362",FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:37:43 PM,32.246,33.8691,← 305°,384,442,"19,350","1,399",FlightAware MLAT (4 sites)
TLV - KRK,LOT Polish Airlines,LO160,B738,16/07/2023,Sun 08:38:13 PM,32.2749,33.8169,← 305°,386,444,"20,250","2,066",FlightAware MLAT (6 sites)
