Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:07:00 AM    Left Gate (TLV) @ Wednesday 01:07:00 AM IDT,32.0108,32.27092316076295,Airline,204.0,235.0,950, ,FlightAware ADS-B (LCA / LCLK)
TLV - LAX,El Al,LY5,B789,19/07/2023,Taxi Time: 17 minutes,32.0105284324425,32.48799702502118,FlightAware ADS-B (LCA / LCLK),205.0,236.0,"1,625","2,438",FlightAware ADS-B (LCA / LCLK)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:24:50 AM    Departure (TLV) @ Wednesday 01:24:50 AM IDT,32.009996381041226,32.67176776953813,← 260°,205.0,236.0,"2,250","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:24:50 AM,32.00924785102838,32.82912901325994,← 256°,207.0,238.0,"2,725","1,727",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:25:06 AM,32.008315006702624,32.965176454920915,← 255°,208.0,239.0,"3,200","1,583",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:25:22 AM,32.00728799301909,33.08365357240694,← 256°,213.0,245.0,"3,675","1,176",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:25:38 AM,32.00659614500556,33.18749672763725,← 256°,228.0,262.0,"3,925",750,FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:25:55 AM,32.00637393802694,33.2791537070669,← 269°,246.0,283.0,"4,125",750,FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:26:14 AM,32.00655975356329,33.36045630872056,← 290°,262.0,302.0,"4,350","1,300",FlightAware ADS-B (BEY / OLBA)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:26:32 AM,32.00744211909074,33.43174988118819,← 290°,279.0,321.0,"5,100","1,622",FlightAware ADS-B (BEV / LLBS)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:26:50 AM,32.00850683531047,33.495114164312064,← 290°,283.0,326.0,"5,675","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:27:06 AM,32.00958896350348,33.55108283229269,← 288°,287.0,330.0,"6,250","1,321",FlightAware ADS-B (LLHZ)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:27:35 AM,32.010662867223544,33.60119678151286,← 276°,290.0,334.0,"6,600","1,091",FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:27:55 AM,32.01196812882397,33.64620757429725,← 274°,296.0,341.0,"6,850",773,FlightAware ADS-B (TLV / LLBG)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:28:21 AM,32.013901765167056,33.68692341558368,← 276°,303.0,349.0,"7,025","1,174",FlightAware ADS-B (SDV / LLSD)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:28:37 AM,32.017602476145115,33.72417361304044,← 298°,306.0,352.0,"7,750","1,225",FlightAware ADS-B (SDV / LLSD)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:28:54 AM,32.02298890018259,33.758636071860906,↖ 324°,315.0,362.0,"8,250",981,FlightAware ADS-B (AKT / LCRA)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:29:10 AM,32.02933690552552,33.79066558877322,↑ 354°,284.0,327.0,"8,600",990,FlightAware ADS-B (LLEK)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:29:40 AM,32.043594486969134,33.819635682134276,↑ 355°,340.0,391.0,"10,725",911,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:30:10 AM,32.059195688499415,33.84643875851625,↑ 354°,358.0,412.0,"11,075",514,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:30:32 AM,32.07631622270004,33.87121607930086,↑ 354°,370.0,426.0,"11,325",520,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:32:40 AM,32.095540327158965,33.89435326605839,↑ 354°,386.0,444.0,"11,725",579,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:33:15 AM,32.11561660466448,33.9161803073646,↑ 354°,394.0,453.0,"12,000",600,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:33:50 AM,32.13683431059625,33.93638586096522,↑ 354°,402.0,463.0,"12,325",825,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:34:30 AM,32.15915070143544,33.955199436719006,↑ 354°,404.0,465.0,"12,825","1,008",FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:35:00 AM,32.182509150176166,33.97277132853021,↑ 354°,408.0,470.0,"13,350",891,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:35:30 AM,32.2070174036848,33.989274967359535,↑ 354°,412.0,474.0,"13,775",820,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:36:00 AM,32.23250834645651,34.00469314971275,↑ 354°,416.0,479.0,"14,225",895,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:36:31 AM,32.25904559766222,34.01902597027648,↑ 354°,418.0,481.0,"14,700",885,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:37:04 AM,32.28651075140384,34.032293170457336,↑ 354°,422.0,486.0,"15,125",900,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:37:35 AM,32.31478699327185,34.0447676572623,↑ 354°,424.0,488.0,"15,600",877,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:38:06 AM,32.34417031170701,34.05643100779759,↑ 354°,426.0,490.0,"16,075",795,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:38:36 AM,32.37438534575258,34.06729643188853,↑ 354°,430.0,495.0,"16,475",836,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:39:06 AM,32.40550147202252,34.07749470231135,↑ 354°,432.0,497.0,"16,925",975,FlightAware MLAT (9 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:39:41 AM,32.43738882183796,34.086983521219615,↑ 354°,434.0,499.0,"17,450",944,FlightAware MLAT (8 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:40:12 AM,32.470157786591216,34.095808671151175,↑ 354°,436.0,502.0,"17,900",798,FlightAware MLAT (4 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:40:42 AM,32.503692426590355,34.10401586743626,↑ 354°,438.0,504.0,"18,275",750,FlightAware MLAT (9 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:41:12 AM,32.53810254987969,34.11162009220469,↑ 354°,442.0,509.0,"18,675",786,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:41:44 AM,32.57327114118263,34.11863475384932,↑ 354°,444.0,511.0,"19,100",774,FlightAware MLAT (10 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:42:14 AM,32.60921266768459,34.125156522307066,↑ 354°,446.0,513.0,"19,475",762,FlightAware MLAT (6 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:42:46 AM,32.64609600543527,34.13107785331536,↑ 354°,450.0,518.0,"19,925",785,FlightAware MLAT (6 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:43:17 AM,32.68371320434401,34.13657077455225,↑ 354°,452.0,520.0,"20,325",762,FlightAware MLAT (5 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:43:48 AM,32.72209329121244,34.14148822250652,↑ 354°,454.0,522.0,"20,725",714,FlightAware MLAT (8 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:44:22 AM,32.76118423176516,34.14601518741566,↑ 354°,456.0,525.0,"21,075",844,FlightAware MLAT (9 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:44:53 AM,32.80104892770393,34.150185477616155,↑ 354°,458.0,527.0,"21,625",795,FlightAware MLAT (9 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:45:25 AM,32.84167163879229,34.15395522374898,↑ 354°,462.0,532.0,"21,950",577,FlightAware MLAT (6 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:45:56 AM,32.88330678263469,34.157114586010685,↑ 354°,464.0,534.0,"22,250",605,FlightAware MLAT (9 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:46:29 AM,32.925493750276246,34.15987178346191,↑ 354°,466.0,536.0,"22,575",625,FlightAware MLAT (6 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:47:02 AM,32.96823543675847,34.16231162362257,↑ 354°,468.0,539.0,"22,875",615,FlightAware MLAT (14 sites)
TLV - LAX,El Al,LY5,B789,19/07/2023,Wed 01:47:34 AM,33.01163213716442,34.16438494059851,↑ 354°,468.0,539.0,"23,200",467,FlightAware MLAT (9 sites)
