Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:03:04 PM,32.0132,34.8626,← 260°,165,190,850, ,FlightAware ADS-B (AKT / LCRA)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:03:20 PM,32.011,34.8501,← 258°,163,188,"1,375","1,875",FlightAware ADS-B (PFO / LCPH)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:03:36 PM,32.008,34.8355,← 256°,169,194,"1,850","1,734",FlightAware ADS-B (LLHS)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:03:52 PM,32.0049,34.8213,← 256°,176,203,"2,300","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:04:08 PM,32.0018,34.8062,← 256°,173,199,"2,925","2,022",FlightAware ADS-B (LCA / LCLK)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:04:38 PM,31.9963,34.7799,← 256°,176,203,"3,850","1,224",FlightAware ADS-B (TLV / LLBG)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:04:57 PM,31.9922,34.7595,← 259°,213,245,"3,925",643,FlightAware ADS-B (TLV / LLBG)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:05:27 PM,31.999,34.7243,← 291°,254,292,"4,375","1,450",FlightAware ADS-B (BEV / LLBS)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:05:57 PM,32.0127,34.6808,← 290°,268,308,"5,375","2,152",FlightAware ADS-B (SDV / LLSD)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:06:13 PM,32.0196,34.6584,← 290°,271,312,"6,025","2,400",FlightAware ADS-B (LLHZ)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:06:32 PM,32.0307,34.6352,← 311°,279,321,"6,775","2,025",FlightAware ADS-B (AKT / LCRA)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:08:13 PM,32.1618,34.5902,↑ 346°,304,350,"10,075","1,798",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:08:43 PM,32.2028,34.5755,↑ 345°,310,357,"10,700",800,FlightAware MLAT (6 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:09:13 PM,32.247,34.5599,↑ 346°,338,389,"10,875",925,FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:09:43 PM,32.2968,34.5466,↑ 346°,356,410,"11,625","1,313",FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:10:17 PM,32.3519,34.5331,↑ 347°,362,417,"12,275","1,408",FlightAware MLAT (6 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:10:48 PM,32.4023,34.5197,↑ 347°,368,423,"13,150","1,569",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:11:22 PM,32.4605,34.5055,↑ 347°,370,426,"13,975","1,453",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:11:52 PM,32.511,34.4901,↑ 346°,372,428,"14,700","1,475",FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:12:22 PM,32.5614,34.4736,↑ 346°,376,433,"15,450","1,525",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:12:52 PM,32.6125,34.4605,↑ 346°,380,437,"16,225","1,400",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:13:22 PM,32.6655,34.441,↑ 346°,384,442,"16,850","1,282",FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:13:54 PM,32.721,34.4243,↑ 346°,388,447,"17,550","1,282",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:14:24 PM,32.773,34.4069,↑ 346°,390,449,"18,175","1,318",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:15:00 PM,32.8368,34.3879,↑ 345°,392,451,"19,000","1,321",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:15:31 PM,32.8912,34.3714,↑ 346°,396,456,"19,650","1,279",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:16:01 PM,32.9461,34.3543,↑ 345°,400,460,"20,300","1,250",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:16:31 PM,32.9983,34.3376,↑ 346°,402,463,"20,900","1,185",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:17:03 PM,33.0576,34.3199,↑ 346°,404,465,"21,525","1,185",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:17:33 PM,33.1126,34.3032,↑ 346°,406,467,"22,125","1,161",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:18:05 PM,33.1711,34.2852,↑ 346°,406,467,"22,725","1,078",FlightAware MLAT (6 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:18:37 PM,33.23,34.2672,↑ 346°,412,474,"23,275",833,FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:19:08 PM,33.2879,34.2499,↑ 346°,416,479,"23,600",702,FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:19:39 PM,33.3454,34.2303,↑ 346°,420,483,"24,000",381,FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:20:11 PM,33.4064,34.2129,↑ 346°,420,483,"24,000", ,FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:20:41 PM,33.4629,34.1963,↑ 346°,418,481,"24,000", ,FlightAware MLAT (10 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:21:11 PM,33.5176,34.1782,↑ 346°,418,481,"24,000", ,FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:21:30 PM,33.5528,34.1672,↑ 346°,418,481,"24,000", ,FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:22:01 PM,33.614,34.1509,↑ 346°,418,481,"24,000", ,FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:22:34 PM,33.675,34.1303,↑ 346°,420,483,"24,000", ,FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:23:06 PM,33.7344,34.1131,↑ 346°,420,483,"24,000",-57,FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:23:27 PM,33.7751,34.1003,↑ 346°,420,483,"23,950","-1,083",FlightAware MLAT (11 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:24:00 PM,33.8372,34.0795,↑ 344°,416,479,"23,025","-1,881",FlightAware MLAT (6 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:24:30 PM,33.8892,34.0563,↑ 342°,406,467,"21,975","-1,918",FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:25:01 PM,33.9442,34.0345,↑ 341°,402,463,"21,075","-1,918",FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:25:31 PM,33.9973,34.014,↑ 341°,394,453,"20,025","-2,039",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:26:05 PM,34.0528,33.9915,↑ 341°,384,442,"18,900","-1,853",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:26:39 PM,34.1088,33.9688,↑ 341°,382,440,"17,925","-1,875",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:27:09 PM,34.1605,33.9461,↑ 341°,380,437,"16,900","-1,650",FlightAware MLAT (13 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:27:39 PM,34.2117,33.9239,↑ 341°,376,433,"16,275","-1,650",FlightAware MLAT (6 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:28:09 PM,34.2616,33.9023,↑ 341°,368,423,"15,250","-1,943",FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:28:40 PM,34.3044,33.8845,↑ 341°,328,377,"14,300","-1,137",FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:29:11 PM,34.3491,33.8649,↑ 341°,326,375,"14,075","-1,405",FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:29:43 PM,34.3948,33.8449,↑ 341°,324,373,"12,825","-2,476",FlightAware MLAT (11 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:30:14 PM,34.4372,33.827,↑ 341°,316,364,"11,475","-2,063",FlightAware MLAT (10 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:30:47 PM,34.4813,33.8086,↑ 341°,310,357,"10,625","-1,472",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:31:08 PM,34.5102,33.7951,↑ 341°,308,354,"10,150","-1,423",FlightAware MLAT (10 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:31:26 PM,34.535,33.7844,↑ 341°,308,354,"9,700","-2,338",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:31:42 PM,34.5567,33.775,↑ 341°,304,350,"8,825","-1,691",FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:32:13 PM,34.5968,33.7583,↖ 338°,294,338,"8,375",-862,FlightAware MLAT (10 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:32:29 PM,34.6165,33.7488,↖ 338°,294,338,"8,150",-818,FlightAware MLAT (5 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:32:46 PM,34.6362,33.7365,↖ 338°,276,318,"7,925","-1,273",FlightAware MLAT (4 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:33:02 PM,34.6551,33.727,↑ 342°,274,315,"7,450",-891,FlightAware MLAT (7 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:33:18 PM,34.6736,33.7206,↑ 343°,274,315,"7,450",-422,FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:33:34 PM,34.6911,33.714,↑ 343°,250,288,"7,225",-652,FlightAware MLAT (9 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:34:04 PM,34.723,33.7047,↑ 11°,224,258,"6,950",-375,FlightAware MLAT (8 sites)
TLV - LCA,Arkia,IZ161,E190,20/07/2023,Thu 06:34:22 PM,34.743,33.7069,↗ 26°,224,258,"6,925",-971,FlightAware MLAT (10 sites)
