Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:39:25 PM,32.0118,34.8548,← 258°,167,192,775, ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:39:41 PM,32.0091,34.841,← 256°,167,192,"1,300","1,922",FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:39:57 PM,32.0063,34.828,← 256°,170,196,"1,800","1,828",FlightAware ADS-B (LLHS)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:40:13 PM,32.0033,34.8132,← 257°,171,197,"2,275","1,547",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:40:29 PM,32.0003,34.7992,← 257°,173,199,"2,625","1,342",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:40:51 PM,31.996,34.7781,← 256°,176,203,"3,125","1,286",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:41:11 PM,31.9921,34.7589,← 259°,184,212,"3,525",878,FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:41:32 PM,31.9946,34.7381,← 290°,200,230,"3,725",638,FlightAware ADS-B (LLEK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:41:51 PM,32.0007,34.718,← 290°,219,252,"3,950",918,FlightAware ADS-B (BEV / LLBS)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:42:21 PM,32.0127,34.6805,← 291°,257,296,"4,475","1,726",FlightAware ADS-B (SDV / LLSD)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:42:44 PM,32.0223,34.6499,← 289°,267,307,"5,475","2,308",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:43:00 PM,32.0272,34.6256,← 278°,285,328,"5,975","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:43:25 PM,32.0293,34.5876,← 273°,313,360,"6,500","2,018",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:43:55 PM,32.0322,34.5311,← 274°,328,377,"7,825","2,707",FlightAware ADS-B (BEY / OLBA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:44:11 PM,32.0336,34.5039,← 274°,331,381,"8,575","2,804",FlightAware ADS-B (BEV / LLBS)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:44:41 PM,32.0364,34.4486,← 274°,337,388,"9,975","2,332",FlightAware ADS-B (BEY / OLBA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:46:19 PM,32.0499,34.2678,← 274°,355,409,"13,550","2,368",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:46:42 PM,32.0548,34.2097,← 287°,368,423,"14,750","2,935",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:47:05 PM,32.0687,34.1695,← 300°,376,433,"15,800","2,308",FlightAware MLAT (8 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:47:21 PM,32.0819,34.1391,← 300°,376,433,"16,250","2,026",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:48:02 PM,32.1262,34.0759,← 301°,388,447,"17,725","2,197",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:48:32 PM,32.1553,34.0213,← 301°,394,453,"18,850","2,550",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:49:02 PM,32.184,33.9669,← 304°,396,456,"20,275","2,344",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:49:36 PM,32.2183,33.9045,← 305°,404,465,"21,350","1,757",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:50:12 PM,32.2607,33.8405,← 306°,408,470,"22,325","1,368",FlightAware MLAT (6 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:50:44 PM,32.2956,33.7814,← 305°,412,474,"22,900","1,476",FlightAware MLAT (10 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:51:14 PM,32.3294,33.7259,← 305°,420,483,"23,850","2,336",FlightAware MLAT (7 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:51:45 PM,32.3654,33.666,← 305°,426,490,"25,275","2,202",FlightAware MLAT (8 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:52:16 PM,32.4006,33.6074,← 305°,434,499,"26,125","1,549",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:52:46 PM,32.4353,33.5492,← 305°,439,505,"26,850","1,450",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:53:16 PM,32.4709,33.4901,← 305°,442,509,"27,575","1,477",FlightAware ADS-B (TLV / LLBG)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:53:51 PM,32.5119,33.4209,← 305°,448,516,"28,450","1,525",FlightAware ADS-B (HFA / LLHA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:54:15 PM,32.5411,33.3715,← 305°,446,513,"29,075","1,378",FlightAware ADS-B (AKT / LCRA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:54:40 PM,32.5692,33.3233,← 301°,447,514,"29,575","1,167",FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:55:18 PM,32.6039,33.2359,← 294°,450,518,"30,300","1,079",FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:55:37 PM,32.6187,33.1975,← 297°,450,518,"30,600","1,125",FlightAware ADS-B (HFA / LLHA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:56:14 PM,32.6519,33.1084,← 294°,457,526,"31,350","1,147",FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:56:45 PM,32.6796,33.0372,← 296°,460,529,"31,900","1,057",FlightAware ADS-B (NIC / LCNC)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:57:15 PM,32.711,32.9715,← 302°,470,541,"32,425","1,000",FlightAware ADS-B (LLHZ)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:57:45 PM,32.7495,32.9067,← 307°,477,549,"32,900","1,391",FlightAware ADS-B (NIC / LCNC)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:58:24 PM,32.7976,32.8307,← 307°,470,541,"34,025","1,307",FlightAware ADS-B (AKT / LCRA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:58:55 PM,32.8421,32.7613,← 307°,473,544,"34,425",824,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:59:15 PM,32.8693,32.7197,← 306°,474,545,"34,725",951,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 05:59:36 PM,32.8954,32.6793,← 309°,480,552,"35,075",894,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:00:07 PM,32.9374,32.6145,← 307°,479,551,"35,500",910,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:00:37 PM,32.9773,32.5528,← 307°,478,550,"36,000","1,180",FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:01:08 PM,33.0176,32.4898,← 307°,474,545,"36,700","1,402",FlightAware ADS-B (AKT / LCRA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:01:38 PM,33.0585,32.426,← 307°,467,537,"37,425","1,275",FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:02:08 PM,33.0988,32.3656,← 312°,468,539,"37,975",676,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:02:29 PM,33.1298,32.3279,↖ 317°,471,542,"38,000",34,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:02:52 PM,33.1713,32.2867,↖ 323°,472,543,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:03:30 PM,33.2364,32.2335,↖ 326°,474,545,"38,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:04:03 PM,33.2994,32.1827,↖ 326°,475,547,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:04:33 PM,33.3536,32.1388,↖ 326°,475,547,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:05:03 PM,33.4083,32.0945,↖ 326°,475,547,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:05:33 PM,33.4636,32.0495,↖ 326°,474,545,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:06:04 PM,33.519,32.0045,↖ 326°,476,548,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:06:40 PM,33.5827,31.9525,↖ 325°,474,545,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:07:58 PM,33.7223,31.8352,↖ 325°,472,543,"38,000", ,FlightAware MLAT (10 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:08:28 PM,33.775,31.7881,↖ 325°,472,543,"38,000", ,FlightAware MLAT (8 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:09:01 PM,33.8353,31.7385,↖ 325°,472,543,"38,000", ,FlightAware MLAT (7 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:09:31 PM,33.8884,31.6916,↖ 325°,472,543,"38,000", ,FlightAware MLAT (10 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:10:02 PM,33.943,31.6464,↖ 325°,472,543,"38,000", ,FlightAware MLAT (13 sites)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:11:01 PM,34.0475,31.5599,↖ 325°,472,543,"38,000", ,FlightAware ADS-B (ADA / LTAF)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:11:31 PM,34.1052,31.5109,↖ 325°,471,542,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:12:01 PM,34.1573,31.4666,↖ 325°,470,541,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:12:31 PM,34.2113,31.4203,↖ 325°,469,540,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:13:01 PM,34.2647,31.3747,↖ 325°,468,539,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:13:31 PM,34.3176,31.3294,↖ 325°,468,539,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:14:01 PM,34.3705,31.2839,↖ 325°,469,540,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:14:31 PM,34.4235,31.2384,↖ 325°,470,541,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:15:02 PM,34.4789,31.1906,↖ 325°,470,541,"38,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:15:32 PM,34.5317,31.1452,↖ 325°,471,542,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:16:02 PM,34.5846,31.0996,↖ 325°,472,543,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:16:32 PM,34.6388,31.0527,↖ 324°,471,542,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:17:02 PM,34.691,31.0075,↖ 324°,471,542,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:17:32 PM,34.7452,30.9606,↖ 324°,472,543,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:18:03 PM,34.7983,30.9144,↖ 324°,472,543,"38,000", ,FlightAware ADS-B (ECN / LCEN)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:18:33 PM,34.8518,30.8679,↖ 324°,472,543,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - LHR,El Al ,LY317,B788,22/06/2023,Sun 06:19:04 PM,34.9051,30.8214,↖ 324°,472,543,"38,000", ,FlightAware ADS-B (AKT / LCRA)
