Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:20:38 PM,32.0108,34.8484,← 260°,190,219,875, ,FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:20:54 PM,32.0076,34.8321,← 255°,192,221,"1,625","2,625",FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:21:10 PM,32.0039,34.8165,← 255°,191,220,"2,275","2,297",FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:21:26 PM,32.0006,34.7996,← 257°,193,222,"2,850","2,092",FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:21:48 PM,31.9961,34.7778,← 256°,192,221,"3,600","1,613",FlightAware ADS-B (LLEK)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:22:06 PM,31.9929,34.7572,← 266°,214,246,"3,925","1,066",FlightAware ADS-B (BEV / LLBS)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:22:26 PM,31.9962,34.7327,← 288°,237,273,"4,275","1,231",FlightAware ADS-B (LLHZ)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:22:45 PM,32.0035,34.711,← 291°,254,292,"4,725","1,837",FlightAware ADS-B (LLEK)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:23:15 PM,32.0164,34.6697,← 290°,268,308,"5,775","1,735",FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:23:36 PM,32.025,34.6377,← 283°,291,335,"6,200","1,115",FlightAware ADS-B (LLHZ)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:23:54 PM,32.0279,34.6102,← 274°,308,354,"6,500","1,594",FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:24:24 PM,32.0306,34.5587,← 274°,321,369,"7,475","1,625",FlightAware ADS-B (BEV / LLBS)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:24:54 PM,32.0334,34.506,← 274°,324,373,"8,125",650,FlightAware ADS-B (TLV / LLBG)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:25:24 PM,32.0361,34.4524,← 274°,321,369,"8,125",78,FlightAware ADS-B (LCA / LCLK)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:25:52 PM,32.0391,34.4036,← 276°,319,367,"8,200","1,262",FlightAware ADS-B (BEY / OLBA)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:26:27 PM,32.0532,34.3443,← 287°,449,517,"9,450","1,968",FlightAware ADS-B (AKT / LCRA)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:27:09 PM,32.0758,34.2763,← 291°,337,388,"10,725","1,866",FlightAware ADS-B (PFO / LCPH)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:28:30 PM,32.1243,34.1301,← 291°,354,407,"13,275","1,622",FlightAware MLAT (6 sites)
TLV - LIS,TAP Air Portugal,TAP8920,B739,28/06/2023,Wed 06:28:47 PM,32.1351,34.1006,← 291°,354,407,"13,375","1,691",FlightAware MLAT (7 sites)
