Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:53:03 AM,32.0104,34.8457,← 257°,177,204,"1,125", ,FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:53:19 AM,32.0075,34.8314,← 256°,176,203,"1,775","2,484",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:53:35 AM,32.0042,34.8165,← 256°,172,198,"2,450","2,578",FlightAware ADS-B (SDV / LLSD)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:53:51 AM,32.0013,34.8021,← 257°,170,196,"3,150","2,085",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:54:16 AM,31.9961,34.7781,← 255°,185,213,"3,875","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:54:36 AM,31.9921,34.7569,← 263°,209,241,"4,275","1,135",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:54:53 AM,31.9948,34.7383,← 290°,226,260,"4,575","1,149",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:55:23 AM,32.007,34.7004,← 290°,264,304,"5,175","1,950",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:55:53 AM,32.0196,34.6578,← 288°,272,313,"6,525","2,750",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:56:17 AM,32.0275,34.624,← 284°,274,315,"7,650","2,361",FlightAware ADS-B (TLV / LLBG)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:57:34 AM,32.0527,34.5088,← 285°,292,336,"10,500","1,740",FlightAware MLAT (4 sites)
TLV - MAD,Iberia Express,IBS3983,A21N,29/06/2023,Thu 05:58:22 AM,32.0715,34.4345,← 285°,344,396,"11,275","1,275",FlightAware MLAT (4 sites)
