Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:27:00 AM    Left Gate (TLV) @ Tuesday 12:27:00 AM IDT,32.0124,32.03633723854377,Airline,199.0,229.0,600, ,FlightAware ADS-B (TLV / LLBG)
TLV - MIA,El Al,LY18,B789,18/07/2023,Taxi Time: 15 minutes,32.01238127468364,32.07493633447971,FlightAware ADS-B (TLV / LLBG),205.0,236.0,"1,150","2,391",FlightAware ADS-B (LLHS)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:42:36 AM    Departure (TLV) @ Tuesday 12:42:36 AM IDT,32.01232604361171,32.12242110753699,← 261°,207.0,238.0,"1,875","2,391",FlightAware ADS-B (AKT / LCRA)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:42:36 AM,32.01222623299117,32.17512667154568,← 259°,205.0,236.0,"2,425","1,884",FlightAware ADS-B (TLV / LLBG)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:42:52 AM,32.01206595659456,32.23061305892323,← 255°,209.0,241.0,"3,225","1,670",FlightAware ADS-B (TLV / LLBG)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:43:08 AM,32.01184924728188,32.287322281228505,← 256°,215.0,247.0,"3,650","1,147",FlightAware ADS-B (BEV / LLBS)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:43:24 AM,32.011602874462156,32.344230727501206,← 255°,228.0,262.0,"3,875",767,FlightAware ADS-B (TLV / LLBG)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:43:51 AM,32.01137725588006,32.4006024044091,← 268°,261.0,300.0,"4,225","1,034",FlightAware ADS-B (TLV / LLBG)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:44:08 AM,32.011213735927235,32.455929865190434,← 288°,284.0,327.0,"4,875","1,041",FlightAware ADS-B (SDV / LLSD)
TLV - MIA,El Al,LY18,B789,18/07/2023,Tue 12:44:25 AM,32.01112036790818,32.50992700152231,← 290°,299.0,344.0,"5,075","1,031",FlightAware ADS-B (SDV / LLSD)
