Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:50:07 AM,32.012,34.856,← 258°,163,188,850, ,FlightAware ADS-B (TLV / LLBG)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:50:23 AM,32.0093,34.8422,← 256°,160,184,"1,525","2,531",FlightAware ADS-B (TLV / LLBG)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:50:39 AM,32.0063,34.8281,← 256°,160,184,"2,200","2,484",FlightAware ADS-B (TLV / LLBG)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:50:55 AM,32.0034,34.8139,← 256°,163,188,"2,850","2,344",FlightAware ADS-B (LLHZ)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:51:11 AM,32.0004,34.7997,← 256°,170,196,"3,450","1,902",FlightAware ADS-B (AKT / LCRA)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:51:36 AM,31.9956,34.776,← 256°,195,224,"4,150","1,535",FlightAware ADS-B (BEY / OLBA)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:51:54 AM,31.9922,34.7573,← 263°,217,250,"4,550","1,586",FlightAware ADS-B (TLV / LLBG)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:52:11 AM,31.9956,34.735,← 290°,238,274,"5,075","1,883",FlightAware ADS-B (BEY / OLBA)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:52:41 AM,32.0078,34.6965,← 288°,269,310,"6,025","1,397",FlightAware ADS-B (LLHZ)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:54:07 AM,32.0385,34.5734,← 285°,278,320,"7,775","1,096",FlightAware MLAT (7 sites)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:54:25 AM,32.0406,34.55,← 285°,278,320,"7,925",540,FlightAware MLAT (6 sites)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:54:57 AM,32.0531,34.5013,← 285°,278,320,"8,225","1,375",FlightAware MLAT (4 sites)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:55:13 AM,32.0584,34.4777,← 285°,292,336,"9,025","1,455",FlightAware MLAT (7 sites)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:55:30 AM,32.0657,34.4517,← 285°,292,336,"9,025","1,680",FlightAware MLAT (6 sites)
TLV - MLA,Air Malta,AMC827,A320,5/7/2023,Wed 06:56:03 AM,32.0797,34.4005,← 285°,296,341,"10,425","2,672",FlightAware MLAT (4 sites)
