Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:57:52 PM,32.0132,34.8629,← 260°,174,200,550, ,FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:58:08 PM,32.0106,34.8477,← 257°,170,196,"1,300","2,672",FlightAware ADS-B (LCA / LCLK)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:58:24 PM,32.0077,34.8336,← 256°,170,196,"1,975","2,625",FlightAware ADS-B (LCA / LCLK)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:58:40 PM,32.0044,34.8183,← 256°,172,198,"2,700","2,625",FlightAware ADS-B (LCA / LCLK)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:58:56 PM,32.0013,34.8036,← 257°,175,201,"3,375","1,884",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:59:23 PM,31.9961,34.7775,← 257°,203,234,"4,050","1,465",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 06:59:39 PM,31.9928,34.7584,← 263°,225,259,"4,425","1,435",FlightAware ADS-B (BEV / LLBS)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:00:09 PM,32.0014,34.7189,← 291°,267,307,"5,150","2,150",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:00:39 PM,32.0125,34.6761,← 285°,278,320,"6,575","2,850",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:01:09 PM,32.0228,34.6321,← 285°,284,327,"8,000","2,250",FlightAware ADS-B (LLEK)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:02:43 PM,32.0584,34.4898,← 285°,334,384,"11,225","1,778",FlightAware MLAT (5 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:03:13 PM,32.0694,34.4359,← 285°,350,403,"11,675",984,FlightAware MLAT (8 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:03:47 PM,32.0868,34.3677,← 285°,390,449,"12,275","1,242",FlightAware MLAT (4 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:04:17 PM,32.1001,34.2978,← 285°,407,468,"13,000","1,821",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:05:39 PM,32.1396,34.1214,← 285°,412,474,"15,675","2,116",FlightAware MLAT (5 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:06:09 PM,32.1555,34.0557,← 285°,417,480,"16,950","1,706",FlightAware ADS-B (TLV / LLBG)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:07:43 PM,32.2456,33.8687,← 305°,432,497,"19,200","1,427",FlightAware MLAT (9 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:08:13 PM,32.2798,33.81,← 305°,434,499,"19,900","1,524",FlightAware MLAT (7 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:08:45 PM,32.317,33.7485,← 305°,438,504,"20,775","1,246",FlightAware MLAT (7 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:09:18 PM,32.3556,33.6827,← 305°,444,511,"21,250",854,FlightAware MLAT (8 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:09:50 PM,32.3936,33.619,← 305°,448,516,"21,700","1,286",FlightAware MLAT (6 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:10:21 PM,32.4312,33.5565,← 305°,450,518,"22,600","1,477",FlightAware MLAT (6 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:10:55 PM,32.4725,33.4882,← 305°,452,520,"23,300","1,235",FlightAware MLAT (4 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:11:28 PM,32.5121,33.4232,← 305°,442,509,"24,250", ,FlightAware MLAT (4 sites)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:12:00 PM,32.5501,33.3569,← 305°,459,528,"24,650", ,FlightAware ADS-B (SDV / LLSD)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:12:30 PM,32.5875,33.2941,← 305°,463,533,"25,025",762,FlightAware ADS-B (LCA / LCLK)
TLV - MUC,Lufthansa,DLH681,A21N,30/06/2023,Fri 07:13:01 PM,32.626,33.2293,← 305°,465,535,"25,600",934,FlightAware ADS-B (AKT / LCRA)
