Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:42:39 PM,32.0127,34.8595,← 260°,163,188,950, ,FlightAware ADS-B (LLHZ)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:42:58 PM,32.01,34.8425,← 259°,237,273,"1,600","1,843",FlightAware ADS-B (LLHZ)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:43:14 PM,32.0071,34.8268,← 257°,193,222,"2,025","1,547",FlightAware ADS-B (TLV / LLBG)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:43:30 PM,32.0035,34.8096,← 256°,213,245,"2,425","1,600",FlightAware ADS-B (TLV / LLBG)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:43:59 PM,31.9956,34.7741,← 256°,245,282,"3,225","1,663",FlightAware ADS-B (TLV / LLBG)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:44:16 PM,31.9921,34.7508,← 269°,263,303,"3,700","2,232",FlightAware ADS-B (LCA / LCLK)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:44:40 PM,32.0013,34.7175,← 269°,263,303,"4,750","2,007",FlightAware ADS-B (TLV / LLBG)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:46:32 PM,32.0239,34.4797,← 268°,556,640,"8,250","1,542",FlightAware MLAT (5 sites)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:47:02 PM,32.0336,34.484,← 274°,372,428,"8,400","2,119",FlightAware MLAT (7 sites)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:47:35 PM,32.0374,34.4177,← 274°,350,403,"10,475","3,627",FlightAware MLAT (4 sites)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:48:09 PM,32.0427,34.3488,← 274°,334,384,"12,450","2,804",FlightAware MLAT (4 sites)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:48:44 PM,32.0473,34.2859,← 274°,342,394,"13,700","2,150",FlightAware MLAT (4 sites)
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:50:59 PM,32.2053,34.0779,← 312°,,,, ,Estimated
TLV - MXP,EasyJet,EZY3936,A320,18/07/2023,Tue 09:51:02 PM,32.1356,34.053,← 301°,362,417,"18,650", ,FlightAware MLAT (4 sites)
