Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:10:41 PM,32.0142,34.8697,← 260°,169,194,300, ,FlightAware ADS-B (TLV / LLBG)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:10:57 PM,32.0121,34.8558,← 260°,163,188,900,"2,344",FlightAware ADS-B (TLV / LLBG)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:11:13 PM,32.0097,34.8427,← 257°,163,188,"1,550","2,250",FlightAware ADS-B (LLEK)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:11:29 PM,32.0069,34.8289,← 256°,167,192,"2,100","2,016",FlightAware ADS-B (PFO / LCPH)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:11:45 PM,32.0038,34.8147,← 256°,172,198,"2,625","1,828",FlightAware ADS-B (LLEK)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:12:01 PM,32.0003,34.7987,← 256°,178,205,"3,075","1,538",FlightAware ADS-B (AKT / LCRA)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:12:24 PM,31.9958,34.7769,← 257°,196,226,"3,625","1,280",FlightAware ADS-B (PFO / LCPH)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:12:42 PM,31.992,34.7565,← 262°,220,253,"3,950","1,014",FlightAware ADS-B (SDV / LLSD)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:13:01 PM,31.9956,34.7327,← 290°,244,281,"4,250","1,176",FlightAware ADS-B (LLHZ)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:13:19 PM,32.0029,34.7107,← 292°,264,304,"4,675","1,781",FlightAware ADS-B (LLHS)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:13:49 PM,32.0173,34.6674,← 291°,277,319,"5,675","1,950",FlightAware ADS-B (TLV / LLBG)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:14:09 PM,32.0255,34.6409,← 287°,277,319,"6,300","2,321",FlightAware ADS-B (LLHS)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:15:13 PM,32.0453,34.5468,← 285°,282,325,"8,925","2,173",FlightAware MLAT (5 sites)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:15:47 PM,32.0562,34.4953,← 285°,292,336,"9,850","1,617",FlightAware MLAT (4 sites)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:16:17 PM,32.0682,34.4491,← 285°,310,357,"10,650","1,205",FlightAware MLAT (7 sites)
TLV - NAP,Wizz Air,WMT8430,A21N,21/07/2023,Fri 12:16:48 PM,32.0805,34.3968,← 285°,338,389,"11,075","1,024",FlightAware MLAT (9 sites)
