Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:32:26 PM,32.0081,34.8382,← 258°,185,213,"1,375", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:32:42 PM,32.0052,34.8239,← 255°,188,216,"2,025","2,545",FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:32:59 PM,32.0016,34.8064,← 257°,182,209,"2,775","2,167",FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:33:27 PM,31.9962,34.7791,← 257°,189,217,"3,650","1,563",FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:33:47 PM,31.993,34.7568,← 268°,211,243,"4,025","1,066",FlightAware ADS-B (LLHZ)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:34:05 PM,31.9958,34.7355,← 286°,232,267,"4,325","1,134",FlightAware ADS-B (BEV / LLBS)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:34:28 PM,32.005,34.7063,← 290°,261,300,"4,800","1,896",FlightAware ADS-B (LLEK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:34:58 PM,32.0175,34.6656,← 290°,271,312,"6,000","1,864",FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:35:34 PM,32.0307,34.6111,← 285°,306,352,"6,850","1,912",FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:38:29 PM,32.1011,34.3003,← 285°,368,423,"12,725", ,FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:39:14 PM,32.1192,34.2116,← 285°,370,426,"13,550","2,033",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:39:45 PM,32.135,34.1515,← 299°,440,506,"15,300","2,181",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:41:24 PM,32.1793,33.9486,← 296°,388,447,"18,275","1,688",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:41:45 PM,32.2021,33.914,← 296°,390,449,"18,675","1,500",FlightAware MLAT (6 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:42:16 PM,32.227,33.8527,← 296°,396,456,"19,575","1,456",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:42:53 PM,32.2569,33.7834,← 296°,400,460,"20,325","1,593",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:43:37 PM,32.2927,33.694,← 296°,406,467,"21,725","1,845",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:44:07 PM,32.3139,33.6342,← 296°,410,472,"22,600","1,337",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:44:23 PM,32.3296,33.6013,← 296°,412,474,"22,750","1,375",FlightAware MLAT (6 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:44:55 PM,32.3564,33.5363,← 296°,418,481,"23,700","1,546",FlightAware MLAT (7 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:45:28 PM,32.3839,33.4674,← 296°,422,486,"24,425","1,257",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:46:03 PM,32.4149,33.3927,← 296°,424,488,"25,125","1,136",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:46:34 PM,32.4409,33.3297,← 296°,428,493,"25,675",891,FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:47:07 PM,32.4707,33.2592,← 296°,432,497,"26,075","1,000",FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:47:37 PM,32.4967,33.1944,← 296°,434,499,"26,725","1,095",FlightAware MLAT (8 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:48:10 PM,32.5257,33.1231,← 296°,436,502,"27,225",909,FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:48:41 PM,32.5509,33.0545,← 296°,404,465,, ,FlightAware MLAT (8 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:49:14 PM,32.5782,32.9831,← 296°,438,504,"28,875", ,FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:49:46 PM,32.6088,32.9148,← 296°,438,504,"29,125",857,FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:50:17 PM,32.6374,32.848,← 296°,442,509,"29,775","1,048",FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:50:49 PM,32.6654,32.7774,← 296°,442,509,"30,225","1,095",FlightAware MLAT (7 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:51:20 PM,32.6922,32.7097,← 296°,440,506,"30,925","1,137",FlightAware MLAT (9 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:51:51 PM,32.7195,32.6428,← 296°,440,506,"31,400",952,FlightAware MLAT (7 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:52:23 PM,32.7469,32.5728,← 296°,438,504,"31,925",992,FlightAware MLAT (5 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:52:53 PM,32.7722,32.5065,← 296°,438,504,"32,425",986,FlightAware MLAT (4 sites)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:53:33 PM,32.8073,32.4201,← 296°,436,502,"33,075","1,006",FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:54:18 PM,32.8554,32.33,← 304°,432,497,"33,850",740,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:54:48 PM,32.8887,32.2723,← 304°,432,497,"34,000",148,FlightAware ADS-B (TLV / LLBG)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:55:19 PM,32.9246,32.2102,← 304°,432,497,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:56:07 PM,32.9788,32.1158,← 304°,432,497,"34,000", ,FlightAware ADS-B (BEY / OLBA)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:56:37 PM,33.0134,32.0559,← 304°,432,497,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:57:07 PM,33.0474,31.9969,← 304°,432,497,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:57:38 PM,33.0817,31.9372,← 304°,432,497,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:58:08 PM,33.1159,31.8774,← 304°,432,497,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:58:38 PM,33.1496,31.8181,← 304°,432,497,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:59:09 PM,33.1828,31.76,← 304°,432,497,"34,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 06:59:39 PM,33.2169,31.7005,← 304°,433,498,"34,000", ,FlightAware ADS-B (NIC / LCNC)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:00:09 PM,33.2518,31.6394,← 304°,434,499,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:00:39 PM,33.285,31.5809,← 304°,435,501,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:01:09 PM,33.3196,31.5195,← 304°,435,501,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:01:40 PM,33.354,31.459,← 304°,436,502,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:02:10 PM,33.3879,31.399,← 304°,436,502,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:02:40 PM,33.4214,31.3398,← 304°,436,502,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:03:10 PM,33.456,31.2785,← 304°,437,503,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:03:40 PM,33.4903,31.2178,← 304°,436,502,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:04:10 PM,33.5229,31.1597,← 304°,436,502,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - NCE,El Al,LY223,B739,17/07/2023,Mon 07:04:40 PM,33.5577,31.0976,← 304°,435,501,"34,000", ,FlightAware ADS-B (LCA / LCLK)
