Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:04:46 PM,32.011,32.034874965537895,← 259°,195.0,224.0,950, ,FlightAware ADS-B (TLV / LLBG)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:05:02 PM,32.01097695345679,32.07337477111529,← 255°,197.0,227.0,"1,600","2,391",FlightAware ADS-B (TLV / LLBG)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:05:18 PM,32.01091460433575,32.120747568195355,← 255°,197.0,227.0,"2,225","1,955",FlightAware ADS-B (TLV / LLBG)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:05:35 PM,32.01080421943449,32.17332554520802,← 255°,202.0,232.0,"2,675","1,829",FlightAware ADS-B (LCA / LCLK)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:05:59 PM,32.010634978191455,32.228687852331994,← 257°,201.0,231.0,"3,475","1,679",FlightAware ADS-B (BEV / LLBS)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:06:17 PM,32.01041453504084,32.28528809889755,← 269°,210.0,242.0,"3,850",958,FlightAware ADS-B (TLV / LLBG)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:06:35 PM,32.01017629266177,32.34208853638171,← 293°,230.0,265.0,"4,050",667,FlightAware ADS-B (BEV / LLBS)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:06:53 PM,32.00995326996972,32.398405683337344,← 290°,250.0,288.0,"4,250",875,FlightAware ADS-B (SDV / LLSD)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:07:11 PM,32.00976947309793,32.45378207234332,← 291°,266.0,306.0,"4,575","1,537",FlightAware ADS-B (LLEK)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:07:34 PM,32.00964970025408,32.50789138456481,← 288°,275.0,316.0,"5,300","1,909",FlightAware ADS-B (BEY / OLBA)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:07:55 PM,32.00959642421741,32.56053931456727,← 277°,274.0,315.0,"5,975","1,885",FlightAware ADS-B (BEY / OLBA)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:08:13 PM,32.00960016758449,32.61162350262678,← 274°,278.0,320.0,"6,525","2,045",FlightAware ADS-B (TLV / LLBG)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:08:39 PM,32.00965776720324,32.661053041935624,← 275°,261.0,300.0,"7,475","1,267",FlightAware ADS-B (AKT / LCRA)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:10:41 PM,32.01002890580012,32.70858526594073,↑ 355°,330.0,380.0,"9,650","1,173",FlightAware MLAT (6 sites)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:11:01 PM,32.01066835578638,32.7544179821777,↑ 355°,340.0,391.0,"10,250","1,321",FlightAware MLAT (5 sites)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:11:23 PM,32.01159745498199,32.79864904632958,↑ 355°,350.0,403.0,"10,575",808,FlightAware MLAT (5 sites)
TLV - NRT,El Al,ELY91,B789,19/07/2023,Wed 09:11:40 PM,32.01282930396233,32.841340081414415,↑ 355°,364.0,419.0,"10,775",706,FlightAware MLAT (4 sites)
