Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:52:45 PM,32.0105,34.8479,← 258°,197,227,"1,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:53:01 PM,32.0071,34.8311,← 256°,198,228,"1,650","2,391",FlightAware ADS-B (LCA / LCLK)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:53:17 PM,32.0036,34.814,← 257°,197,227,"2,275","2,250",FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:53:33 PM,32.0003,34.7973,← 257°,198,228,"2,850","2,083",FlightAware ADS-B (LCA / LCLK)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:53:53 PM,31.9961,34.7766,← 256°,201,231,"3,525","1,654",FlightAware ADS-B (SDV / LLSD)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:54:12 PM,31.9925,34.7563,← 266°,219,252,"3,925","1,184",FlightAware ADS-B (BEV / LLBS)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:54:31 PM,31.9961,34.7324,← 291°,240,276,"4,275","1,105",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:54:50 PM,32.0043,34.7085,← 291°,263,303,"4,625","1,745",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:55:20 PM,32.0173,34.667,← 290°,273,314,"5,700","2,063",FlightAware ADS-B (BEY / OLBA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:55:38 PM,32.0244,34.6416,← 285°,275,316,"6,275","1,800",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:56:00 PM,32.0282,34.6086,← 273°,273,314,"6,900","1,385",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:56:30 PM,32.0303,34.5657,← 274°,278,320,"7,475","1,075",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:57:00 PM,32.0328,34.5188,← 274°,278,320,"7,975","1,009",FlightAware ADS-B (TLV / LLBG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:57:28 PM,32.0352,34.476,← 275°,283,326,"8,450","1,300",FlightAware ADS-B (SDV / LLSD)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:57:45 PM,32.0399,34.4486,← 285°,292,336,"8,950","1,243",FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:59:19 PM,32.0849,34.2913,← 288°,366,421,"10,750","1,188",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 05:59:50 PM,32.1003,34.2324,← 289°,384,442,"11,425","1,573",FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:00:21 PM,32.116,34.1684,← 289°,388,447,"12,375","1,992",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:00:51 PM,32.1366,34.11,← 289°,390,449,"13,450","1,918",FlightAware MLAT (6 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:01:22 PM,32.1543,34.0484,← 289°,396,456,"14,325","1,815",FlightAware MLAT (7 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:01:53 PM,32.1725,33.9845,← 294°,400,460,"15,325","1,815",FlightAware MLAT (8 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:02:24 PM,32.1973,33.9219,← 296°,404,465,"16,200","1,694",FlightAware MLAT (6 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:02:55 PM,32.2234,33.8616,← 296°,408,470,"17,075","1,500",FlightAware MLAT (6 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:03:29 PM,32.2523,33.7931,← 296°,414,476,"17,825","1,805",FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:03:59 PM,32.2769,33.7316,← 296°,418,481,"19,000","1,911",FlightAware MLAT (7 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:04:31 PM,32.3043,33.6651,← 296°,418,481,"19,800","1,638",FlightAware MLAT (8 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:05:04 PM,32.3324,33.5977,← 296°,418,481,"20,775","1,781",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:05:35 PM,32.3584,33.5364,← 296°,414,476,"21,700","1,645",FlightAware MLAT (9 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:06:06 PM,32.3844,33.4699,← 296°,422,486,"22,475","1,254",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:06:36 PM,32.4111,33.4097,← 296°,426,490,"22,975","1,700",FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:07:06 PM,32.4358,33.345,← 296°,430,495,"24,175","1,575",FlightAware MLAT (10 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:07:36 PM,32.4621,33.281,← 296°,430,495,"24,550",885,FlightAware MLAT (8 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:08:07 PM,32.4889,33.2152,← 296°,432,497,"25,075","1,403",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:08:38 PM,32.5155,33.1501,← 296°,434,499,"26,000","1,089",FlightAware MLAT (10 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:09:09 PM,32.5412,33.0835,← 296°,436,502,"26,200","1,016",FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:09:40 PM,32.5706,33.0161,← 296°,442,509,"27,050","1,246",FlightAware MLAT (7 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:10:14 PM,32.5995,32.9416,← 295°,446,513,"27,550",841,FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:10:46 PM,32.6285,32.8707,← 295°,450,518,"27,975",774,FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:11:16 PM,32.6559,32.8026,← 295°,454,522,"28,350",738,FlightAware MLAT (7 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:11:51 PM,32.688,32.7246,← 295°,458,527,"28,775",808,FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:12:21 PM,32.7144,32.6562,← 295°,460,529,"29,225",895,FlightAware MLAT (8 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:12:53 PM,32.7424,32.5822,← 295°,460,529,"29,700",895,FlightAware MLAT (7 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:13:23 PM,32.7699,32.5141,← 295°,460,529,"30,150",885,FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:13:54 PM,32.7975,32.4428,← 295°,460,529,"30,600","1,008",FlightAware MLAT (6 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:14:24 PM,32.826,32.3746,← 303°,458,527,"31,175","1,048",FlightAware MLAT (12 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:14:57 PM,32.8638,32.3058,← 305°,458,527,"31,700",669,FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:15:29 PM,32.9048,32.2409,← 305°,454,522,"31,900",851,FlightAware MLAT (6 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:16:04 PM,32.9473,32.1713,← 304°,456,525,"32,650",978,FlightAware MLAT (5 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:16:38 PM,32.9894,32.102,← 304°,458,527,"33,025",554,FlightAware MLAT (4 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:17:09 PM,33.0257,32.0364,← 304°,460,529,"33,250",566,FlightAware MLAT (11 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:17:39 PM,33.0595,31.9714,← 304°,462,532,"33,600",625,FlightAware MLAT (10 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:18:09 PM,33.0959,31.9078,← 304°,462,532,"33,875",387,FlightAware MLAT (10 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:18:41 PM,33.1357,31.8419,← 304°,456,525,"34,000",121,FlightAware MLAT (10 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:19:11 PM,33.1711,31.78,← 304°,454,522,"34,000", ,FlightAware MLAT (8 sites)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:19:46 PM,33.2125,31.7082,← 304°,453,521,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:20:16 PM,33.2485,31.645,← 304°,452,520,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:20:46 PM,33.2843,31.5818,← 304°,450,518,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:21:16 PM,33.3191,31.5206,← 304°,449,517,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:21:46 PM,33.3532,31.4604,← 304°,448,516,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:22:16 PM,33.388,31.3991,← 304°,447,514,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:22:46 PM,33.422,31.3392,← 304°,447,514,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:23:16 PM,33.4575,31.2761,← 304°,448,516,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:23:46 PM,33.4922,31.2142,← 304°,449,517,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - OPO,El Al,ELY5163,B738,19/07/2023,Wed 06:24:16 PM,33.527,31.1522,← 304°,449,517,"34,000", ,FlightAware ADS-B (GZP / LTFG)
