Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:21:41 AM    Departure (TLV) @ Thursday 01:21:41 AM IDT,32.0113,32.03520021135109,FlightAware ADS-B (TLV / LLBG),191.0,220.0,725, ,FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:21:41 AM,32.01127911407021,32.073742294135066,← 260°,194.0,223.0,"1,350","2,344",FlightAware ADS-B (LLHZ)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:21:57 AM,32.011221574547704,32.12116725209173,← 257°,197.0,227.0,"1,975","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:22:13 AM,32.01111994307388,32.17381045425881,← 256°,202.0,232.0,"2,450","1,538",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:22:29 AM,32.01096163823175,32.22925166967098,← 256°,215.0,247.0,"2,975","1,538",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:22:52 AM,32.01075095151173,32.285931010792616,← 256°,216.0,249.0,"3,475","1,544",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:23:09 AM,32.01051354901317,32.34281415586135,← 267°,223.0,257.0,"3,850","1,000",FlightAware ADS-B (BEV / LLBS)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:23:26 AM,32.01028459228736,32.39921449337198,← 286°,244.0,281.0,"4,075","1,224",FlightAware ADS-B (LLHS)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:23:45 AM,32.010106271990985,32.454621970801206,← 292°,264.0,304.0,"4,850","1,642",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:24:15 AM,32.00999781299771,32.508730794363075,← 291°,275.0,316.0,"5,525","2,058",FlightAware ADS-B (TLV / LLBG)
TLV - ORD,United,UA141,B788,13/07/2023,Thu 01:24:38 AM,32.00995756595548,32.561354853644914,← 287°,276.0,318.0,"6,325","2,378",FlightAware ADS-B (TLV / LLBG)
