Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:26:20 PM,32.0133,34.8637,← 259°,162,186,700, ,FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:26:36 PM,32.0109,34.85,← 258°,160,184,"1,400","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:26:52 PM,32.0083,34.8363,← 256°,157,181,"1,950","1,922",FlightAware ADS-B (AKT / LCRA)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:27:08 PM,32.0055,34.8235,← 256°,156,180,"2,425","1,682",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:27:25 PM,32.0025,34.8096,← 255°,157,181,"2,875","1,591",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:27:41 PM,31.9997,34.7967,← 256°,159,183,"3,300","1,250",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:28:01 PM,31.9956,34.7775,← 256°,179,206,"3,625",900,FlightAware ADS-B (LLEK)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:28:21 PM,31.9915,34.7573,← 258°,201,231,"3,900",689,FlightAware ADS-B (LLEK)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:28:38 PM,31.9929,34.7391,← 286°,226,260,"4,050","1,021",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:29:08 PM,32.0055,34.7003,← 292°,269,310,"4,700","1,844",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:29:26 PM,32.0138,34.6749,← 288°,276,318,"5,525","2,878",FlightAware ADS-B (LLEK)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:29:45 PM,32.0198,34.6492,← 286°,276,318,"6,475","2,066",FlightAware ADS-B (TLV / LLBG)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:32:42 PM,32.0841,34.3444,← 285°,360,414,"12,275","1,991",FlightAware MLAT (4 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:33:22 PM,32.1106,34.2437,← 285°,366,421,"13,675","2,222",FlightAware MLAT (4 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:34:03 PM,32.1224,34.1973,← 285°,374,430,"15,275","2,158",FlightAware MLAT (6 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:34:19 PM,32.1289,34.1661,← 285°,378,435,"15,725","1,875",FlightAware MLAT (5 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:34:55 PM,32.1466,34.0967,← 285°,384,442,"16,900","2,049",FlightAware MLAT (4 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:35:30 PM,32.1624,34.0254,← 285°,386,444,"18,150","1,864",FlightAware MLAT (4 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:36:01 PM,32.1837,33.9638,← 306°,390,449,"18,950","1,440",FlightAware MLAT (5 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:36:20 PM,32.1993,33.9259,← 306°,392,451,"19,350","1,705",FlightAware MLAT (4 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:36:45 PM,32.2339,33.8879,← 305°,398,458,"20,200","1,964",FlightAware MLAT (5 sites)
TLV - OTP,Wizz Air,WZZ3264,A320,18/07/2023,Tue 11:37:15 PM,32.2657,33.8345,← 305°,400,460,"21,150","1,789",FlightAware MLAT (4 sites)
