Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:58:23 PM,32.0134,32.03739530391412,← 260°,177.0,204.0,425, ,FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:58:39 PM,32.01338271509259,32.07610344877859,← 259°,182.0,209.0,925,"2,250",FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:58:55 PM,32.01333360842561,32.1237434676137,← 256°,181.0,208.0,"1,625","2,203",FlightAware ADS-B (LCA / LCLK)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:59:11 PM,32.013246347299216,32.17664446965033,← 256°,181.0,208.0,"2,100","1,875",FlightAware ADS-B (SDV / LLSD)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:59:27 PM,32.01311569693227,32.23241641176626,← 256°,183.0,211.0,"2,625","1,679",FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 02:59:53 PM,32.01293278157319,32.289453864194144,← 256°,188.0,216.0,"3,275","1,433",FlightAware ADS-B (AKT / LCRA)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:00:12 PM,32.01269953581524,32.3467170396202,← 265°,198.0,228.0,"3,700","1,071",FlightAware ADS-B (LLEK)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:00:28 PM,32.01243436847416,32.40352548419661,← 283°,217.0,250.0,"3,900",837,FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:00:55 PM,32.01218103070443,32.45937844520676,← 290°,249.0,287.0,"4,300","1,289",FlightAware ADS-B (SDV / LLSD)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:01:25 PM,32.011978745259604,32.51392645089142,← 290°,268.0,308.0,"5,125","1,800",FlightAware ADS-B (LLHZ)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:01:45 PM,32.01184032863304,32.566986515594074,← 284°,271.0,312.0,"5,800","2,012",FlightAware ADS-B (LLEK)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:02:06 PM,32.011762918735485,32.61844884507966,← 273°,275.0,316.0,"6,500","2,059",FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:02:36 PM,32.011742060379554,32.66821107656876,← 274°,279.0,321.0,"7,550","2,100",FlightAware ADS-B (PFO / LCPH)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:03:01 PM,32.01177226210936,32.71623701537336,← 271°,280.0,322.0,"8,425","2,049",FlightAware ADS-B (SDV / LLSD)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:03:17 PM,32.0118504779791,32.76255361160291,← 286°,283.0,326.0,"8,950","1,941",FlightAware ADS-B (LLHS)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:03:35 PM,32.011995339763516,32.80719192157819,← 309°,288.0,331.0,"9,525","1,941",FlightAware ADS-B (LLEK)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:03:51 PM,32.01222279946436,32.85021376640077,↙ 215°,413.0,475.0,"10,050","1,238",FlightAware ADS-B (LLHZ)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:05:01 PM,32.01270005949644,32.891618972113186,↓ 199°,1078.0,1241.0,"11,300","1,584",FlightAware ADS-B (TLV / LLBG)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:06:32 PM,32.013631750529534,32.93139932909769,↑ 340°,293.0,337.0,"14,300","1,636",FlightAware MLAT (4 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:07:02 PM,32.01502476478416,32.96963282928422,↖ 338°,346.0,398.0,"14,600",615,FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:07:33 PM,32.016899937933786,33.00637561909535,↖ 338°,364.0,419.0,"14,925",689,FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:08:03 PM,32.019273106635765,33.041689803434785,↖ 338°,376.0,433.0,"15,300","1,075",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:08:33 PM,32.02214821487288,33.07563678127476,↘ 148°,679.0,781.0,"16,000","1,307",FlightAware ADS-B (BEY / OLBA)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:09:44 PM,32.025659430077106,33.10823151815183,↑ 355°,410.0,472.0,"17,500",995,FlightAware MLAT (6 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:10:14 PM,32.029812854683286,33.13956461615167,↑ 354°,412.0,474.0,"17,675","1,205",FlightAware MLAT (5 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:10:45 PM,32.03461494762503,33.16970719572138,↑ 355°,418.0,481.0,"18,725","1,574",FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:11:15 PM,32.04006828478262,33.19872435963275,↑ 355°,418.0,481.0,"19,275","1,107",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:11:46 PM,32.046175854162556,33.22667485535615,↑ 355°,428.0,493.0,"19,850","1,254",FlightAware MLAT (4 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:12:16 PM,32.052938607692525,33.25361178235969,↑ 355°,434.0,499.0,"20,550","1,450",FlightAware MLAT (5 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:12:46 PM,32.0603594008616,33.27958587083239,↑ 355°,440.0,506.0,"21,300","1,475",FlightAware MLAT (5 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:13:17 PM,32.06844354876664,33.304641337835946,↑ 355°,446.0,513.0,"22,050","1,475",FlightAware MLAT (10 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:13:47 PM,32.077194037253676,33.32881958036612,↑ 355°,448.0,516.0,"22,800","1,331",FlightAware MLAT (10 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:14:19 PM,32.086620294290434,33.35215955830527,↑ 355°,456.0,525.0,"23,425","1,016",FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:14:49 PM,32.096724372601244,33.37469553152865,↑ 354°,460.0,529.0,"23,850","1,258",FlightAware MLAT (10 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:15:21 PM,32.10751249183201,33.396457438994545,↑ 355°,466.0,536.0,"24,725","1,524",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:15:52 PM,32.11899153984459,33.417477010066385,↑ 354°,472.0,543.0,"25,450","1,355",FlightAware MLAT (12 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:16:23 PM,32.13116543473733,33.43778239862269,↑ 355°,476.0,548.0,"26,125","1,210",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:16:54 PM,32.14403850849721,33.45739959957705,↑ 354°,480.0,552.0,"26,700","1,065",FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:17:25 PM,32.1576168500843,33.47635091153805,↑ 354°,482.0,555.0,"27,225","1,145",FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:17:49 PM,32.17188540224559,33.49466034875985,↑ 354°,486.0,559.0,"27,750","1,167",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:18:19 PM,32.18684703247769,33.512348900926646,↑ 354°,492.0,566.0,"28,275","1,050",FlightAware MLAT (11 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:18:49 PM,32.20250733423554,33.52943808101801,↑ 355°,498.0,573.0,"28,800","1,175",FlightAware MLAT (12 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:19:19 PM,32.21886911166278,33.5459464060797,↑ 357°,502.0,578.0,"29,450","1,033",FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:19:50 PM,32.235938600850744,33.561895638693976,↑ 359°,508.0,585.0,"29,850",847,FlightAware MLAT (11 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:20:21 PM,32.25372349070799,33.57730882876203,↑ 359°,514.0,592.0,"30,325",992,FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:20:52 PM,32.272229948776136,33.592207034008396,↑ 358°,518.0,596.0,"30,875",934,FlightAware MLAT (4 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:21:22 PM,32.29146036969747,33.60661014181575,↑ 358°,522.0,601.0,"31,275",976,FlightAware MLAT (13 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:21:55 PM,32.31142592400114,33.620535573283,↑ 359°,528.0,608.0,"31,900","1,048",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:22:25 PM,32.33213075071431,33.63400222412213,↑ 359°,532.0,612.0,"32,375",881,FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:22:58 PM,32.353583565214954,33.647025353772804,↑ 359°,538.0,619.0,"32,825",938,FlightAware MLAT (5 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:23:29 PM,32.375790515485164,33.65962068125147,↑ 359°,540.0,621.0,"33,375","1,402",FlightAware MLAT (11 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:23:59 PM,32.398752129352744,33.67180308559786,↑ 359°,534.0,615.0,"34,250","1,700",FlightAware MLAT (7 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:24:29 PM,32.42246709722338,33.683586879578314,↑ 358°,528.0,608.0,"35,075","1,525",FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:24:59 PM,32.44693417291792,33.694982943353935,↑ 359°,524.0,603.0,"35,775","1,477",FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:25:33 PM,32.472159500767326,33.706004991913694,↑ 358°,518.0,596.0,"36,650","1,477",FlightAware MLAT (5 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:26:04 PM,32.49814108955271,33.716663788199675,↑ 358°,512.0,589.0,"37,375",968,FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:26:35 PM,32.524874866413114,33.72696952251174,↑ 359°,516.0,594.0,"37,650",566,FlightAware MLAT (6 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:27:05 PM,32.55235595074949,33.73693686464708,↑ 359°,518.0,596.0,"37,950",438,FlightAware MLAT (13 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:27:23 PM,32.58054884078306,33.74657626509488,↑ 359°,520.0,598.0,"38,000",38,FlightAware MLAT (9 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:27:45 PM,32.60942942137515,33.75589802442699,↑ 358°,520.0,598.0,"37,975",-29,FlightAware MLAT (8 sites)
TLV - PEK,Hainan Airlines,CHH7958,B789,5/7/2023,Wed 03:28:15 PM,32.63899710051272,33.76491047722073,↑ 359°,516.0,594.0,"37,975", ,FlightAware MLAT (4 sites)
