Route,Airline,FlightNum,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:36:52 PM,32.0142,34.8692,← 260°,161,185,650, ,FlightAware ADS-B (TLV / LLBG)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:37:08 PM,32.0119,34.8548,← 258°,162,186,"1,475","2,719",FlightAware ADS-B (LCA / LCLK)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:37:24 PM,32.0091,34.8409,← 256°,171,197,"2,100","2,344",FlightAware ADS-B (TLV / LLBG)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:37:40 PM,32.0058,34.8261,← 256°,172,198,"2,725","2,344",FlightAware ADS-B (SDV / LLSD)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:37:56 PM,32.0028,34.812,← 256°,170,196,"3,350","2,063",FlightAware ADS-B (TLV / LLBG)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:38:12 PM,31.9998,34.7976,← 257°,180,207,"3,825","1,375",FlightAware ADS-B (LLHS)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:38:32 PM,31.996,34.778,← 257°,205,236,"4,175","1,176",FlightAware ADS-B (BEY / OLBA)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:38:49 PM,31.9927,34.7569,← 267°,221,254,"4,550","1,708",FlightAware ADS-B (LLEK)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:39:08 PM,31.9959,34.7351,← 289°,231,266,"5,200","1,653",FlightAware ADS-B (BEY / OLBA)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:39:38 PM,32.0084,34.6957,← 290°,266,306,"5,900","1,725",FlightAware ADS-B (BEY / OLBA)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:40:08 PM,32.0216,34.6528,← 289°,277,319,"6,925","2,040",FlightAware ADS-B (TLV / LLBG)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:40:28 PM,32.0269,34.6239,← 278°,281,323,"7,600","2,236",FlightAware ADS-B (AKT / LCRA)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:41:52 PM,32.1303,34.4877,↑ 347°,314,361,"10,800","2,197",FlightAware MLAT (4 sites)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:42:35 PM,32.2395,34.4488,↑ 347°,322,371,"12,250","2,209",FlightAware MLAT (9 sites)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:43:06 PM,32.2069,34.5129,↑ 347°,326,375,"13,525","2,202",FlightAware MLAT (4 sites)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:43:37 PM,32.2523,34.5026,↑ 348°,332,382,"14,525","1,943",FlightAware MLAT (5 sites)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:44:07 PM,32.2981,34.4911,↑ 348°,338,389,"15,500","2,115",FlightAware MLAT (4 sites)
TLV - PFO,Ryanair,FR1112,B738,16/07/2023,Sun 04:44:38 PM,32.3466,34.4802,↑ 347°,344,396,"16,675","2,071",FlightAware MLAT (8 sites)
